n,value,class
16,0.7914853359,phrase_repli__n_cos
17,0.7919583728,phrase_repli__n_cos
18,0.7924314096,phrase_repli__n_cos
19,0.7919583728,phrase_repli__n_cos
20,0.7912961211,phrase_repli__n_cos
21,0.7909176916,phrase_repli__n_cos
22,0.7905392621,phrase_repli__n_cos
23,0.7901608325,phrase_repli__n_cos
24,0.789782403,phrase_repli__n_cos
25,0.7899716178,phrase_repli__n_cos
26,0.7900662252,phrase_repli__n_cos
27,0.7899716178,phrase_repli__n_cos
28,0.7899716178,phrase_repli__n_cos
29,0.7899716178,phrase_repli__n_cos
