,how,many,people,belong,to,the,university,'s,board,of,trustees,?
and,0.33647966384887695,0.5296266674995422,0.3016039729118347,0.2474735528230667,0.48971283435821533,0.5171257257461548,0.2665814459323883,0.06895173341035843,0.24616685509681702,0.5116966962814331,0.258476585149765,0.20544172823429108
is,0.22544461488723755,0.2649032473564148,0.34254953265190125,0.2787644863128662,0.42745086550712585,0.5823672413825989,0.20346471667289734,0.02396530658006668,0.18710602819919586,0.4854315221309662,0.13984952867031097,0.22961433231830597
composed,0.2080344557762146,0.22210776805877686,0.06571310758590698,0.1796901822090149,0.14476051926612854,0.21816956996917725,0.13214464485645294,-0.00410611554980278,0.05983481928706169,0.29509663581848145,0.1109369769692421,0.0784355029463768
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.2644003629684448,0.41548454761505127,0.733189046382904,0.30646374821662903,-0.03817026689648628,0.23488809168338776,1.0,0.3031838834285736,0.1826142966747284
50,0.014565115794539452,-0.037946149706840515,-0.06115209683775902,0.07650605589151382,-0.024239253252744675,0.03602437674999237,-0.050331298261880875,-0.01041578408330679,-0.051399704068899155,0.006577443331480026,-0.043495677411556244,0.030512850731611252
members,0.20418256521224976,0.25127971172332764,0.2725757658481598,0.36812376976013184,0.26617446541786194,0.3321719169616699,0.145897775888443,0.02701987512409687,0.23900242149829865,0.28120753169059753,0.3813643455505371,0.10212311148643494
including,0.20270724594593048,0.6119236350059509,0.23374778032302856,0.2980477213859558,0.24006329476833344,0.3738902807235718,0.22509735822677612,0.0074059427715837955,0.21112796664237976,0.44195112586021423,0.19004492461681366,0.1633303165435791
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.27031847834587097,0.535392165184021,1.0,0.263973206281662,-0.01540423184633255,0.2871673107147217,0.733189046382904,0.2802223861217499,0.22068053483963013
university,0.12992997467517853,0.19385361671447754,0.25475627183914185,0.10940403491258621,0.20192374289035797,0.263973206281662,1.0,-0.007441582623869181,0.21278244256973267,0.30646374821662903,0.3692660927772522,0.11887256056070328
president,0.1342112123966217,0.15858104825019836,0.20062722265720367,0.1245129406452179,0.21247753500938416,0.24330610036849976,0.2515452206134796,-0.08566092699766159,0.26718464493751526,0.21610750257968903,0.32546761631965637,0.14148259162902832
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.23404979705810547,0.4645031690597534,0.5934505462646484,0.290679007768631,-0.003708066651597619,0.2503213584423065,0.5352458953857422,0.27198153734207153,0.4130953550338745
