,missing,self,desribes,cells,that,only,have,small,amounts,of,what,cell-surface,marker,?
marker,0.18634948134422302,0.1490795910358429,0.0647982805967331,0.26639634370803833,0.26461663842201233,0.24394941329956055,0.1862950325012207,0.2088332623243332,0.20619773864746094,0.21715079247951508,0.1995767056941986,0.3016008734703064,0.9999998807907104,0.11003566533327103
called,0.11612454056739807,0.1086590364575386,0.2868012487888336,0.20908011496067047,0.41604554653167725,0.31755709648132324,0.34887513518333435,0.36828139424324036,0.26550349593162537,0.4222904443740845,0.3235960602760315,0.22369179129600525,0.17393122613430023,0.18963319063186646
mhc,0.19577187299728394,0.24742749333381653,0.2529154419898987,0.5492251515388489,0.34129875898361206,0.3410968780517578,0.35094398260116577,0.24738603830337524,0.3692699670791626,0.2909306585788727,0.30283498764038086,0.4634595215320587,0.247065931558609,0.21010775864124298
i,0.21743416786193848,0.1650620400905609,0.23683296144008636,0.18248969316482544,0.4255519211292267,0.38789060711860657,0.3702464699745178,0.12426852434873581,0.17208179831504822,0.25849398970603943,0.4411132335662842,0.27104681730270386,0.20502988994121552,0.4695145785808563
(,0.23385603725910187,0.15511266887187958,0.27597442269325256,0.2060161978006363,0.2264307141304016,0.30817532539367676,0.23072676360607147,0.19026362895965576,0.1719791442155838,0.35032153129577637,0.2411840260028839,0.2241886556148529,0.11938809603452682,0.40561532974243164
major,0.10817094892263412,0.07390571385622025,0.18491443991661072,0.07911869138479233,0.2570328712463379,0.2559734284877777,0.2512233257293701,0.2337285429239273,0.10576390475034714,0.2641255557537079,0.21026742458343506,0.20223797857761383,0.12190219014883041,0.19788557291030884
histocompatibility,0.25576063990592957,0.2694095969200134,0.20918883383274078,0.43328022956848145,0.35481369495391846,0.35780125856399536,0.3141993284225464,0.20622259378433228,0.2648031413555145,0.26373428106307983,0.2662310302257538,0.4350782036781311,0.29366567730903625,0.2818797528743744
complex,0.15717275440692902,0.1730964034795761,0.13782332837581635,0.2291174829006195,0.2922951579093933,0.1896531581878662,0.3228512108325958,0.24174967408180237,0.22489596903324127,0.24271073937416077,0.2605343163013458,0.21846279501914978,0.21064183115959167,0.17752902209758759
),0.24694252014160156,0.14685502648353577,0.28106826543807983,0.17987960577011108,0.23478686809539795,0.31837013363838196,0.22866283357143402,0.2108360379934311,0.17091886699199677,0.3680361211299896,0.26259949803352356,0.2267960011959076,0.1193188950419426,0.42300865054130554
–,0.0735563188791275,0.046016231179237366,0.2290899157524109,0.12445185333490372,0.15484696626663208,0.2005922645330429,0.1137581542134285,0.04622841998934746,0.14139874279499054,0.2799985408782959,0.13008765876293182,0.171232208609581,0.12331008911132812,0.2714554965496063
a,0.25094693899154663,0.15396670997142792,0.31737470626831055,0.2297232300043106,0.47537946701049805,0.47549712657928467,0.338716596364975,0.41262131929397583,0.3184053301811218,0.5052502155303955,0.3320399522781372,0.270973801612854,0.2895415127277374,0.23916715383529663
situation,0.15480659902095795,0.29822203516960144,0.287030965089798,0.18802113831043243,0.38794219493865967,0.28274527192115784,0.31848999857902527,0.15926013886928558,0.21893951296806335,0.22593308985233307,0.4481324255466461,0.23126591742038727,0.19077324867248535,0.2714049518108368
that,0.30228644609451294,0.23496095836162567,0.2923627197742462,0.2709589898586273,1.0,0.6004067063331604,0.6182622313499451,0.351526141166687,0.36582085490226746,0.41498205065727234,0.6297725439071655,0.334831178188324,0.26461663842201233,0.32716336846351624
can,0.25305724143981934,0.18707020580768585,0.18345549702644348,0.32483595609664917,0.4522190988063812,0.43433451652526855,0.5489245653152466,0.304699569940567,0.38045060634613037,0.2603091299533844,0.34502777457237244,0.38299015164375305,0.22337478399276733,0.3226337134838104
arise,0.154764786362648,0.18665969371795654,0.27246707677841187,0.22346185147762299,0.32574599981307983,0.25108399987220764,0.37866291403770447,0.13461849093437195,0.14648354053497314,0.2695748209953308,0.35422998666763306,0.2259671539068222,0.1579667180776596,0.2458506077528
in,0.2340807020664215,0.19085843861103058,0.29947587847709656,0.1711641103029251,0.435920387506485,0.42992329597473145,0.36843645572662354,0.3722202181816101,0.2579386234283447,0.5696388483047485,0.30808621644973755,0.23961476981639862,0.21446794271469116,0.20430970191955566
viral,0.18665389716625214,0.13848313689231873,0.15431472659111023,0.4145217537879944,0.2846206724643707,0.18948863446712494,0.21086855232715607,0.17112673819065094,0.20563861727714539,0.222082257270813,0.16982226073741913,0.33632761240005493,0.16426032781600952,0.15731066465377808
infections,0.1996375024318695,0.1002470925450325,0.23107147216796875,0.49064257740974426,0.26952406764030457,0.23824326694011688,0.3041602373123169,0.18522639572620392,0.2379954606294632,0.23916418850421906,0.19013865292072296,0.33919599652290344,0.1528547704219818,0.19163957238197327
of,0.23175521194934845,0.16502705216407776,0.3221217095851898,0.21305565536022186,0.41498205065727234,0.49632513523101807,0.3802283704280853,0.353353351354599,0.25878721475601196,1.0,0.33290785551071167,0.24926960468292236,0.21715079247951508,0.1826142966747284
host,0.10943603515625,0.1303994506597519,0.1308853030204773,0.2798769474029541,0.18125994503498077,0.19780050218105316,0.1926749348640442,0.1662650853395462,0.14707022905349731,0.1709926575422287,0.12779991328716278,0.21927444636821747,0.1480308622121811,0.1021634042263031
cells,0.2214394509792328,0.17783845961093903,0.16164718568325043,1.0,0.2709589898586273,0.2781037986278534,0.294906347990036,0.21213430166244507,0.2805560231208801,0.21305565536022186,0.1758001297712326,0.5907008647918701,0.26639634370803833,0.1898086667060852
.,0.2528116703033447,0.2049645185470581,0.2670952379703522,0.2868211269378662,0.4460422694683075,0.49507418274879456,0.41614407300949097,0.3130834400653839,0.2320205122232437,0.5352458953857422,0.3567904531955719,0.3413626253604889,0.1930633932352066,0.4130953550338745
