,what,is,the,land,area,of,jacksonville,?
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.15432493388652802,0.18064655363559723,0.35032153129577637,0.1611778438091278,0.40561532974243164
757.7,0.09587850421667099,-0.0007903793011792004,0.09742175787687302,0.16244074702262878,0.120420902967453,0.10129414498806,0.07596961408853531,0.02999367192387581
sq,0.17365999519824982,0.23199144005775452,0.18837253749370575,0.3237040042877197,0.5024183392524719,0.21430401504039764,0.1421712189912796,0.18786261975765228
mi,0.14169800281524658,0.17681920528411865,0.12998802959918976,0.22375547885894775,0.28078556060791016,0.13784633576869965,0.20029833912849426,0.10264865309000015
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.17952218651771545,0.24297796189785004,0.3792596757411957,0.16453376412391663,0.32389625906944275
"1,962",0.1968553513288498,0.1652778834104538,0.10601651668548584,0.14714327454566956,0.10581319034099579,0.1338699609041214,-0.02870611473917961,0.13500669598579407
km2,0.35075643658638,0.27590033411979675,0.2664898931980133,0.32658857107162476,0.40115779638290405,0.23789449036121368,0.14103271067142487,0.20544767379760742
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1601184755563736,0.18319392204284668,0.3680361211299896,0.16729915142059326,0.42300865054130554
is,0.28837618231773376,1.0,0.5823672413825989,0.22457899153232574,0.29283958673477173,0.4854315221309662,0.1726600080728531,0.22961433231830597
land,0.23411516845226288,0.22457899153232574,0.28587454557418823,1.0000001192092896,0.46885520219802856,0.3057127296924591,0.1483359932899475,0.1432059109210968
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2874513864517212,0.3044000566005707,0.5116966962814331,0.2603762745857239,0.20544172823429108
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.06994622200727463,0.019157549366354942,0.054534342139959335,0.021351194009184837,0.10349778085947037
13.34,-0.1447291076183319,-0.02017877623438835,-0.03827637434005737,-0.067903533577919,0.0835706889629364,-0.02058524824678898,-0.010784541256725788,-0.13880757987499237
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.2065422385931015,0.2375744730234146,0.19953428208827972,0.14513275027275085,0.21441808342933655
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.15432493388652802,0.18064655363559723,0.35032153129577637,0.1611778438091278,0.40561532974243164
116.7,-0.020139474421739578,0.041166361421346664,0.0789252370595932,0.2135169804096222,0.057370249181985855,0.05166814848780632,-0.04205014556646347,-0.05635891854763031
sq,0.17365999519824982,0.23199144005775452,0.18837253749370575,0.3237040042877197,0.5024183392524719,0.21430401504039764,0.1421712189912796,0.18786261975765228
mi,0.14169800281524658,0.17681920528411865,0.12998802959918976,0.22375547885894775,0.28078556060791016,0.13784633576869965,0.20029833912849426,0.10264865309000015
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.17952218651771545,0.24297796189785004,0.3792596757411957,0.16453376412391663,0.32389625906944275
302,-0.10870206356048584,0.010130761191248894,-0.02672647498548031,0.01140096690505743,-0.05544569715857506,-0.009409868158400059,-0.12491975724697113,-0.0843726396560669
km2,0.35075643658638,0.27590033411979675,0.2664898931980133,0.32658857107162476,0.40115779638290405,0.23789449036121368,0.14103271067142487,0.20544767379760742
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1601184755563736,0.18319392204284668,0.3680361211299896,0.16729915142059326,0.42300865054130554
is,0.28837618231773376,1.0,0.5823672413825989,0.22457899153232574,0.29283958673477173,0.4854315221309662,0.1726600080728531,0.22961433231830597
water,0.17456887662410736,0.2879090905189514,0.297396719455719,0.39484038949012756,0.32517942786216736,0.2741255462169647,0.17478029429912567,0.14731885492801666
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.259204238653183,0.2760866582393646,0.5352458953857422,0.2843366861343384,0.4130953550338745
