,when,did,the,eleventh,doctor,appear,in,the,sarah,jane,series,?
eleventh,0.2375667840242386,0.1450331062078476,0.3663412928581238,0.9999998807907104,0.2803051173686981,0.16974329948425293,0.29234778881073,0.3663412928581238,0.225201815366745,0.21878507733345032,0.3058319389820099,0.0976005420088768
doctor,0.16867952048778534,0.18673314154148102,0.2820442318916321,0.2803051173686981,0.9999999403953552,0.21516269445419312,0.25567495822906494,0.2820442318916321,0.3485953211784363,0.34157314896583557,0.2712797522544861,0.1462511420249939
alongside,0.22126494348049164,0.23518145084381104,0.2475084811449051,0.2019987851381302,0.18226948380470276,0.272610068321228,0.2767621576786041,0.2475084811449051,0.14491041004657745,0.1484156847000122,0.26003971695899963,0.20579710602760315
former,0.1756535917520523,0.0988369733095169,0.2251449078321457,0.2046063244342804,0.06377578526735306,-0.0048164683394134045,0.2668642997741699,0.2251449078321457,0.14425954222679138,0.1435440182685852,0.10614900290966034,0.10570605844259262
companion,0.1762375384569168,0.12352897226810455,0.2540271282196045,0.23487699031829834,0.42781779170036316,0.25403687357902527,0.18601122498512268,0.2540271282196045,0.28786012530326843,0.3799159824848175,0.2318148910999298,0.14478090405464172
actress,0.12246807664632797,0.13167043030261993,0.16107499599456787,0.2034800797700882,0.23929369449615479,0.1566239297389984,0.22754959762096405,0.16107499599456787,0.3990304470062256,0.3527719974517822,0.27831682562828064,0.17259088158607483
katy,0.20137961208820343,0.10819128900766373,0.20429104566574097,0.19503115117549896,0.19009053707122803,0.2075088918209076,0.17640461027622223,0.20429104566574097,0.3797820210456848,0.3395763337612152,0.16246362030506134,0.16567334532737732
manning,0.23698855936527252,0.22743284702301025,0.27058160305023193,0.2803252935409546,0.233473539352417,0.1165844053030014,0.22345924377441406,0.27058160305023193,0.31865638494491577,0.26440832018852234,0.252364844083786,0.15856626629829407
reprising,0.17417386174201965,0.19489139318466187,0.243859201669693,0.160647913813591,0.14427196979522705,0.25047627091407776,0.25246360898017883,0.243859201669693,0.255256325006485,0.274747759103775,0.2670947313308716,0.16599051654338837
her,0.3416576683521271,0.3056010603904724,0.354963481426239,0.20446257293224335,0.34635496139526367,0.1891002655029297,0.30892789363861084,0.354963481426239,0.43545520305633545,0.413967102766037,0.20402689278125763,0.20310723781585693
role,0.2170606553554535,0.16237343847751617,0.26607486605644226,0.11411566287279129,0.2079973667860031,0.20533700287342072,0.243671715259552,0.26607486605644226,0.13365371525287628,0.13854831457138062,0.34679755568504333,0.18676944077014923
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.19966347515583038,0.17422905564308167,0.32869234681129456,0.3887844979763031,0.48381632566452026,0.1525762379169464,0.17059101164340973,0.2641415596008301,0.27043893933296204
jo,0.05694082751870155,0.12314771115779877,0.10940848290920258,0.23480324447155,0.1722402423620224,0.06734996289014816,0.15735028684139252,0.10940848290920258,0.24155575037002563,0.27226436138153076,0.26712745428085327,0.10175631940364838
grant,0.17270220816135406,0.14565104246139526,0.2460666298866272,0.13614223897457123,0.23351116478443146,0.18777836859226227,0.2044283151626587,0.2460666298866272,0.20103438198566437,0.19503961503505707,0.16443026065826416,0.15586599707603455
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2807825803756714,0.22361043095588684,0.2815418541431427,0.5591574311256409,0.5934505462646484,0.15654590725898743,0.25375157594680786,0.3121925890445709,0.4130953550338745
