,anarchists,do,not,want,to,accept,punishment,for,what,reason,?
the,0.1888718605041504,0.30239659547805786,0.4310511648654938,0.3003826439380646,0.535392165184021,0.22203093767166138,0.2503047287464142,0.4739971458911896,0.42745697498321533,0.29647648334503174,0.22068053483963013
legitimacy,0.38114792108535767,0.24543888866901398,0.3057097792625427,0.3247406780719757,0.20974260568618774,0.31566816568374634,0.284212201833725,0.17417366802692413,0.2806021273136139,0.3591945469379425,0.17292635142803192
of,0.20947548747062683,0.26150479912757874,0.3307090103626251,0.2645295262336731,0.41548454761505127,0.2346213310956955,0.2056395560503006,0.4185989499092102,0.33290785551071167,0.23645815253257751,0.1826142966747284
any,0.16078099608421326,0.4126444458961487,0.5995424389839172,0.4440463185310364,0.46410247683525085,0.31955793499946594,0.32490232586860657,0.3944643437862396,0.43670421838760376,0.44922176003456116,0.4113408327102661
government,0.33440446853637695,0.20911449193954468,0.2722996473312378,0.2991429269313812,0.28343796730041504,0.3043154180049896,0.25017863512039185,0.23902073502540588,0.28074538707733154,0.20266814529895782,0.18851417303085327
",",0.21064181625843048,0.3283645510673523,0.3769696354866028,0.30747702717781067,0.44245919585227966,0.28512677550315857,0.2216428816318512,0.4464869201183319,0.3087472915649414,0.24553878605365753,0.31091248989105225
and,0.22162801027297974,0.276123583316803,0.39099299907684326,0.34348347783088684,0.48971283435821533,0.25251030921936035,0.2325662225484848,0.5064792633056641,0.31309178471565247,0.26490068435668945,0.20544172823429108
therefore,0.1909772753715515,0.37750619649887085,0.5721608996391296,0.4556600749492645,0.49267399311065674,0.42204219102859497,0.2605133354663849,0.3777256906032562,0.4125064015388489,0.44458016753196716,0.3325358033180237
see,0.20499250292778015,0.4088582396507263,0.42693349719047546,0.48767441511154175,0.3792734146118164,0.3757004737854004,0.21658721566200256,0.36478325724601746,0.44941186904907227,0.4106646180152893,0.42005208134651184
no,0.11340571194887161,0.3198779225349426,0.4487079083919525,0.24276000261306763,0.30015695095062256,0.21708109974861145,0.2609685957431793,0.306581974029541,0.339326947927475,0.37497952580451965,0.32165053486824036
need,0.17743146419525146,0.5324284434318542,0.5400496125221252,0.6385743618011475,0.42094892263412476,0.2873614728450775,0.19313353300094604,0.3668079972267151,0.39420950412750244,0.4332358241081238,0.40413710474967957
to,0.20670868456363678,0.38876664638519287,0.5149973034858704,0.4966742694377899,1.0,0.3143050968647003,0.208286851644516,0.4451248347759247,0.455847829580307,0.3437597155570984,0.29463258385658264
accept,0.2249048799276352,0.3259050250053406,0.3977087140083313,0.4133423864841461,0.3143050968647003,1.0,0.24772173166275024,0.28655874729156494,0.40259191393852234,0.2876465320587158,0.2590680420398712
punishment,0.2914678156375885,0.22830727696418762,0.34782421588897705,0.22233177721500397,0.208286851644516,0.24772173166275024,1.0000001192092896,0.25197941064834595,0.31300443410873413,0.25018009543418884,0.23842233419418335
for,0.15725772082805634,0.29510271549224854,0.39280617237091064,0.2998926341533661,0.4451248347759247,0.28655874729156494,0.25197941064834595,0.9999999403953552,0.3017193675041199,0.42787787318229675,0.264628142118454
a,0.21782360970973969,0.26237669587135315,0.3791346549987793,0.2898913025856018,0.45503583550453186,0.18292881548404694,0.1934642344713211,0.44038116931915283,0.3320399522781372,0.29122111201286316,0.23916715383529663
violation,0.26411885023117065,0.26913195848464966,0.38626939058303833,0.30573007464408875,0.22394751012325287,0.2662976384162903,0.46157991886138916,0.2784593999385834,0.3517374098300934,0.38749492168426514,0.3571784496307373
of,0.20947548747062683,0.26150479912757874,0.3307090103626251,0.2645295262336731,0.41548454761505127,0.2346213310956955,0.2056395560503006,0.4185989499092102,0.33290785551071167,0.23645815253257751,0.1826142966747284
criminal,0.28802749514579773,0.2026396095752716,0.2183527946472168,0.2017764449119568,0.21600425243377686,0.15633629262447357,0.46371251344680786,0.2394232451915741,0.21020962297916412,0.15681780874729156,0.17345646023750305
law,0.2139056771993637,0.193905308842659,0.2588513493537903,0.18160775303840637,0.259207159280777,0.2406398355960846,0.3529546558856964,0.1650637686252594,0.2145031988620758,0.2020018994808197,0.1528988480567932
that,0.24129709601402283,0.44533252716064453,0.6600887179374695,0.4709601402282715,0.5436353087425232,0.3481370806694031,0.35341644287109375,0.4137635827064514,0.6297725439071655,0.462776243686676,0.32716336846351624
does,0.1927201896905899,0.5148232579231262,0.6355478763580322,0.4986003339290619,0.4391997456550598,0.3267243802547455,0.24340015649795532,0.35159170627593994,0.38564667105674744,0.40213650465011597,0.338003009557724
not,0.2674179971218109,0.6619802713394165,0.9999999403953552,0.5879988670349121,0.5149973034858704,0.3977087140083313,0.34782421588897705,0.39280617237091064,0.5449194312095642,0.4808345437049866,0.41942933201789856
infringe,0.23570260405540466,0.3421582579612732,0.361806720495224,0.33384260535240173,0.28073957562446594,0.2901998460292816,0.3319985866546631,0.2726360857486725,0.3243326246738434,0.32738202810287476,0.306099534034729
the,0.1888718605041504,0.30239659547805786,0.4310511648654938,0.3003826439380646,0.535392165184021,0.22203093767166138,0.2503047287464142,0.4739971458911896,0.42745697498321533,0.29647648334503174,0.22068053483963013
rights,0.2683640420436859,0.1529831737279892,0.26897159218788147,0.259475976228714,0.2570022940635681,0.20248278975486755,0.29718461632728577,0.24823954701423645,0.2386135458946228,0.2561448812484741,0.21814769506454468
of,0.20947548747062683,0.26150479912757874,0.3307090103626251,0.2645295262336731,0.41548454761505127,0.2346213310956955,0.2056395560503006,0.4185989499092102,0.33290785551071167,0.23645815253257751,0.1826142966747284
others,0.3252131938934326,0.3561740517616272,0.3655056357383728,0.3636801838874817,0.39868634939193726,0.315137654542923,0.2633834183216095,0.3191860318183899,0.3888046145439148,0.23774857819080353,0.26705288887023926
.,0.19784604012966156,0.3613996207714081,0.4824007451534271,0.31944841146469116,0.4645031690597534,0.25949081778526306,0.24320337176322937,0.4726039469242096,0.3567904531955719,0.3219331204891205,0.4130953550338745
