,how,many,primes,were,included,in,derrick,norman,lehmer,'s,list,of,prime,numbers,?
up,0.2819872200489044,0.2688518464565277,0.18996202945709229,0.29601457715034485,0.1890118271112442,0.3120773434638977,0.24031777679920197,0.17727531492710114,0.2218513935804367,-0.08862818777561188,0.17359809577465057,0.32945773005485535,0.1168169230222702,0.24530549347400665,0.1819818764925003
to,0.44169697165489197,0.40243685245513916,0.22901344299316406,0.31913647055625916,0.2322428971529007,0.45010748505592346,0.2025512307882309,0.16204318404197693,0.16790443658828735,0.03782717138528824,0.17417719960212708,0.41548454761505127,0.2015804797410965,0.29515770077705383,0.29463258385658264
"10,006,721",-0.17509841918945312,-0.165019690990448,0.0067259264178574085,-0.1267298012971878,-0.10642797499895096,-0.00821823813021183,-0.0446312241256237,0.015277110040187836,0.10542609542608261,-0.015535730868577957,-0.025062894448637962,0.043190985918045044,0.03807776793837547,-0.07368728518486023,0.005064967554062605
",",0.22659391164779663,0.40610817074775696,0.29003697633743286,0.36755475401878357,0.3679811954498291,0.5201468467712402,0.35091638565063477,0.20281735062599182,0.43164685368537903,-0.0016132977325469255,0.26581794023513794,0.4946078956127167,0.2565026581287384,0.26479464769363403,0.31091248989105225
reprinted,0.14915992319583893,0.16906176507472992,0.21219313144683838,0.22663761675357819,0.21050576865673065,0.2317960560321808,0.14650225639343262,0.2337920069694519,0.25599542260169983,-0.012031151913106441,0.0986839160323143,0.25186118483543396,0.14907193183898926,0.17589479684829712,0.1818757802248001
as,0.33782753348350525,0.4070141911506653,0.23833559453487396,0.3025437891483307,0.34162476658821106,0.3887844979763031,0.252848356962204,0.22526757419109344,0.2750965356826782,-0.05775856226682663,0.22369714081287384,0.3886612355709076,0.17482610046863556,0.2396276444196701,0.27043893933296204
late,0.16914787888526917,0.3157372772693634,0.1333736926317215,0.37638410925865173,0.22365939617156982,0.3439198434352875,0.16120365262031555,0.24928784370422363,0.2879621088504791,0.013811700977385044,0.10383673012256622,0.21690747141838074,0.16924543678760529,0.16549763083457947,0.11339222639799118
as,0.33782753348350525,0.4070141911506653,0.23833559453487396,0.3025437891483307,0.34162476658821106,0.3887844979763031,0.252848356962204,0.22526757419109344,0.2750965356826782,-0.05775856226682663,0.22369714081287384,0.3886612355709076,0.17482610046863556,0.2396276444196701,0.27043893933296204
1956,0.13171888887882233,0.1511712521314621,0.17928963899612427,0.1579744666814804,0.10134375095367432,0.09307657182216644,0.10961460322141647,-0.00956249050796032,0.06561815738677979,-0.052159395068883896,0.007427840493619442,0.10223212838172913,0.12810418009757996,0.08655273914337158,0.12402702867984772
",",0.22659391164779663,0.40610817074775696,0.29003697633743286,0.36755475401878357,0.3679811954498291,0.5201468467712402,0.35091638565063477,0.20281735062599182,0.43164685368537903,-0.0016132977325469255,0.26581794023513794,0.4946078956127167,0.2565026581287384,0.26479464769363403,0.31091248989105225
started,0.19724616408348083,0.2696502208709717,0.0853811725974083,0.3347722291946411,0.2689122259616852,0.3199414014816284,0.22205904126167297,0.19916819036006927,0.24899457395076752,0.01797550357878208,0.15770816802978516,0.22928385436534882,0.10086473822593689,0.18187232315540314,0.19447724521160126
with,0.3525622487068176,0.35744401812553406,0.14664357900619507,0.3179011940956116,0.329644113779068,0.4080928862094879,0.23155297338962555,0.18110549449920654,0.2533515989780426,-0.04624466598033905,0.13316330313682556,0.41827285289764404,0.09384632855653763,0.21640020608901978,0.2433311939239502
1,-0.28593507409095764,-0.19133886694908142,-0.25417813658714294,-0.20452795922756195,-0.21177932620048523,-0.10660158097743988,-0.23418056964874268,-0.1664956659078598,-0.18923625349998474,0.003928052727133036,-0.16306206583976746,-0.09473495930433273,-0.17159132659435272,-0.23353983461856842,-0.249979168176651
as,0.33782753348350525,0.4070141911506653,0.23833559453487396,0.3025437891483307,0.34162476658821106,0.3887844979763031,0.252848356962204,0.22526757419109344,0.2750965356826782,-0.05775856226682663,0.22369714081287384,0.3886612355709076,0.17482610046863556,0.2396276444196701,0.27043893933296204
its,0.22449488937854767,0.3319723308086395,0.15179754793643951,0.20452921092510223,0.19541920721530914,0.3793783485889435,0.12183399498462677,0.14923237264156342,0.16471844911575317,0.03202139586210251,0.1996135115623474,0.48690423369407654,0.1312374770641327,0.19673068821430206,0.15103481709957123
first,0.27731001377105713,0.2931244373321533,0.2396741360425949,0.3285558819770813,0.23475037515163422,0.4127444326877594,0.23165276646614075,0.17345288395881653,0.20104962587356567,-0.014458609744906425,0.21256940066814423,0.3536086082458496,0.21695679426193237,0.19835785031318665,0.18701928853988647
prime,0.0754077360033989,0.12904198467731476,0.7104739546775818,0.11367364972829819,0.1463170349597931,0.18097394704818726,0.11899422854185104,0.1341273933649063,0.18962179124355316,-0.0056337774731218815,0.136440247297287,0.23935265839099884,1.0,0.26943376660346985,0.11276303976774216
.,0.3287222981452942,0.3974229395389557,0.2564551830291748,0.3378238379955292,0.25865867733955383,0.5591574311256409,0.3272002935409546,0.24800069630146027,0.36198312044143677,-0.003708066651597619,0.26122990250587463,0.5352458953857422,0.17658381164073944,0.2591777741909027,0.4130953550338745
