,who,will,carry,the,game,throughout,all,of,north,america,?
",",0.3365725874900818,0.29706671833992004,0.1951419711112976,0.4933079481124878,0.2653886377811432,0.22385434806346893,0.425624817609787,0.4946078956127167,0.31834840774536133,0.253568559885025,0.31091248989105225
and,0.41279885172843933,0.35983073711395264,0.2731964588165283,0.5171257257461548,0.25192898511886597,0.36296960711479187,0.4542157053947449,0.5116966962814331,0.2776443064212799,0.2647855281829834,0.20544172823429108
james,0.2562035918235779,0.14143355190753937,0.14319424331188202,0.22481533885002136,0.20090049505233765,0.05247609689831734,0.15908175706863403,0.18323110044002533,0.15744264423847198,0.17043903470039368,0.12139993160963058
lofton,0.2292756289243698,0.18750505149364471,0.15511178970336914,0.23757049441337585,0.22215954959392548,0.19568344950675964,0.17874419689178467,0.19837214052677155,0.32111048698425293,0.19953663647174835,0.12585721909999847
and,0.41279885172843933,0.35983073711395264,0.2731964588165283,0.5171257257461548,0.25192898511886597,0.36296960711479187,0.4542157053947449,0.5116966962814331,0.2776443064212799,0.2647855281829834,0.20544172823429108
mark,0.1636335253715515,0.15114466845989227,0.036908574402332306,0.2235521525144577,0.19011835753917694,0.07346376031637192,0.13524925708770752,0.16461719572544098,0.15155839920043945,0.07399553060531616,0.11634156107902527
malone,0.2876465618610382,0.09241222590208054,0.09486962109804153,0.23672804236412048,0.21147896349430084,0.13085897266864777,0.17365585267543793,0.21438711881637573,0.15024077892303467,0.14034424722194672,0.15293700993061066
as,0.3923053741455078,0.3047071695327759,0.21199582517147064,0.48381632566452026,0.18194591999053955,0.2935595214366913,0.33195313811302185,0.3886612355709076,0.22670356929302216,0.22265762090682983,0.27043893933296204
sideline,0.25843048095703125,0.26499098539352417,0.06319878995418549,0.2606579065322876,0.34350115060806274,0.17472879588603973,0.22951065003871918,0.11210323870182037,0.21627746522426605,0.20113414525985718,0.2637002468109131
reporters,0.30018317699432373,0.19059060513973236,0.17989285290241241,0.20859824120998383,0.18068239092826843,0.198944091796875,0.19039049744606018,0.1634460836648941,0.17584630846977234,0.19382798671722412,0.20937705039978027
.,0.3541337847709656,0.33682769536972046,0.21299658715724945,0.5934505462646484,0.2581658959388733,0.29375210404396057,0.43406882882118225,0.5352458953857422,0.3171539604663849,0.29180291295051575,0.4130953550338745
