,what,function,do,compounds,like,phenol,and,acetone,serve,in,the,manufacture,of,many,other,substances,?
(,0.2411840260028839,0.25402042269706726,0.24216170608997345,0.21791891753673553,0.2465965300798416,0.16854704916477203,0.4862271547317505,0.2199263870716095,0.177357017993927,0.3087427020072937,0.33289089798927307,0.10889578610658646,0.35032153129577637,0.1455259770154953,0.25035592913627625,0.15720635652542114,0.40561532974243164
c,0.13697408139705658,0.15537987649440765,0.12928514182567596,0.16192062199115753,0.20197856426239014,0.1851968914270401,0.22064751386642456,0.21196924149990082,0.10223480314016342,0.1977744996547699,0.17891426384449005,0.14976200461387634,0.1682119220495224,0.1387205719947815,0.11828510463237762,0.13782167434692383,0.14264722168445587
6h,0.09590872377157211,0.03876376152038574,0.10498738288879395,0.07684814184904099,0.03228500857949257,0.07248660922050476,0.06719865649938583,0.06300134211778641,0.017942501232028008,0.03786265850067139,0.05055715888738632,0.08053838461637497,0.03756983205676079,0.09111392498016357,0.03902594745159149,0.006925958674401045,0.12685590982437134
5oh,0.17198851704597473,0.09430515021085739,0.15587235987186432,0.24665051698684692,0.1507473737001419,0.16977077722549438,0.0697910413146019,0.2623816132545471,0.15342415869235992,0.07157903164625168,0.10926219820976257,0.14669136703014374,0.04473275691270828,0.07257311046123505,0.041957706212997437,0.09704068303108215,0.2606227695941925
),0.26259949803352356,0.24718981981277466,0.24460165202617645,0.2126024067401886,0.2585170269012451,0.15918488800525665,0.4961937665939331,0.21202994883060455,0.17221702635288239,0.3326910734176636,0.3456730246543884,0.11404915899038315,0.3680361211299896,0.16602720320224762,0.26200005412101746,0.1445392221212387,0.42300865054130554
are,0.29724663496017456,0.22522267699241638,0.41111594438552856,0.3708919882774353,0.4686352014541626,0.2533071041107178,0.48576638102531433,0.21378375589847565,0.28864505887031555,0.3841303884983063,0.40399202704429626,0.20407484471797943,0.39081433415412903,0.5655534863471985,0.5932393670082092,0.38777267932891846,0.24591213464736938
used,0.27546408772468567,0.26872196793556213,0.3054939806461334,0.3697616159915924,0.4051085412502289,0.3275628983974457,0.3150506615638733,0.3232303559780121,0.3108883500099182,0.3090210556983948,0.3718377649784088,0.38079527020454407,0.3075267970561981,0.38759201765060425,0.3574926257133484,0.408263236284256,0.22430120408535004
as,0.31749409437179565,0.19182996451854706,0.38329678773880005,0.2726527154445648,0.4175155460834503,0.26863476634025574,0.49487000703811646,0.15335364639759064,0.3768509030342102,0.3887844979763031,0.48381632566452026,0.2364741712808609,0.3886612355709076,0.4070141911506653,0.42805421352386475,0.27845099568367004,0.27043893933296204
feeder,0.2171155959367752,0.22760382294654846,0.21779313683509827,0.1978638917207718,0.305711567401886,0.2056145817041397,0.2575840651988983,0.18166103959083557,0.26641783118247986,0.2064557820558548,0.29766181111335754,0.2309499979019165,0.1833757907152176,0.24256785213947296,0.26016804575920105,0.2661301791667938,0.18949159979820251
materials,0.21012352406978607,0.18832455575466156,0.20214726030826569,0.4645020663738251,0.24675701558589935,0.4042896330356598,0.2919374406337738,0.32126104831695557,0.12284249067306519,0.2393922507762909,0.22837378084659576,0.42691770195961,0.23909913003444672,0.34211209416389465,0.3568749725818634,0.49508532881736755,0.1301651895046234
in,0.30808621644973755,0.1448659598827362,0.23402775824069977,0.21471646428108215,0.31010183691978455,0.16283291578292847,0.4954058527946472,0.17584823071956635,0.20702329277992249,1.0,0.6662389636039734,0.20208027958869934,0.5696388483047485,0.41474202275276184,0.39989137649536133,0.2591451108455658,0.20430970191955566
the,0.42745697498321533,0.2037137746810913,0.30239659547805786,0.18294313549995422,0.32912567257881165,0.1690700799226761,0.5171257257461548,0.15705901384353638,0.2749462425708771,0.6662389636039734,1.0,0.23205524682998657,0.733189046382904,0.4335206151008606,0.44152235984802246,0.27348068356513977,0.22068053483963013
synthesis,0.2376978099346161,0.27242136001586914,0.1775449514389038,0.4956930875778198,0.16561229526996613,0.5272647738456726,0.16933506727218628,0.46263405680656433,0.15511055290699005,0.2143501341342926,0.19125208258628845,0.3674822151660919,0.20607268810272217,0.21420350670814514,0.1729881763458252,0.4608273208141327,0.20288079977035522
of,0.33290785551071167,0.16667552292346954,0.26150479912757874,0.232599675655365,0.3244853615760803,0.15803095698356628,0.5116966962814331,0.1713211089372635,0.2656401991844177,0.5696388483047485,0.733189046382904,0.21154309809207916,1.0,0.37253960967063904,0.38583824038505554,0.2613070607185364,0.1826142966747284
many,0.36131182312965393,0.15588033199310303,0.38738366961479187,0.27613750100135803,0.5365896821022034,0.276018887758255,0.5296266674995422,0.19551688432693481,0.20049209892749786,0.41474202275276184,0.4335206151008606,0.22869625687599182,0.37253960967063904,0.9999999403953552,0.6324484348297119,0.35489246249198914,0.2124512493610382
different,0.39262300729751587,0.2499462515115738,0.35756775736808777,0.3347095549106598,0.4748086631298065,0.27439963817596436,0.39536112546920776,0.23926278948783875,0.24654245376586914,0.29409363865852356,0.36412742733955383,0.26747992634773254,0.3747533857822418,0.6061229109764099,0.5510044097900391,0.39141425490379333,0.24476227164268494
substances,0.2663726210594177,0.3202756643295288,0.2375161200761795,0.6280376315116882,0.3000003397464752,0.6052056550979614,0.2670387327671051,0.556911289691925,0.23830603063106537,0.2591451108455658,0.27348068356513977,0.3296206295490265,0.2613070607185364,0.35489246249198914,0.3604559302330017,1.0,0.19339443743228912
.,0.3567904531955719,0.253307044506073,0.3613996207714081,0.23886778950691223,0.393751323223114,0.24649035930633545,0.588965117931366,0.27411043643951416,0.26939791440963745,0.5591574311256409,0.5934505462646484,0.22608236968517303,0.5352458953857422,0.3974229395389557,0.41511186957359314,0.26805320382118225,0.4130953550338745
