,who,was,the,defensive,coordinator,for,the,broncos,in,2015,?
ranked,0.17860917747020721,0.28979501128196716,0.2711145281791687,0.05886678025126457,0.09200186282396317,0.17654775083065033,0.2711145281791687,0.15926465392112732,0.2005387395620346,0.044366784393787384,0.12953443825244904
number,0.21304799616336823,0.1855042725801468,0.35145696997642517,0.11418911814689636,0.13233034312725067,0.2861633002758026,0.35145696997642517,0.11545195430517197,0.3024539053440094,0.030347635969519615,0.19256845116615295
one,0.40083858370780945,0.3752199709415436,0.5514441132545471,0.20500847697257996,0.15150372684001923,0.384836345911026,0.5514441132545471,0.17801736295223236,0.4129433035850525,-0.006648390553891659,0.2673267424106598
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.22513550519943237,0.19911305606365204,0.4322226941585541,0.6662389636039734,0.20316283404827118,1.0,0.0891268327832222,0.20430970191955566
total,0.16190829873085022,0.14069223403930664,0.27068960666656494,0.09849262237548828,0.13978053629398346,0.18924455344676971,0.27068960666656494,0.18658475577831268,0.27667245268821716,0.037357207387685776,0.14396025240421295
yards,0.13584628701210022,0.1823360025882721,0.16070343554019928,0.42166757583618164,0.2428840845823288,0.21746347844600677,0.16070343554019928,0.4475782513618469,0.14206624031066895,0.02945392206311226,0.12453813850879669
allowed,0.37092331051826477,0.27499085664749146,0.2985120713710785,0.15472714602947235,0.12203349173069,0.3152953088283539,0.2985120713710785,0.16004283726215363,0.23683252930641174,0.024566994979977608,0.2309964895248413
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.238240584731102,0.26595932245254517,0.4464869201183319,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.06568983197212219,0.31091248989105225
passing,0.14387445151805878,0.13813647627830505,0.3088957965373993,0.276117205619812,0.12535981833934784,0.2578018009662628,0.3088957965373993,0.26884856820106506,0.1942625194787979,0.00843111239373684,0.10353918373584747
yards,0.13584628701210022,0.1823360025882721,0.16070343554019928,0.42166757583618164,0.2428840845823288,0.21746347844600677,0.16070343554019928,0.4475782513618469,0.14206624031066895,0.02945392206311226,0.12453813850879669
allowed,0.37092331051826477,0.27499085664749146,0.2985120713710785,0.15472714602947235,0.12203349173069,0.3152953088283539,0.2985120713710785,0.16004283726215363,0.23683252930641174,0.024566994979977608,0.2309964895248413
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22892872989177704,0.24121041595935822,0.5064792633056641,0.5171257257461548,0.20959050953388214,0.4954058527946472,0.015077123418450356,0.20544172823429108
sacks,0.16894300282001495,0.1737009435892105,0.23296904563903809,0.4047272801399231,0.2070380300283432,0.2247573584318161,0.23296904563903809,0.3775857388973236,0.2059689611196518,0.14142829179763794,0.0761517658829689
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.238240584731102,0.26595932245254517,0.4464869201183319,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.06568983197212219,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22892872989177704,0.24121041595935822,0.5064792633056641,0.5171257257461548,0.20959050953388214,0.4954058527946472,0.015077123418450356,0.20544172823429108
like,0.34740978479385376,0.19745829701423645,0.32912567257881165,0.14782455563545227,0.08347252011299133,0.35140180587768555,0.32912567257881165,0.16722224652767181,0.31010183691978455,-0.08708979189395905,0.3268813192844391
the,0.3733934462070465,0.48711544275283813,1.0,0.2644767463207245,0.2257796972990036,0.4739971458911896,1.0,0.25985947251319885,0.6662389636039734,0.1466771513223648,0.22068053483963013
previous,0.1923418641090393,0.2747909128665924,0.34706559777259827,0.1882353276014328,0.24503165483474731,0.27794817090034485,0.34706559777259827,0.18558572232723236,0.2318485975265503,0.013044008985161781,0.16724538803100586
three,0.2491552233695984,0.2748996615409851,0.43452659249305725,0.17295309901237488,0.1686188131570816,0.3032672107219696,0.43452659249305725,0.23654358088970184,0.34828072786331177,0.05434681847691536,0.20928427577018738
seasons,0.1471238136291504,0.24377715587615967,0.24226845800876617,0.28508543968200684,0.18001686036586761,0.26410943269729614,0.24226845800876617,0.406937837600708,0.2194332778453827,-0.060289785265922546,0.13766995072364807
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.238240584731102,0.26595932245254517,0.4464869201183319,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.06568983197212219,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.2644767463207245,0.2257796972990036,0.4739971458911896,1.0,0.25985947251319885,0.6662389636039734,0.1466771513223648,0.22068053483963013
team,0.22248858213424683,0.13986483216285706,0.22564226388931274,0.29894882440567017,0.2685692012310028,0.25615394115448,0.22564226388931274,0.32797038555145264,0.18841172754764557,-0.009967954829335213,0.11243411153554916
has,0.2558172643184662,0.40313825011253357,0.4177538752555847,0.19141976535320282,0.12188820540904999,0.450642853975296,0.4177538752555847,0.13909417390823364,0.4173259735107422,-0.041663043200969696,0.15994466841220856
continued,0.15470513701438904,0.40578481554985046,0.29953038692474365,0.14950324594974518,0.16767342388629913,0.2205924689769745,0.29953038692474365,0.18172763288021088,0.2845509350299835,0.10547015815973282,0.10404038429260254
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.21831567585468292,0.21147672832012177,0.4451248347759247,0.535392165184021,0.23674264550209045,0.45010748505592346,-0.0031493064016103745,0.29463258385658264
set,0.19352185726165771,0.22985222935676575,0.2927955985069275,0.2013164758682251,0.2586110830307007,0.30194196105003357,0.2927955985069275,0.17981673777103424,0.2663729190826416,0.021257717162370682,0.1698019951581955
numerous,0.24434210360050201,0.19624626636505127,0.3353725075721741,0.17197296023368835,0.15214669704437256,0.2626895606517792,0.3353725075721741,0.10706484317779541,0.30740252137184143,0.005049271509051323,0.0875130444765091
individual,0.30539795756340027,0.13266901671886444,0.3706541955471039,0.14187179505825043,0.09853918850421906,0.33574938774108887,0.3706541955471039,0.1108681708574295,0.27755051851272583,-0.047775961458683014,0.2058374285697937
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.238240584731102,0.26595932245254517,0.4464869201183319,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.06568983197212219,0.31091248989105225
league,0.2161521464586258,0.21425791084766388,0.2724147439002991,0.3081902265548706,0.26920315623283386,0.26433616876602173,0.2724147439002991,0.45924535393714905,0.22963495552539825,0.026950879022479057,0.15941482782363892
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22892872989177704,0.24121041595935822,0.5064792633056641,0.5171257257461548,0.20959050953388214,0.4954058527946472,0.015077123418450356,0.20544172823429108
franchise,0.26402056217193604,0.25208672881126404,0.30872398614883423,0.24784992635250092,0.2565670311450958,0.2779812812805176,0.30872398614883423,0.37456947565078735,0.29437172412872314,-0.0969589352607727,0.13445523381233215
records,0.1928240954875946,0.23035451769828796,0.23809710144996643,0.08396381139755249,0.11220991611480713,0.15253792703151703,0.23809710144996643,0.1841881424188614,0.19519685208797455,0.07970034331083298,0.12384546548128128
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.21469862759113312,0.2239839881658554,0.4726039469242096,0.5934505462646484,0.2612393796443939,0.5591574311256409,0.06607602536678314,0.4130953550338745
