,what,is,an,example,of,a,mechanical,barrier,on,leaves,?
and,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.3739250600337982,0.2240421026945114,0.28187382221221924,0.4077630043029785,0.26273760199546814,0.20544172823429108
biological,0.23008453845977783,0.2308540940284729,0.2046665996313095,0.26519525051116943,0.315677285194397,0.24098026752471924,0.41193950176239014,0.3007051348686218,0.18427498638629913,0.18840742111206055,0.15755151212215424
barriers,0.22092224657535553,0.20278379321098328,0.1900167167186737,0.24095900356769562,0.20672127604484558,0.23114445805549622,0.2777377665042877,0.8158993721008301,0.22151149809360504,0.13008052110671997,0.12831342220306396
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.50484299659729,0.19855202734470367,0.22136561572551727,0.49257001280784607,0.22768649458885193,0.4130953550338745
,what,is,an,example,of,a,mechanical,barrier,on,leaves,?
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.2918589413166046,0.32808300852775574,0.5107308030128479,0.26001983880996704,0.22068053483963013
waxy,0.20907442271709442,0.32401043176651,0.1874678134918213,0.30108219385147095,0.2520335018634796,0.31619134545326233,0.3374503254890442,0.3528207838535309,0.21371808648109436,0.4322568476200104,0.17165924608707428
cuticle,0.2747798264026642,0.27318692207336426,0.24727310240268707,0.2848946154117584,0.2603185474872589,0.26824501156806946,0.36493760347366333,0.295672208070755,0.18706558644771576,0.36247655749320984,0.17834864556789398
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.3339124023914337,0.24921740591526031,0.3966929316520691,0.25197678804397583,0.1826142966747284
many,0.36131182312965393,0.2649032473564148,0.2465583086013794,0.43096116185188293,0.37253960967063904,0.2872205972671509,0.2343486100435257,0.26574942469596863,0.32520127296447754,0.15284661948680878,0.2124512493610382
leaves,0.17524603009223938,0.25514280796051025,0.18670687079429626,0.18983381986618042,0.25197678804397583,0.2384355217218399,0.1800031214952469,0.14170587062835693,0.20603735744953156,1.0000001192092896,0.11751258373260498
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.21404018998146057,0.23170435428619385,0.49057599902153015,0.24740222096443176,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.2918589413166046,0.32808300852775574,0.5107308030128479,0.26001983880996704,0.22068053483963013
exoskeleton,0.27335086464881897,0.2404496967792511,0.21588565409183502,0.25801655650138855,0.2422892302274704,0.2298772633075714,0.3361281752586365,0.3350997865200043,0.21439646184444427,0.3553485870361328,0.15635763108730316
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.3339124023914337,0.24921740591526031,0.3966929316520691,0.25197678804397583,0.1826142966747284
insects,0.1993972659111023,0.18573613464832306,0.14082063734531403,0.20320437848567963,0.22031989693641663,0.23904122412204742,0.2642729580402374,0.17022377252578735,0.16953793168067932,0.34927791357040405,0.1639890819787979
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.21404018998146057,0.23170435428619385,0.49057599902153015,0.24740222096443176,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.2918589413166046,0.32808300852775574,0.5107308030128479,0.26001983880996704,0.22068053483963013
shells,0.21712204813957214,0.1587716042995453,0.22976984083652496,0.252259224653244,0.2221994549036026,0.20203979313373566,0.2580806612968445,0.22679410874843597,0.22285941243171692,0.23739852011203766,0.12549249827861786
and,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.3739250600337982,0.2240421026945114,0.28187382221221924,0.4077630043029785,0.26273760199546814,0.20544172823429108
membranes,0.18834297358989716,0.20728234946727753,0.16997091472148895,0.2496354728937149,0.23994219303131104,0.1770123988389969,0.2732864320278168,0.38239461183547974,0.22716102004051208,0.25792068243026733,0.20524227619171143
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.3339124023914337,0.24921740591526031,0.3966929316520691,0.25197678804397583,0.1826142966747284
externally,0.2583906352519989,0.14636945724487305,0.1688743382692337,0.3147961497306824,0.19990338385105133,0.24351297318935394,0.33401989936828613,0.20597603917121887,0.2098831981420517,0.16685420274734497,0.16055580973625183
deposited,0.19473183155059814,0.24962209165096283,0.17184734344482422,0.19838115572929382,0.30108410120010376,0.2554682791233063,0.23743751645088196,0.2714511752128601,0.2499091476202011,0.21435092389583588,0.12185612320899963
eggs,0.16247199475765228,0.17573606967926025,0.08782576769590378,0.18176831305027008,0.16213075816631317,0.1808033138513565,0.15396681427955627,0.1492854505777359,0.18467512726783752,0.33951762318611145,0.1739477664232254
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.21404018998146057,0.23170435428619385,0.49057599902153015,0.24740222096443176,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.3739250600337982,0.2240421026945114,0.28187382221221924,0.4077630043029785,0.26273760199546814,0.20544172823429108
skin,0.22670333087444305,0.1956855058670044,0.17331188917160034,0.2531403601169586,0.177443727850914,0.22037984430789948,0.18232008814811707,0.27843278646469116,0.22873356938362122,0.3086841106414795,0.21488560736179352
are,0.29724663496017456,0.5330929756164551,0.1556541919708252,0.4108889698982239,0.39081433415412903,0.265255331993103,0.19417954981327057,0.2438877373933792,0.268924742937088,0.23583513498306274,0.24591213464736938
examples,0.26665759086608887,0.29282552003860474,0.19613532721996307,0.7060196995735168,0.3054686188697815,0.2633219361305237,0.24609221518039703,0.22189612686634064,0.20380041003227234,0.15121732652187347,0.19976599514484406
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.3339124023914337,0.24921740591526031,0.3966929316520691,0.25197678804397583,0.1826142966747284
mechanical,0.22318285703659058,0.2110103964805603,0.2723167836666107,0.21492183208465576,0.3339124023914337,0.3179347515106201,1.0000001192092896,0.2716796398162842,0.1700088083744049,0.1800031214952469,0.10079140216112137
barriers,0.22092224657535553,0.20278379321098328,0.1900167167186737,0.24095900356769562,0.20672127604484558,0.23114445805549622,0.2777377665042877,0.8158993721008301,0.22151149809360504,0.13008052110671997,0.12831342220306396
that,0.6297725439071655,0.3995479643344879,0.365763783454895,0.429897665977478,0.41498205065727234,0.47537946701049805,0.27541422843933105,0.3145255446434021,0.42569106817245483,0.23924985527992249,0.32716336846351624
are,0.29724663496017456,0.5330929756164551,0.1556541919708252,0.4108889698982239,0.39081433415412903,0.265255331993103,0.19417954981327057,0.2438877373933792,0.268924742937088,0.23583513498306274,0.24591213464736938
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.2918589413166046,0.32808300852775574,0.5107308030128479,0.26001983880996704,0.22068053483963013
first,0.28086137771606445,0.30889374017715454,0.29757723212242126,0.24618929624557495,0.3536086082458496,0.4287874400615692,0.22792832553386688,0.2354557067155838,0.3120559751987457,0.2005719542503357,0.18701928853988647
line,0.2245367169380188,0.19879867136478424,0.14570118486881256,0.21169161796569824,0.23765452206134796,0.23499317467212677,0.046213191002607346,0.23002485930919647,0.2094266265630722,0.14381562173366547,0.16271452605724335
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.3339124023914337,0.24921740591526031,0.3966929316520691,0.25197678804397583,0.1826142966747284
defense,0.193815678358078,0.17166511714458466,0.15669359266757965,0.21362121403217316,0.27720823884010315,0.21441413462162018,0.17002084851264954,0.1903507262468338,0.1953054964542389,0.09770214557647705,0.21935760974884033
against,0.24561616778373718,0.1754940152168274,0.17087337374687195,0.23728588223457336,0.2669808566570282,0.2227657586336136,0.0898313894867897,0.19199927151203156,0.3163113296031952,0.15149466693401337,0.18095137178897858
infection,0.17579561471939087,0.23968450725078583,0.16551917791366577,0.25792405009269714,0.2276538908481598,0.247476264834404,0.21750766038894653,0.3172316551208496,0.2044891119003296,0.21574264764785767,0.18650056421756744
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.50484299659729,0.19855202734470367,0.22136561572551727,0.49257001280784607,0.22768649458885193,0.4130953550338745
