,in,the,layered,model,of,the,earth,there,are,seismic,discontinuities,in,which,layer,?
earth,0.18566735088825226,0.2801888585090637,0.31122034788131714,0.07608746737241745,0.2329314798116684,0.2801888585090637,1.0,0.18399657309055328,0.22218742966651917,0.37750980257987976,0.2301068902015686,0.18566735088825226,0.26013901829719543,0.356830358505249,0.17717236280441284
",",0.5201468467712402,0.4933079481124878,0.1762612760066986,0.244965597987175,0.4946078956127167,0.4933079481124878,0.23186853528022766,0.4587128460407257,0.4062570035457611,0.18039323389530182,0.2849874794483185,0.5201468467712402,0.3658004403114319,0.16123715043067932,0.31091248989105225
with,0.4080928862094879,0.4223487675189972,0.268891304731369,0.120089091360569,0.41827285289764404,0.4223487675189972,0.21692633628845215,0.37390366196632385,0.38996943831443787,0.16150116920471191,0.24824272096157074,0.4080928862094879,0.46403205394744873,0.19762569665908813,0.2433311939239502
a,0.539380669593811,0.5829201340675354,0.24390482902526855,0.29218459129333496,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.4214206337928772,0.265255331993103,0.18508632481098175,0.26031941175460815,0.539380669593811,0.56894451379776,0.2366863191127777,0.23916715383529663
crust,0.1749051809310913,0.22538691759109497,0.4293930232524872,0.1287102848291397,0.21774794161319733,0.22538691759109497,0.52252197265625,0.188149094581604,0.23972631990909576,0.4079087972640991,0.25824597477912903,0.1749051809310913,0.287524938583374,0.4189044237136841,0.1887258142232895
and,0.4954058527946472,0.5171257257461548,0.2545626163482666,0.22216768562793732,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.4242868423461914,0.48576638102531433,0.2128550410270691,0.2939761281013489,0.4954058527946472,0.506277859210968,0.2740338444709778,0.20544172823429108
lithosphere,0.2248716950416565,0.28085029125213623,0.5053330659866333,0.2017238885164261,0.2557520568370819,0.28085029125213623,0.5578895211219788,0.25772926211357117,0.2447413057088852,0.4710795283317566,0.3362407088279724,0.2248716950416565,0.3640127182006836,0.5476199388504028,0.1646844744682312
on,0.46853652596473694,0.5107308030128479,0.2279079407453537,0.20435898005962372,0.3966929316520691,0.5107308030128479,0.20645220577716827,0.3521401882171631,0.268924742937088,0.22139593958854675,0.30247601866722107,0.46853652596473694,0.4245251417160034,0.21330849826335907,0.2714994251728058
top,0.2235720455646515,0.31754136085510254,0.27468791604042053,0.2181166410446167,0.20362378656864166,0.31754136085510254,0.18094098567962646,0.20267049968242645,0.1942039579153061,0.1288159340620041,0.21839825809001923,0.2235720455646515,0.3052574694156647,0.28296783566474915,0.17265194654464722
",",0.5201468467712402,0.4933079481124878,0.1762612760066986,0.244965597987175,0.4946078956127167,0.4933079481124878,0.23186853528022766,0.4587128460407257,0.4062570035457611,0.18039323389530182,0.2849874794483185,0.5201468467712402,0.3658004403114319,0.16123715043067932,0.31091248989105225
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.47025805711746216,0.40399202704429626,0.22985544800758362,0.29563742876052856,0.6662389636039734,0.6521818041801453,0.22831332683563232,0.22068053483963013
mantle,0.12298760563135147,0.24731530249118805,0.42776021361351013,0.10912115126848221,0.19364143908023834,0.24731530249118805,0.4542229175567627,0.1275925636291504,0.21551957726478577,0.3529616594314575,0.21288833022117615,0.12298760563135147,0.3182186186313629,0.4216019809246063,0.16224074363708496
below,0.29600706696510315,0.2930138111114502,0.23911896347999573,0.09251513332128525,0.23283669352531433,0.2930138111114502,0.1939532309770584,0.38423681259155273,0.34338876605033875,0.21670372784137726,0.29117485880851746,0.29600706696510315,0.29577210545539856,0.28597357869148254,0.17692236602306366
(,0.3087427020072937,0.33289089798927307,0.10827789455652237,0.15940167009830475,0.35032153129577637,0.33289089798927307,0.18478946387767792,0.22351126372814178,0.23263892531394958,0.16842365264892578,0.20411166548728943,0.3087427020072937,0.2589828372001648,0.11796855181455612,0.40561532974243164
separated,0.26304155588150024,0.27899038791656494,0.28599658608436584,0.1006895899772644,0.27533861994743347,0.27899038791656494,0.19091524183750153,0.280301570892334,0.2565678656101227,0.1481187343597412,0.22271417081356049,0.26304155588150024,0.291524201631546,0.20955796539783478,0.0923643484711647
within,0.40576374530792236,0.39827480912208557,0.20351143181324005,0.15686427056789398,0.39594778418540955,0.39827480912208557,0.2043885588645935,0.31177809834480286,0.3069663643836975,0.2597998082637787,0.294499009847641,0.40576374530792236,0.43539655208587646,0.22794434428215027,0.1870293766260147
itself,0.28042417764663696,0.45971640944480896,0.17537160217761993,0.1778433620929718,0.3157202899456024,0.45971640944480896,0.2231949269771576,0.3124697804450989,0.23437081277370453,0.15052151679992676,0.3238421380519867,0.28042417764663696,0.5675862431526184,0.20260374248027802,0.17933900654315948
by,0.370934396982193,0.4408751428127289,0.1395932286977768,0.12459231913089752,0.3646814823150635,0.4408751428127289,0.1861492097377777,0.20383623242378235,0.37842893600463867,0.17072416841983795,0.22903874516487122,0.370934396982193,0.40543368458747864,0.08944900333881378,0.17966607213020325
seismic,0.16563263535499573,0.22985544800758362,0.28295302391052246,0.17495548725128174,0.23986764252185822,0.22985544800758362,0.37750980257987976,0.22387106716632843,0.178167924284935,1.0,0.318772554397583,0.16563263535499573,0.28969740867614746,0.28793951869010925,0.18033616244792938
discontinuities,0.23936352133750916,0.29563742876052856,0.24392659962177277,0.3642362654209137,0.24699506163597107,0.29563742876052856,0.2301068902015686,0.2587708532810211,0.26533833146095276,0.318772554397583,0.9999998807907104,0.23936352133750916,0.33259904384613037,0.20518581569194794,0.23700280487537384
at,0.4374977946281433,0.457212895154953,0.183242067694664,0.15189559757709503,0.42558613419532776,0.457212895154953,0.14618435502052307,0.37649083137512207,0.2074895054101944,0.2009977251291275,0.1843714416027069,0.4374977946281433,0.3286694884300232,0.14042359590530396,0.21978627145290375
410,0.22765569388866425,0.2887737452983856,0.057542938739061356,-0.04193365201354027,0.27827516198158264,0.2887737452983856,0.12042674422264099,0.1896485835313797,0.2554672062397003,-0.020444897934794426,0.03745287284255028,0.22765569388866425,0.1545776128768921,0.042836274951696396,0.02301076613366604
and,0.4954058527946472,0.5171257257461548,0.2545626163482666,0.22216768562793732,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.4242868423461914,0.48576638102531433,0.2128550410270691,0.2939761281013489,0.4954058527946472,0.506277859210968,0.2740338444709778,0.20544172823429108
660,0.008569775149226189,0.08328894525766373,0.09488644450902939,-0.10130904614925385,0.15483292937278748,0.08328894525766373,0.05758852884173393,0.1203894317150116,0.13675010204315186,0.16188575327396393,-0.0070437598042190075,0.008569775149226189,0.0824686735868454,0.0658697709441185,-0.023585868999361992
kilometers,0.3013875186443329,0.3189322352409363,0.20416463911533356,0.09772597998380661,0.26878124475479126,0.3189322352409363,0.2968935966491699,0.3078523576259613,0.22391699254512787,0.253216028213501,0.13324236869812012,0.3013875186443329,0.27728748321533203,0.23507757484912872,0.09704750031232834
),0.3326910734176636,0.3456730246543884,0.12274517863988876,0.18309912085533142,0.3680361211299896,0.3456730246543884,0.18219341337680817,0.24042794108390808,0.2373749315738678,0.16946329176425934,0.20739564299583435,0.3326910734176636,0.2758678197860718,0.1430271714925766,0.42300865054130554
",",0.5201468467712402,0.4933079481124878,0.1762612760066986,0.244965597987175,0.4946078956127167,0.4933079481124878,0.23186853528022766,0.4587128460407257,0.4062570035457611,0.18039323389530182,0.2849874794483185,0.5201468467712402,0.3658004403114319,0.16123715043067932,0.31091248989105225
and,0.4954058527946472,0.5171257257461548,0.2545626163482666,0.22216768562793732,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.4242868423461914,0.48576638102531433,0.2128550410270691,0.2939761281013489,0.4954058527946472,0.506277859210968,0.2740338444709778,0.20544172823429108
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.47025805711746216,0.40399202704429626,0.22985544800758362,0.29563742876052856,0.6662389636039734,0.6521818041801453,0.22831332683563232,0.22068053483963013
outer,0.2098662108182907,0.3022986054420471,0.4059828817844391,0.060680683702230453,0.26699039340019226,0.3022986054420471,0.3503085672855377,0.20405907928943634,0.2646065056324005,0.27362656593322754,0.18369406461715698,0.2098662108182907,0.28594911098480225,0.4313380718231201,0.06864649802446365
core,0.16659320890903473,0.21890558302402496,0.3206200897693634,0.22370631992816925,0.2545962929725647,0.21890558302402496,0.31014180183410645,0.20944100618362427,0.2276216447353363,0.29615041613578796,0.3530527353286743,0.16659320890903473,0.30405059456825256,0.34157663583755493,0.20309162139892578
and,0.4954058527946472,0.5171257257461548,0.2545626163482666,0.22216768562793732,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.4242868423461914,0.48576638102531433,0.2128550410270691,0.2939761281013489,0.4954058527946472,0.506277859210968,0.2740338444709778,0.20544172823429108
inner,0.22538623213768005,0.2790820598602295,0.3547295033931732,0.07930926978588104,0.2847692370414734,0.2790820598602295,0.2092355489730835,0.2346055656671524,0.23264755308628082,0.23656459152698517,0.16406109929084778,0.22538623213768005,0.3186933398246765,0.35732755064964294,0.10395674407482147
core,0.16659320890903473,0.21890558302402496,0.3206200897693634,0.22370631992816925,0.2545962929725647,0.21890558302402496,0.31014180183410645,0.20944100618362427,0.2276216447353363,0.29615041613578796,0.3530527353286743,0.16659320890903473,0.30405059456825256,0.34157663583755493,0.20309162139892578
below,0.29600706696510315,0.2930138111114502,0.23911896347999573,0.09251513332128525,0.23283669352531433,0.2930138111114502,0.1939532309770584,0.38423681259155273,0.34338876605033875,0.21670372784137726,0.29117485880851746,0.29600706696510315,0.29577210545539856,0.28597357869148254,0.17692236602306366
that,0.435920387506485,0.5473989248275757,0.22354429960250854,0.16250061988830566,0.41498205065727234,0.5473989248275757,0.33014219999313354,0.6006520986557007,0.45265161991119385,0.2941603362560272,0.3884313106536865,0.435920387506485,0.6894589066505432,0.23779913783073425,0.32716336846351624
.,0.5591574311256409,0.5934505462646484,0.20024040341377258,0.1938832700252533,0.5352458953857422,0.5934505462646484,0.2542925775051117,0.43897318840026855,0.3452940285205841,0.14893947541713715,0.24571827054023743,0.5591574311256409,0.45942068099975586,0.18235068023204803,0.4130953550338745
