,who,is,an,example,of,the,diversity,of,leadership,in,the,mongol,empire,?
in,0.2792111933231354,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.6662389636039734,0.2306472808122635,0.5696388483047485,0.2307659387588501,1.0,0.6662389636039734,0.16958336532115936,0.24110576510429382,0.20430970191955566
military,0.28924500942230225,0.139249786734581,0.16605477035045624,0.1749991923570633,0.27347031235694885,0.2290858030319214,0.1439376026391983,0.27347031235694885,0.3577447533607483,0.2402431070804596,0.2290858030319214,0.26000091433525085,0.31379666924476624,0.1890317052602768
and,0.41279885172843933,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.5171257257461548,0.2822173237800598,0.5116966962814331,0.24201266467571259,0.4954058527946472,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.20544172823429108
civilian,0.23742589354515076,0.18273413181304932,0.16899976134300232,0.1824652999639511,0.23387251794338226,0.2584705650806427,0.14163634181022644,0.23387251794338226,0.28272467851638794,0.2745838761329651,0.2584705650806427,0.16524165868759155,0.22409272193908691,0.10538440197706223
life,0.2577245533466339,0.2110576033592224,0.22073830664157867,0.21652080118656158,0.2788603901863098,0.23528170585632324,0.2126278430223465,0.2788603901863098,0.24623781442642212,0.27054134011268616,0.23528170585632324,0.10225646197795868,0.1829366385936737,0.21677987277507782
",",0.3365725874900818,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.4933079481124878,0.2263139933347702,0.4946078956127167,0.20224536955356598,0.5201468467712402,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
including,0.2835840582847595,0.25093933939933777,0.13861823081970215,0.3567594587802887,0.44195112586021423,0.3738902807235718,0.2665056586265564,0.44195112586021423,0.19893456995487213,0.35857823491096497,0.3738902807235718,0.18258455395698547,0.16462138295173645,0.1633303165435791
mongols,0.2709572911262512,0.15584324300289154,0.07991112023591995,0.12014317512512207,0.23517343401908875,0.310281366109848,0.17782296240329742,0.23517343401908875,0.30141955614089966,0.22694018483161926,0.310281366109848,0.905461847782135,0.47929102182388306,0.11517509818077087
",",0.3365725874900818,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.4933079481124878,0.2263139933347702,0.4946078956127167,0.20224536955356598,0.5201468467712402,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
turks,0.2758772373199463,0.10932189226150513,0.10490401089191437,0.09778895229101181,0.235667884349823,0.25820091366767883,0.10875291377305984,0.235667884349823,0.25361865758895874,0.18422621488571167,0.25820091366767883,0.40437063574790955,0.4166608452796936,0.1953624188899994
and,0.41279885172843933,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.5171257257461548,0.2822173237800598,0.5116966962814331,0.24201266467571259,0.4954058527946472,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.20544172823429108
others,0.429911732673645,0.25228992104530334,0.20105846226215363,0.30612102150917053,0.2793974280357361,0.34376874566078186,0.23944532871246338,0.2793974280357361,0.28770574927330017,0.3167906701564789,0.34376874566078186,0.21829725801944733,0.19097594916820526,0.26705288887023926
and,0.41279885172843933,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.5171257257461548,0.2822173237800598,0.5116966962814331,0.24201266467571259,0.4954058527946472,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.20544172823429108
included,0.19250646233558655,0.23363345861434937,0.19380910694599152,0.26775863766670227,0.4391688108444214,0.3825419843196869,0.16784892976284027,0.4391688108444214,0.2014191597700119,0.32433560490608215,0.3825419843196869,0.13783854246139526,0.2140709012746811,0.14385655522346497
many,0.4149286150932312,0.2649032473564148,0.2465583086013794,0.43096116185188293,0.37253960967063904,0.4335206151008606,0.3054061233997345,0.37253960967063904,0.2143079787492752,0.41474202275276184,0.4335206151008606,0.1816871017217636,0.22804687917232513,0.2124512493610382
diverse,0.10577820241451263,0.228860005736351,0.18348781764507294,0.245721697807312,0.27690666913986206,0.2793438136577606,0.4904300570487976,0.27690666913986206,0.2132662683725357,0.1994941383600235,0.2793438136577606,0.1848137378692627,0.22400441765785217,0.07389035075902939
khans,0.24824388325214386,0.1857505589723587,0.0927695482969284,0.1369171142578125,0.2121822088956833,0.27829647064208984,0.16560369729995728,0.2121822088956833,0.2784564197063446,0.1871490776538849,0.27829647064208984,0.5935368537902832,0.3945819139480591,0.1198837161064148
of,0.2827862501144409,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.733189046382904,0.30036839842796326,1.0,0.26711535453796387,0.5696388483047485,0.733189046382904,0.22712039947509766,0.30522286891937256,0.1826142966747284
various,0.21537287533283234,0.13601526618003845,0.20065057277679443,0.29422223567962646,0.3196488320827484,0.3235042691230774,0.31604206562042236,0.3196488320827484,0.15185002982616425,0.266343355178833,0.3235042691230774,0.17669303715229034,0.1925514191389084,0.12823495268821716
ethnicities,0.31447288393974304,0.17300663888454437,0.1452358365058899,0.21808984875679016,0.22779840230941772,0.21089932322502136,0.28633958101272583,0.22779840230941772,0.2793257236480713,0.2027076929807663,0.21089932322502136,0.2389311045408249,0.2505159378051758,0.25979143381118774
as,0.3923053741455078,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.48381632566452026,0.21351097524166107,0.3886612355709076,0.2040552943944931,0.3887844979763031,0.48381632566452026,0.17740172147750854,0.21108263731002808,0.27043893933296204
part,0.19576206803321838,0.4582172930240631,0.3128427565097809,0.2808217406272888,0.452393114566803,0.527681291103363,0.2270844727754593,0.452393114566803,0.20331084728240967,0.4499994218349457,0.527681291103363,0.17082427442073822,0.28660473227500916,0.08557961881160736
of,0.2827862501144409,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.733189046382904,0.30036839842796326,1.0,0.26711535453796387,0.5696388483047485,0.733189046382904,0.22712039947509766,0.30522286891937256,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,1.0,0.27198487520217896,0.733189046382904,0.2857116758823395,0.6662389636039734,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
mongol,0.22505711019039154,0.1650545746088028,0.09708178043365479,0.11649918556213379,0.22712039947509766,0.2924198508262634,0.16384129226207733,0.22712039947509766,0.3076898157596588,0.16958336532115936,0.2924198508262634,1.0000001192092896,0.45230501890182495,0.12849251925945282
empire,0.18977859616279602,0.18343110382556915,0.16588738560676575,0.15432226657867432,0.30522286891937256,0.32532164454460144,0.12055545300245285,0.30522286891937256,0.2805441617965698,0.24110576510429382,0.32532164454460144,0.45230501890182495,1.0000001192092896,0.14909450709819794
such,0.2594927251338959,0.23545363545417786,0.2025681436061859,0.4555383324623108,0.3209529519081116,0.3575236201286316,0.25011005997657776,0.3209529519081116,0.12388138473033905,0.2704046070575714,0.3575236201286316,0.13928619027137756,0.16838842630386353,0.17851735651493073
as,0.3923053741455078,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.48381632566452026,0.21351097524166107,0.3886612355709076,0.2040552943944931,0.3887844979763031,0.48381632566452026,0.17740172147750854,0.21108263731002808,0.27043893933296204
muhammad,0.2618805468082428,0.1552620530128479,0.1635655015707016,0.09382179379463196,0.1792740523815155,0.18824619054794312,0.14585882425308228,0.1792740523815155,0.2903176248073578,0.1352206915616989,0.18824619054794312,0.35136258602142334,0.24230556190013885,0.20699374377727509
khan,0.2616176903247833,0.20103248953819275,0.12960869073867798,0.10541245341300964,0.17124508321285248,0.21067845821380615,0.07812539488077164,0.17124508321285248,0.29718172550201416,0.1527150720357895,0.21067845821380615,0.5576101541519165,0.38083162903785706,0.12862591445446014
.,0.3541337847709656,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.5934505462646484,0.21884874999523163,0.5352458953857422,0.18368078768253326,0.5591574311256409,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.4130953550338745
