,what,is,a,lower,rate,of,social,goods,an,effect,of,?
rates,0.2148645967245102,0.24308988451957703,0.24341748654842377,0.33435893058776855,0.7312538027763367,0.2585311233997345,0.23757560551166534,0.32603979110717773,0.1565859019756317,0.31913235783576965,0.2585311233997345,0.13808594644069672
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.31757521629333496,0.24132871627807617,1.0,0.2605111300945282,0.18927626311779022,0.32280945777893066,0.24129827320575714,1.0,0.1826142966747284
social,0.22217629849910736,0.15944984555244446,0.2286769598722458,0.242025226354599,0.17135904729366302,0.2605111300945282,1.0,0.21236930787563324,0.1521279513835907,0.26389285922050476,0.2605111300945282,0.1615191102027893
goods,0.20192822813987732,0.20845846831798553,0.22076524794101715,0.2004191279411316,0.3137662708759308,0.18927626311779022,0.21236930787563324,1.0,0.1678125113248825,0.20742090046405792,0.18927626311779022,0.12034571915864944
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.236776202917099,0.18156792223453522,0.4946078956127167,0.2674078345298767,0.21030361950397491,0.3581022024154663,0.2150653600692749,0.4946078956127167,0.31091248989105225
a,0.3320399522781372,0.658733606338501,1.0,0.2221667766571045,0.24373900890350342,0.5052502155303955,0.2286769598722458,0.22076524794101715,0.44552403688430786,0.24771364033222198,0.5052502155303955,0.23916715383529663
lower,0.20079238712787628,0.20806168019771576,0.2221667766571045,1.0,0.2670515477657318,0.31757521629333496,0.242025226354599,0.2004191279411316,0.0962325856089592,0.21439076960086823,0.31757521629333496,0.08471795171499252
level,0.27376922965049744,0.24803997576236725,0.21346178650856018,0.3845921456813812,0.26853781938552856,0.23504668474197388,0.1669364720582962,0.13833658397197723,0.20686616003513336,0.16238237917423248,0.23504668474197388,0.20528386533260345
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.31757521629333496,0.24132871627807617,1.0,0.2605111300945282,0.18927626311779022,0.32280945777893066,0.24129827320575714,1.0,0.1826142966747284
economic,0.18082544207572937,0.21102669835090637,0.2234611213207245,0.14096929132938385,0.2195093035697937,0.3030148148536682,0.4703100919723511,0.3476458191871643,0.15034084022045135,0.25554975867271423,0.3030148148536682,0.1206481084227562
utility,0.170489102602005,0.18645785748958588,0.25070878863334656,0.14606527984142303,0.18025822937488556,0.2311905026435852,0.2604144513607025,0.3463325798511505,0.19497047364711761,0.17590484023094177,0.2311905026435852,0.18713216483592987
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.27455443143844604,0.24951417744159698,0.5696388483047485,0.23382627964019775,0.23178300261497498,0.2605783939361572,0.25150683522224426,0.5696388483047485,0.20430970191955566
society,0.23231269419193268,0.15995073318481445,0.22652459144592285,0.17072713375091553,0.1955094337463379,0.23646748065948486,0.4514988660812378,0.22840820252895355,0.17547515034675598,0.21245476603507996,0.23646748065948486,0.1373005360364914
from,0.2737620174884796,0.27355384826660156,0.322764128446579,0.2286408692598343,0.2106810212135315,0.4249346852302551,0.16684982180595398,0.21074913442134857,0.20876385271549225,0.1890663206577301,0.4249346852302551,0.19969791173934937
resources,0.24701403081417084,0.23539847135543823,0.19164273142814636,0.08750545233488083,0.2184014618396759,0.2746381163597107,0.24929805099964142,0.37213578820228577,0.15037932991981506,0.19181963801383972,0.2746381163597107,0.26047492027282715
devoted,0.18600232899188995,0.12048563361167908,0.20091499388217926,0.0016845662612468004,0.17335353791713715,0.2848767340183258,0.20269548892974854,0.13879568874835968,0.14480315148830414,0.1417156159877777,0.2848767340183258,0.15015941858291626
on,0.34226128458976746,0.3635730445384979,0.3848365545272827,0.16919521987438202,0.19178344309329987,0.3966929316520691,0.24255602061748505,0.16602353751659393,0.3192969560623169,0.2661469280719757,0.3966929316520691,0.2714994251728058
high-end,0.33823245763778687,0.325263649225235,0.29562321305274963,0.3271472156047821,0.29104509949684143,0.3288215100765228,0.1977330595254898,0.21009576320648193,0.2279156744480133,0.2571745812892914,0.3288215100765228,0.30902910232543945
consumption,0.22381934523582458,0.2964645028114319,0.2690817713737488,0.15542714297771454,0.39135658740997314,0.249590665102005,0.2313462644815445,0.49601393938064575,0.2150397002696991,0.35042622685432434,0.249590665102005,0.1937485784292221
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.236776202917099,0.18156792223453522,0.4946078956127167,0.2674078345298767,0.21030361950397491,0.3581022024154663,0.2150653600692749,0.4946078956127167,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2802542746067047,0.17405889928340912,0.5116966962814331,0.38231831789016724,0.2947494387626648,0.2838519215583801,0.23508284986019135,0.5116966962814331,0.20544172823429108
even,0.40872135758399963,0.28202980756759644,0.3278432786464691,0.2069632112979889,0.22329072654247284,0.34735506772994995,0.2185843586921692,0.21494975686073303,0.2349194884300232,0.3594813048839569,0.34735506772994995,0.30082517862319946
a,0.3320399522781372,0.658733606338501,1.0,0.2221667766571045,0.24373900890350342,0.5052502155303955,0.2286769598722458,0.22076524794101715,0.44552403688430786,0.24771364033222198,0.5052502155303955,0.23916715383529663
lower,0.20079238712787628,0.20806168019771576,0.2221667766571045,1.0,0.2670515477657318,0.31757521629333496,0.242025226354599,0.2004191279411316,0.0962325856089592,0.21439076960086823,0.31757521629333496,0.08471795171499252
level,0.27376922965049744,0.24803997576236725,0.21346178650856018,0.3845921456813812,0.26853781938552856,0.23504668474197388,0.1669364720582962,0.13833658397197723,0.20686616003513336,0.16238237917423248,0.23504668474197388,0.20528386533260345
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.31757521629333496,0.24132871627807617,1.0,0.2605111300945282,0.18927626311779022,0.32280945777893066,0.24129827320575714,1.0,0.1826142966747284
economic,0.18082544207572937,0.21102669835090637,0.2234611213207245,0.14096929132938385,0.2195093035697937,0.3030148148536682,0.4703100919723511,0.3476458191871643,0.15034084022045135,0.25554975867271423,0.3030148148536682,0.1206481084227562
growth,0.1739405393600464,0.2256266176700592,0.21544985473155975,0.2161698192358017,0.46715715527534485,0.2679378092288971,0.23748290538787842,0.2883111834526062,0.1870514452457428,0.32532799243927,0.2679378092288971,0.07547862827777863
when,0.4700249433517456,0.3471449911594391,0.44397395849227905,0.19194231927394867,0.20147286355495453,0.3757161796092987,0.17212750017642975,0.21900025010108948,0.33026179671287537,0.2713961899280548,0.3757161796092987,0.22841128706932068
human,0.24243313074111938,0.22481991350650787,0.2368878275156021,0.18781141936779022,0.2121017724275589,0.3083189129829407,0.3722149133682251,0.21046507358551025,0.18078956007957458,0.28452420234680176,0.3083189129829407,0.19748784601688385
capital,0.17967931926250458,0.2849797308444977,0.16007359325885773,0.21545884013175964,0.2457164078950882,0.30823585391044617,0.18806584179401398,0.2451612651348114,0.15392880141735077,0.1516270935535431,0.30823585391044617,0.0907452180981636
is,0.28837618231773376,1.0,0.658733606338501,0.20806168019771576,0.24290183186531067,0.4854315221309662,0.15944984555244446,0.20845846831798553,0.4654068350791931,0.17614969611167908,0.4854315221309662,0.22961433231830597
neglected,0.2108130007982254,0.10937894135713577,0.19718053936958313,0.12489450722932816,0.18064098060131073,0.29622748494148254,0.2957231402397156,0.2068883776664734,0.14601807296276093,0.20164339244365692,0.29622748494148254,0.0992412269115448
for,0.3017193675041199,0.43268078565597534,0.44038116931915283,0.15945355594158173,0.2299952208995819,0.4185989499092102,0.2460131198167801,0.262317419052124,0.3236706852912903,0.2288459986448288,0.4185989499092102,0.264628142118454
high-end,0.33823245763778687,0.325263649225235,0.29562321305274963,0.3271472156047821,0.29104509949684143,0.3288215100765228,0.1977330595254898,0.21009576320648193,0.2279156744480133,0.2571745812892914,0.3288215100765228,0.30902910232543945
consumption,0.22381934523582458,0.2964645028114319,0.2690817713737488,0.15542714297771454,0.39135658740997314,0.249590665102005,0.2313462644815445,0.49601393938064575,0.2150397002696991,0.35042622685432434,0.249590665102005,0.1937485784292221
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.24347278475761414,0.2418757975101471,0.5352458953857422,0.2614770531654358,0.17814435064792633,0.3581749200820923,0.2277858853340149,0.5352458953857422,0.4130953550338745
