,what,are,two,examples,of,different,types,of,reduction,?
and,0.31309178471565247,0.48576638102531433,0.4671151638031006,0.35639533400535583,0.5116966962814331,0.39536112546920776,0.3014242649078369,0.5116966962814331,0.23248422145843506,0.20544172823429108
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.30092597007751465,0.733189046382904,0.36412742733955383,0.23509301245212555,0.733189046382904,0.27052462100982666,0.22068053483963013
bound,0.16997487843036652,0.25661301612854004,0.3318008482456207,0.1633305698633194,0.23408229649066925,0.20385725796222687,0.12984535098075867,0.23408229649066925,0.20253972709178925,0.12182208895683289
on,0.34226128458976746,0.268924742937088,0.3205535411834717,0.20380041003227234,0.3966929316520691,0.3056946098804474,0.2141326367855072,0.3966929316520691,0.16262708604335785,0.2714994251728058
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.30092597007751465,0.733189046382904,0.36412742733955383,0.23509301245212555,0.733189046382904,0.27052462100982666,0.22068053483963013
complexity,0.33747240900993347,0.27680158615112305,0.22918272018432617,0.3772682845592499,0.23338180780410767,0.3334031403064728,0.26360762119293213,0.23338180780410767,0.4099479913711548,0.23062916100025177
of,0.33290785551071167,0.39081433415412903,0.37726253271102905,0.3054686188697815,1.0,0.3747533857822418,0.2447618544101715,1.0,0.2803387939929962,0.1826142966747284
reductions,0.23610827326774597,0.30824655294418335,0.25375884771347046,0.36737820506095886,0.29430124163627625,0.357312947511673,0.3649385869503021,0.29430124163627625,0.9273279905319214,0.18793964385986328
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.2687304615974426,0.4946078956127167,0.32220861315727234,0.24108222126960754,0.4946078956127167,0.20516319572925568,0.31091248989105225
such,0.23989605903625488,0.4654397666454315,0.29377371072769165,0.5161488652229309,0.3209529519081116,0.37860816717147827,0.4367804527282715,0.3209529519081116,0.2679453492164612,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.3029302954673767,0.325487345457077,0.3886612355709076,0.2646806538105011,0.2006441354751587,0.3886612355709076,0.19768616557121277,0.27043893933296204
polynomial-time,0.288694828748703,0.2820054292678833,0.2918151915073395,0.31511446833610535,0.2577710747718811,0.30329763889312744,0.2003263235092163,0.2577710747718811,0.36446112394332886,0.2915361523628235
reductions,0.23610827326774597,0.30824655294418335,0.25375884771347046,0.36737820506095886,0.29430124163627625,0.357312947511673,0.3649385869503021,0.29430124163627625,0.9273279905319214,0.18793964385986328
or,0.33867141604423523,0.5374364256858826,0.3349444568157196,0.4126914143562317,0.3792596757411957,0.41923218965530396,0.41673311591148376,0.3792596757411957,0.3102654218673706,0.32389625906944275
log-space,0.292618066072464,0.21586933732032776,0.18887998163700104,0.1725768893957138,0.17011740803718567,0.2140747606754303,0.15579213201999664,0.17011740803718567,0.20555472373962402,0.41465821862220764
reductions,0.23610827326774597,0.30824655294418335,0.25375884771347046,0.36737820506095886,0.29430124163627625,0.357312947511673,0.3649385869503021,0.29430124163627625,0.9273279905319214,0.18793964385986328
.,0.3567904531955719,0.3452940285205841,0.3524959683418274,0.28905922174453735,0.5352458953857422,0.31511759757995605,0.2097296416759491,0.5352458953857422,0.23716990649700165,0.4130953550338745
