,where,did,john,paul,ii,celebrate,mass,in,warsaw,?
warsaw,0.1062634214758873,0.1939365565776825,0.2175639122724533,0.1713392585515976,0.2033650428056717,0.12286942452192307,0.1809118539094925,0.22642600536346436,1.0,0.09769917279481888
and,0.43859338760375977,0.34479495882987976,0.21634717285633087,0.2447807937860489,0.27599602937698364,0.19826604425907135,0.21843883395195007,0.4954058527946472,0.2083624005317688,0.20544172823429108
ended,0.10345935821533203,0.33372020721435547,0.14983344078063965,0.1308850795030594,0.21083539724349976,0.27501413226127625,0.10027389973402023,0.3353011906147003,0.1752273142337799,0.15429291129112244
his,0.29880598187446594,0.3546801507472992,0.288114070892334,0.24743995070457458,0.2508064806461334,0.2793652415275574,0.171666219830513,0.3598145842552185,0.2047043889760971,0.18075084686279297
sermon,0.17271114885807037,0.22592276334762573,0.25196006894111633,0.2149191051721573,0.09705007076263428,0.2670519948005676,0.21425627171993256,0.22135332226753235,0.0897737368941307,0.24739065766334534
with,0.4142743945121765,0.25472134351730347,0.1736196130514145,0.19302357733249664,0.22142726182937622,0.1871027648448944,0.15513640642166138,0.4080928862094879,0.15415489673614502,0.2433311939239502
a,0.40997210144996643,0.2552328109741211,0.20638683438301086,0.13667120039463043,0.2111874669790268,0.16881437599658966,0.21558082103729248,0.539380669593811,0.19591784477233887,0.23916715383529663
call,0.18280568718910217,0.22224749624729156,0.09664878249168396,0.19212403893470764,0.09931020438671112,0.2248430997133255,0.07148104161024094,0.2520289719104767,0.0700237900018692,0.23091886937618256
to,0.47735077142715454,0.4452643394470215,0.2070634365081787,0.16250576078891754,0.20368696749210358,0.28652840852737427,0.20907121896743774,0.45010748505592346,0.1953994333744049,0.29463258385658264
``,0.020612511783838272,-0.029888948425650597,0.011006556451320648,0.031184984371066093,-0.029949629679322243,0.011834071017801762,0.05638721585273743,0.04765888676047325,0.12440727651119232,0.0685480609536171
renew,0.20716311037540436,0.24493521451950073,0.17627541720867157,0.18107743561267853,0.21435517072677612,0.25363630056381226,0.1126490905880928,0.19923003017902374,0.14032456278800964,0.21736618876457214
the,0.5003893971443176,0.34736719727516174,0.2230520099401474,0.19191958010196686,0.2631464898586273,0.2793319821357727,0.2284930944442749,0.6662389636039734,0.23137180507183075,0.22068053483963013
face,0.22938908636569977,0.17917901277542114,0.11347388476133347,0.10683335363864899,0.11498651653528214,0.1609318107366562,0.1413901150226593,0.17266811430454254,0.09859615564346313,0.12476722151041031
'',0.016034942120313644,0.01978493109345436,0.00810936652123928,-0.023794766515493393,-0.02888098731637001,-0.022515809163451195,-0.0022249165922403336,0.07432962208986282,-0.05188906192779541,0.018684765323996544
of,0.38066378235816956,0.2513895630836487,0.2407056987285614,0.14511796832084656,0.2844806909561157,0.26568952202796936,0.26915112137794495,0.5696388483047485,0.19253842532634735,0.1826142966747284
poland,0.1504354476928711,0.1852528303861618,0.15826362371444702,0.14003609120845795,0.21988123655319214,0.16770097613334656,0.1812630146741867,0.2887791395187378,0.6352760195732117,0.14259830117225647
:,-0.012972540222108364,-0.05305134505033493,-0.10026586055755615,0.030091118067502975,0.0030599527526646852,0.016362156718969345,-0.11397958546876907,0.020521078258752823,0.07365122437477112,-0.07156077772378922
let,0.29941150546073914,0.4364680051803589,0.233894482254982,0.16464926302433014,0.15424780547618866,0.2141326665878296,0.09921757131814957,0.19703081250190735,0.1307765394449234,0.36716893315315247
thy,0.19084881246089935,0.14447925984859467,0.1737891137599945,0.17520670592784882,0.12235815078020096,0.18724669516086578,0.15488722920417786,0.13847844302654266,0.14663641154766083,0.17140799760818481
spirit,0.17207977175712585,0.16968007385730743,0.20132328569889069,0.12084076553583145,0.10393860936164856,0.17035740613937378,0.14718933403491974,0.18238019943237305,0.19216018915176392,0.18818747997283936
descend,0.2715330123901367,0.19284003973007202,0.11532416939735413,0.10161382704973221,0.16101546585559845,0.13150843977928162,0.09067636728286743,0.16965150833129883,0.04537488520145416,0.1250806450843811
!,0.19720983505249023,0.21540984511375427,0.10847983509302139,0.1661771833896637,0.12185057252645493,0.15409129858016968,0.12351192533969879,0.16947506368160248,0.1135927364230156,0.45165371894836426
