,classifying,the,stages,of,what,is,important,to,mapping,aspects,of,the,amazon,?
the,0.2822643518447876,1.0,0.29316213726997375,0.733189046382904,0.42745697498321533,0.5823672413825989,0.39348116517066956,0.535392165184021,0.2108994424343109,0.2620294690132141,0.733189046382904,1.0,0.260541707277298,0.22068053483963013
classification,0.7652510404586792,0.24193404614925385,0.36213159561157227,0.2064410001039505,0.21176548302173615,0.19855763018131256,0.14761044085025787,0.19289597868919373,0.2565724849700928,0.24067535996437073,0.2064410001039505,0.24193404614925385,0.1898529827594757,0.18204113841056824
of,0.24586112797260284,0.733189046382904,0.27978867292404175,1.0,0.33290785551071167,0.4854315221309662,0.43301743268966675,0.41548454761505127,0.20953945815563202,0.2615640461444855,1.0,0.733189046382904,0.20143137872219086,0.1826142966747284
tree,0.22031906247138977,0.2565799951553345,0.18846967816352844,0.23309285938739777,0.17175592482089996,0.2044319063425064,0.15661993622779846,0.17880116403102875,0.18794876337051392,0.21141524612903595,0.23309285938739777,0.2565799951553345,0.20608896017074585,0.10740261524915695
growth,0.23653733730316162,0.2912366986274719,0.24419359862804413,0.2679378092288971,0.1739405393600464,0.2256266176700592,0.2953878343105316,0.2701800763607025,0.1277998983860016,0.25688034296035767,0.2679378092288971,0.2912366986274719,0.13255822658538818,0.07547862827777863
stages,0.31169593334198,0.29316213726997375,1.0000001192092896,0.27978867292404175,0.18274828791618347,0.190957173705101,0.18507391214370728,0.1880870908498764,0.1825161874294281,0.277662456035614,0.27978867292404175,0.29316213726997375,0.14003661274909973,0.12672165036201477
within,0.2536490261554718,0.39827480912208557,0.24922238290309906,0.39594778418540955,0.2498195916414261,0.30135563015937805,0.249331533908844,0.34980177879333496,0.32443198561668396,0.244058296084404,0.39594778418540955,0.39827480912208557,0.09349033236503601,0.1870293766260147
different,0.33064180612564087,0.36412742733955383,0.3520624339580536,0.3747533857822418,0.39262300729751587,0.24624870717525482,0.3322029411792755,0.3617510497570038,0.23793019354343414,0.37281760573387146,0.3747533857822418,0.36412742733955383,0.16166077554225922,0.24476227164268494
parts,0.1893213838338852,0.4042440354824066,0.2237561047077179,0.3379773199558258,0.3415631353855133,0.330430269241333,0.2995002269744873,0.24449384212493896,0.164142444729805,0.28637051582336426,0.3379773199558258,0.4042440354824066,0.12758833169937134,0.12310896813869476
of,0.24586112797260284,0.733189046382904,0.27978867292404175,1.0,0.33290785551071167,0.4854315221309662,0.43301743268966675,0.41548454761505127,0.20953945815563202,0.2615640461444855,1.0,0.733189046382904,0.20143137872219086,0.1826142966747284
the,0.2822643518447876,1.0,0.29316213726997375,0.733189046382904,0.42745697498321533,0.5823672413825989,0.39348116517066956,0.535392165184021,0.2108994424343109,0.2620294690132141,0.733189046382904,1.0,0.260541707277298,0.22068053483963013
forest,0.17396391928195953,0.24134553968906403,0.13334009051322937,0.2309139519929886,0.15328429639339447,0.209678515791893,0.09959588944911957,0.1971547156572342,0.20055356621742249,0.08983929455280304,0.2309139519929886,0.24134553968906403,0.26471444964408875,0.1214437186717987
is,0.21677158772945404,0.5823672413825989,0.190957173705101,0.4854315221309662,0.28837618231773376,1.0,0.350485235452652,0.42745086550712585,0.18809962272644043,0.23535941541194916,0.4854315221309662,0.5823672413825989,0.15197539329528809,0.22961433231830597
crucial,0.27096453309059143,0.3037804067134857,0.23959361016750336,0.2857859432697296,0.33186814188957214,0.18071739375591278,0.3889024555683136,0.25628989934921265,0.24694934487342834,0.31758272647857666,0.2857859432697296,0.3037804067134857,0.12151066958904266,0.18243193626403809
.,0.23070324957370758,0.5934505462646484,0.2273997664451599,0.5352458953857422,0.3567904531955719,0.4569662809371948,0.33938494324684143,0.4645031690597534,0.25874584913253784,0.20692044496536255,0.5352458953857422,0.5934505462646484,0.262887567281723,0.4130953550338745
