,what,did,his,design,avoid,in,not,having,a,commutator,?
that,0.6297725439071655,0.47518548369407654,0.3173833191394806,0.277990460395813,0.30128729343414307,0.435920387506485,0.6600887179374695,0.4370327591896057,0.47537946701049805,0.24409975111484528,0.32716336846351624
did,0.4259131848812103,1.0,0.3546801507472992,0.23409053683280945,0.2150208204984665,0.2593238651752472,0.6481515765190125,0.3157401978969574,0.2552328109741211,0.1083766296505928,0.3023456633090973
not,0.5449194312095642,0.6481515765190125,0.2710725963115692,0.21063774824142456,0.41114541888237,0.3403114080429077,0.9999999403953552,0.45144879817962646,0.3791346549987793,0.24410009384155273,0.41942933201789856
need,0.39420950412750244,0.3521409034729004,0.14412902295589447,0.20392830669879913,0.3818993866443634,0.2129468470811844,0.5400496125221252,0.39892345666885376,0.30329999327659607,0.21490634977817535,0.40413710474967957
a,0.3320399522781372,0.2552328109741211,0.3497250974178314,0.25211480259895325,0.2583659291267395,0.539380669593811,0.3791346549987793,0.3929923176765442,1.0,0.2885395586490631,0.23916715383529663
commutator,0.18807698786258698,0.1083766296505928,0.19120846688747406,0.21169954538345337,0.24094156920909882,0.2257746160030365,0.24410009384155273,0.1657412350177765,0.2885395586490631,1.0000001192092896,0.12010757625102997
",",0.3087472915649414,0.3015086054801941,0.3378419280052185,0.19350415468215942,0.22226782143115997,0.5201468467712402,0.3769696354866028,0.3154076039791107,0.427140474319458,0.2323647141456604,0.31091248989105225
thus,0.30745524168014526,0.23622971773147583,0.271565318107605,0.20947813987731934,0.39227530360221863,0.26358214020729065,0.39713138341903687,0.4226584732532501,0.3190890848636627,0.2723633050918579,0.18769288063049316
avoiding,0.2860614061355591,0.14682263135910034,0.21785835921764374,0.15228396654129028,0.7357156872749329,0.2393052726984024,0.37606725096702576,0.405516654253006,0.287608802318573,0.26511672139167786,0.2956450283527374
sparking,0.1802811324596405,0.24496810138225555,0.27820828557014465,0.22689706087112427,0.31266072392463684,0.28294405341148376,0.2479318529367447,0.30943161249160767,0.2849457263946533,0.30733558535575867,0.16501721739768982
and,0.31309178471565247,0.34479495882987976,0.4234102666378021,0.21815341711044312,0.2800402045249939,0.4954058527946472,0.39099299907684326,0.36825746297836304,0.3739250600337982,0.20544199645519257,0.20544172823429108
the,0.42745697498321533,0.34736719727516174,0.4394008219242096,0.27913451194763184,0.24833035469055176,0.6662389636039734,0.4310511648654938,0.3821379244327545,0.5829201340675354,0.21021440625190735,0.22068053483963013
high,0.20466077327728271,0.15957149863243103,0.14233462512493134,0.16279974579811096,0.10806306451559067,0.2652597725391388,0.2040453404188156,0.23220151662826538,0.22865821421146393,0.15191103518009186,0.11137914657592773
maintenance,0.2305917888879776,0.19161184132099152,0.14052140712738037,0.3357544541358948,0.33116498589515686,0.19478397071361542,0.31188976764678955,0.24544307589530945,0.264111191034317,0.23976482450962067,0.2885645627975464
of,0.33290785551071167,0.2513895630836487,0.38364991545677185,0.2522938847541809,0.22642050683498383,0.5696388483047485,0.3307090103626251,0.38889452815055847,0.5052502155303955,0.1940757930278778,0.1826142966747284
constantly,0.31931227445602417,0.19119097292423248,0.29017114639282227,0.18298746645450592,0.3950027525424957,0.14595787227153778,0.3462185263633728,0.40681445598602295,0.2379549890756607,0.22264739871025085,0.191866934299469
servicing,0.19260118901729584,0.16599279642105103,0.22178635001182556,0.25987112522125244,0.24617917835712433,0.280138224363327,0.20364196598529816,0.26338785886764526,0.24889642000198364,0.2865462005138397,0.14838749170303345
and,0.31309178471565247,0.34479495882987976,0.4234102666378021,0.21815341711044312,0.2800402045249939,0.4954058527946472,0.39099299907684326,0.36825746297836304,0.3739250600337982,0.20544199645519257,0.20544172823429108
replacing,0.1711706519126892,0.11901331692934036,0.14491747319698334,0.19685612618923187,0.28642192482948303,0.19875891506671906,0.19876758754253387,0.24990437924861908,0.18750236928462982,0.22940951585769653,0.16467362642288208
mechanical,0.22318285703659058,0.13345296680927277,0.25167718529701233,0.40876030921936035,0.23041826486587524,0.22276797890663147,0.2263393998146057,0.19550666213035583,0.3179347515106201,0.2680343985557556,0.10079140216112137
brushes,0.21808822453022003,0.14292174577713013,0.2341850847005844,0.2134317308664322,0.2525142729282379,0.1611952781677246,0.22356286644935608,0.22617177665233612,0.2554551661014557,0.1962062418460846,0.15455827116966248
.,0.3567904531955719,0.35288307070732117,0.3119256794452667,0.24995818734169006,0.19342699646949768,0.5591574311256409,0.4824007451534271,0.3542446792125702,0.50484299659729,0.19347703456878662,0.4130953550338745
