,how,far,did,the,sea,level,drop,in,the,ice,ages,?
m,0.17182649672031403,0.26203373074531555,0.18840010464191437,0.15156042575836182,0.18571223318576813,0.19949184358119965,0.22348326444625854,0.12893682718276978,0.15156042575836182,0.13973326981067657,0.07715031504631042,0.2618667185306549
(,0.1676948219537735,0.20085982978343964,0.18979617953300476,0.33289089798927307,0.19181853532791138,0.2298942357301712,0.2144269347190857,0.3087427020072937,0.33289089798927307,0.15635322034358978,0.12247484177350998,0.40561532974243164
390,-0.0557670034468174,-0.04739018902182579,0.003541712649166584,-0.04787406697869301,0.032043736428022385,-0.17848137021064758,-0.08197639882564545,0.03871656581759453,-0.04787406697869301,-0.12023784965276718,-0.009652163833379745,-0.01989002525806427
ft,0.17820364236831665,0.162581205368042,0.10061126947402954,0.16553674638271332,0.29382768273353577,0.2645092308521271,0.3382452130317688,0.1763954907655716,0.16553674638271332,0.2022547423839569,0.1601925641298294,0.17776548862457275
),0.17939934134483337,0.20805810391902924,0.18584993481636047,0.3456730246543884,0.18647637963294983,0.2288828194141388,0.2109098583459854,0.3326910734176636,0.3456730246543884,0.17562104761600494,0.1207399070262909,0.42300865054130554
and,0.33647966384887695,0.3353408873081207,0.34479495882987976,0.5171257257461548,0.30105236172676086,0.29463574290275574,0.2385902851819992,0.4954058527946472,0.5171257257461548,0.22802209854125977,0.2643369138240814,0.20544172823429108
much,0.46556615829467773,0.4811529517173767,0.37947356700897217,0.35023224353790283,0.20864515006542206,0.2299954742193222,0.2059861272573471,0.2725222110748291,0.35023224353790283,0.16813361644744873,0.24698106944561005,0.23442231118679047
of,0.2480744868516922,0.3005201518535614,0.2513895630836487,0.733189046382904,0.2707739472389221,0.23504668474197388,0.1734435260295868,0.5696388483047485,0.733189046382904,0.18215686082839966,0.27638155221939087,0.1826142966747284
the,0.33890387415885925,0.38564538955688477,0.34736719727516174,1.0,0.30363768339157104,0.31442487239837646,0.2759656608104706,0.6662389636039734,1.0,0.22322975099086761,0.28271523118019104,0.22068053483963013
continental,0.15223024785518646,0.16940878331661224,0.14695397019386292,0.32723063230514526,0.3135693371295929,0.20938776433467865,0.2247440218925476,0.248937726020813,0.32723063230514526,0.34066471457481384,0.18426960706710815,0.1410352885723114
margins,0.21518346667289734,0.26210638880729675,0.14392642676830292,0.2934545874595642,0.28707683086395264,0.2321624457836151,0.24178822338581085,0.22087065875530243,0.2934545874595642,0.20865274965763092,0.17653261125087738,0.1765999048948288
became,0.10954522341489792,0.2071279138326645,0.3632316589355469,0.36325156688690186,0.15445320308208466,0.08745281398296356,0.13334405422210693,0.31047213077545166,0.36325156688690186,0.11179928481578827,0.19466184079647064,0.11374033987522125
exposed,0.257943719625473,0.17487193644046783,0.18985678255558014,0.23872122168540955,0.22643306851387024,0.2144300788640976,0.20955248177051544,0.23804402351379395,0.23872122168540955,0.20885194838047028,0.16527456045150757,0.12477970123291016
.,0.3287222981452942,0.3168189823627472,0.35288307070732117,0.5934505462646484,0.2680719196796417,0.26056769490242004,0.2864284813404083,0.5591574311256409,0.5934505462646484,0.22156640887260437,0.26537013053894043,0.4130953550338745
