,the,university,of,chicago,library,system,has,how,many,libraries,in,total,?
of,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.21889357268810272,0.25597915053367615,0.3909035325050354,0.2480744868516922,0.37253960967063904,0.2047192007303238,0.5696388483047485,0.29045331478118896,0.1826142966747284
9.8,0.04497605934739113,-0.06303720921278,0.09942901879549026,-0.07425343990325928,-0.05698966607451439,-0.005428374279290438,0.041816346347332,0.05111820623278618,-0.028796056285500526,-0.06738414615392685,0.07641895115375519,-0.07122431695461273,-0.0033138187136501074
million,0.277012437582016,0.17569899559020996,0.21686489880084991,0.15604081749916077,0.11873524636030197,0.1672525405883789,0.2611117959022522,0.21114659309387207,0.3520967364311218,0.19101005792617798,0.2596224844455719,0.401465505361557,0.23092924058437347
volumes,0.21537050604820251,0.23509691655635834,0.2531711161136627,0.1693347543478012,0.29893770813941956,0.13934233784675598,0.1748000681400299,0.20560778677463531,0.14458376169204712,0.34301313757896423,0.23068252205848694,0.2532726526260376,0.11960393190383911
",",0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.16805633902549744,0.18439900875091553,0.3734780251979828,0.22659391164779663,0.40610817074775696,0.23942817747592926,0.5201468467712402,0.25815486907958984,0.31091248989105225
the,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.19920319318771362,0.3233085572719574,0.4177538752555847,0.33890387415885925,0.4335206151008606,0.2134861946105957,0.6662389636039734,0.27068960666656494,0.22068053483963013
11th,0.20795033872127533,0.12779483199119568,0.14593756198883057,0.12712107598781586,0.059445276856422424,0.09087404608726501,0.07835426926612854,0.13599224388599396,0.13253964483737946,0.08159895241260529,0.1380828619003296,0.14284221827983856,0.014542436227202415
most,0.47635307908058167,0.19178320467472076,0.4178851246833801,0.1819228082895279,0.16268503665924072,0.1998981088399887,0.3426419198513031,0.311336874961853,0.6236066222190857,0.24623693525791168,0.41416558623313904,0.2879014015197754,0.2107497900724411
among,0.3507058024406433,0.2190619260072708,0.3679063022136688,0.13828854262828827,0.20125353336334229,0.20968209207057953,0.20711572468280792,0.24921207129955292,0.4631800651550293,0.24950087070465088,0.3211768567562103,0.2280251830816269,0.14343059062957764
library,0.19920319318771362,0.3760603964328766,0.21889357268810272,0.21728020906448364,0.9999999403953552,0.19369082152843475,0.1522570103406906,0.09932420402765274,0.1814885139465332,0.7666171193122864,0.2101847380399704,0.016120783984661102,0.18938742578029633
systems,0.28089964389801025,0.1717112958431244,0.277031809091568,0.15839865803718567,0.18169453740119934,0.7890681028366089,0.13986320793628693,0.27218514680862427,0.3149912655353546,0.31811463832855225,0.21664761006832123,0.17050862312316895,0.1575973927974701
in,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.2101847380399704,0.21978288888931274,0.4173259735107422,0.2601168751716614,0.41474202275276184,0.2760562300682068,1.0,0.27667245268821716,0.20430970191955566
the,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.19920319318771362,0.3233085572719574,0.4177538752555847,0.33890387415885925,0.4335206151008606,0.2134861946105957,0.6662389636039734,0.27068960666656494,0.22068053483963013
united,0.34367692470550537,0.2727796137332916,0.3187655806541443,0.2552531361579895,0.21228276193141937,0.19312572479248047,0.17934498190879822,0.19034643471240997,0.2670816481113434,0.26596030592918396,0.3938477039337158,0.2310323566198349,0.17266890406608582
states,0.3463578522205353,0.24941645562648773,0.30884552001953125,0.26554226875305176,0.20678168535232544,0.1891087293624878,0.1958659142255783,0.20841296017169952,0.29976361989974976,0.27845293283462524,0.3977442979812622,0.2754991948604584,0.16272737085819244
.,0.5934505462646484,0.290679007768631,0.5352458953857422,0.2771213948726654,0.23675528168678284,0.2277725487947464,0.4105546176433563,0.3287222981452942,0.3974229395389557,0.2704726457595825,0.5591574311256409,0.2295650690793991,0.4130953550338745
