,what,is,an,important,catalyst,of,economic,growth,?
force,0.16915984451770782,0.22036980092525482,0.21655116975307465,0.1408667117357254,0.21471919119358063,0.27094775438308716,0.2068079560995102,0.1778274029493332,0.1650998443365097
(,0.2411840260028839,0.35393038392066956,0.286407470703125,0.21277278661727905,0.21466457843780518,0.35032153129577637,0.12015148252248764,0.15381410717964172,0.40561532974243164
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.2963852882385254,0.23758465051651,0.5052502155303955,0.2234611213207245,0.21544985473155975,0.23916715383529663
consistent,0.3694326877593994,0.24613848328590393,0.19685453176498413,0.262905478477478,0.25437334179878235,0.3003144860267639,0.22162340581417084,0.27362558245658875,0.2528949975967407
characteristic,0.2773447632789612,0.2790224850177765,0.22369004786014557,0.2909339964389801,0.27007973194122314,0.2943860590457916,0.19082923233509064,0.31011319160461426,0.12125537544488907
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.43301743268966675,0.1529167741537094,1.0,0.3030148148536682,0.2679378092288971,0.1826142966747284
under-developed,0.2630508542060852,0.28097519278526306,0.2620469033718109,0.33373841643333435,0.22217033803462982,0.3046813905239105,0.33392098546028137,0.35198381543159485,0.19992372393608093
economies,0.20860779285430908,0.20516782999038696,0.10910173505544662,0.32781264185905457,0.199037104845047,0.22326010465621948,0.8003658056259155,0.49788200855255127,0.16836115717887878
that,0.6297725439071655,0.3995479643344879,0.365763783454895,0.3865286409854889,0.2573834955692291,0.41498205065727234,0.2305225282907486,0.26227322220802307,0.32716336846351624
have,0.39808809757232666,0.3613572418689728,0.22897054255008698,0.31485000252723694,0.16441677510738373,0.3802283704280853,0.18631099164485931,0.2734212279319763,0.32991164922714233
not,0.5449194312095642,0.3776007890701294,0.3722182512283325,0.2887309193611145,0.23829194903373718,0.3307090103626251,0.15982478857040405,0.22978122532367706,0.41942933201789856
attained,0.1902945190668106,0.18798823654651642,0.15305623412132263,0.19000835716724396,0.13982729613780975,0.36302679777145386,0.22269655764102936,0.2759759724140167,0.14002291858196259
food,0.23540689051151276,0.20563258230686188,0.18289192020893097,0.23705518245697021,0.2131582796573639,0.2602803111076355,0.2244451344013214,0.28393709659576416,0.15376032888889313
security,0.18331359326839447,0.19300776720046997,0.16513797640800476,0.11106931418180466,0.21768176555633545,0.26905277371406555,0.37864038348197937,0.19854861497879028,0.13810279965400696
–,0.13008765876293182,0.1436920464038849,0.19806897640228271,0.07435999065637589,0.14623218774795532,0.2799985408782959,0.12228627502918243,0.11170215159654617,0.2714554965496063
an,0.2821882665157318,0.4654068350791931,1.0,0.2662794589996338,0.20745530724525452,0.32280945777893066,0.15034084022045135,0.1870514452457428,0.19793890416622162
important,0.31164905428886414,0.350485235452652,0.2662794589996338,1.0000001192092896,0.16733835637569427,0.43301743268966675,0.3262891471385956,0.2953878343105316,0.17812499403953552
catalyst,0.22293639183044434,0.22787396609783173,0.20745530724525452,0.16733835637569427,0.9999999403953552,0.1529167741537094,0.21771369874477386,0.3052825331687927,0.1609763652086258
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.43301743268966675,0.1529167741537094,1.0,0.3030148148536682,0.2679378092288971,0.1826142966747284
economic,0.18082544207572937,0.21102669835090637,0.15034084022045135,0.3262891471385956,0.21771369874477386,0.3030148148536682,0.9999999403953552,0.4732155203819275,0.1206481084227562
growth,0.1739405393600464,0.2256266176700592,0.1870514452457428,0.2953878343105316,0.3052825331687927,0.2679378092288971,0.4732155203819275,1.0000001192092896,0.07547862827777863
),0.26259949803352356,0.37732169032096863,0.2873353958129883,0.22956669330596924,0.2000879943370819,0.3680361211299896,0.14061136543750763,0.14860999584197998,0.42300865054130554
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.2963852882385254,0.23758465051651,0.5052502155303955,0.2234611213207245,0.21544985473155975,0.23916715383529663
small,0.2504110634326935,0.32085540890693665,0.22656132280826569,0.30617281794548035,0.1527102142572403,0.353353351354599,0.1659921556711197,0.21857070922851562,0.13914890587329865
portion,0.287394255399704,0.317487508058548,0.24720489978790283,0.19584502279758453,0.17905212938785553,0.31845465302467346,0.17945905029773712,0.2529784142971039,0.11719609797000885
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.43301743268966675,0.1529167741537094,1.0,0.3030148148536682,0.2679378092288971,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.39348116517066956,0.21989983320236206,0.733189046382904,0.282455176115036,0.2912366986274719,0.22068053483963013
population,0.2000674307346344,0.2727566361427307,0.16069892048835754,0.23450708389282227,0.13741664588451385,0.3060894012451172,0.3015505373477936,0.4132501482963562,0.14449454843997955
relies,0.29672762751579285,0.3674758970737457,0.2427215278148651,0.2276305854320526,0.27557265758514404,0.24824197590351105,0.25087252259254456,0.27836230397224426,0.18079787492752075
on,0.34226128458976746,0.3635730445384979,0.3192969560623169,0.23164092004299164,0.21156996488571167,0.3966929316520691,0.20757777988910675,0.11376523971557617,0.2714994251728058
food,0.23540689051151276,0.20563258230686188,0.18289192020893097,0.23705518245697021,0.2131582796573639,0.2602803111076355,0.2244451344013214,0.28393709659576416,0.15376032888889313
aid,0.1778782606124878,0.10512593388557434,0.16630467772483826,0.18689650297164917,0.12157248705625534,0.20153990387916565,0.24437884986400604,0.1596229374408722,0.08358026295900345
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.33938494324684143,0.23796483874320984,0.5352458953857422,0.22435031831264496,0.2825547754764557,0.4130953550338745
