,what,part,of,france,were,the,normans,located,?
customs,0.2684868574142456,0.20602895319461823,0.27883780002593994,0.2231108695268631,0.25110775232315063,0.2428995668888092,0.2858206033706665,0.1407669186592102,0.19795118272304535
to,0.455847829580307,0.2875264883041382,0.41548454761505127,0.2670897841453552,0.31913647055625916,0.535392165184021,0.2506018877029419,0.20850814878940582,0.29463258385658264
synthesize,0.2505638301372528,0.1866295337677002,0.15991808474063873,0.09819876402616501,0.08701977878808975,0.14968471229076385,0.17615807056427002,0.16017670929431915,0.20040832459926605
a,0.3320399522781372,0.3994528353214264,0.5052502155303955,0.24802380800247192,0.17203083634376526,0.5829201340675354,0.16186057031154633,0.2605401277542114,0.23916715383529663
unique,0.2536143958568573,0.2142355740070343,0.29481077194213867,0.09663316607475281,0.17511925101280212,0.26165643334388733,0.13684237003326416,0.1778310090303421,0.17680858075618744
``,0.008517155423760414,0.08985232561826706,0.06780257821083069,0.14728125929832458,0.006090171169489622,0.029072100296616554,0.10684096813201904,-0.03266627714037895,0.0685480609536171
norman,0.12319435924291611,0.12754443287849426,0.15827171504497528,0.26324939727783203,0.1889636218547821,0.23459704220294952,0.7264348268508911,0.08898437768220901,0.12243545055389404
'',0.08143015950918198,0.011256706900894642,0.13035868108272552,-0.020874442532658577,0.007215402089059353,0.041273195296525955,0.02424602396786213,0.01448875479400158,0.018684765323996544
culture,0.22475376725196838,0.27171626687049866,0.27266472578048706,0.16960375010967255,0.19326214492321014,0.27157285809516907,0.21993273496627808,0.14451007544994354,0.13093146681785583
in,0.30808621644973755,0.4499994218349457,0.5696388483047485,0.3812309503555298,0.3815755248069763,0.6662389636039734,0.23263490200042725,0.35149815678596497,0.20430970191955566
the,0.42745697498321533,0.527681291103363,0.733189046382904,0.35517507791519165,0.3906462490558624,1.0,0.2781367897987366,0.407527357339859,0.22068053483963013
north,0.18673177063465118,0.35967114567756653,0.3604778051376343,0.28069406747817993,0.22497540712356567,0.36298373341560364,0.23094694316387177,0.3751964271068573,0.11829731613397598
of,0.33290785551071167,0.452393114566803,1.0,0.3265724182128906,0.34038281440734863,0.733189046382904,0.2173461765050888,0.32520920038223267,0.1826142966747284
france,0.17793065309524536,0.26355621218681335,0.3265724182128906,1.0000001192092896,0.24330811202526093,0.35517507791519165,0.4431338310241699,0.16463594138622284,0.15069349110126495
.,0.3567904531955719,0.32817673683166504,0.5352458953857422,0.33719199895858765,0.3378238379955292,0.5934505462646484,0.2287112921476364,0.28226932883262634,0.4130953550338745
