,what,does,the,museum,of,the,polish,army,portray,the,history,of,?
time,0.36319252848625183,0.2519678771495819,0.43061500787734985,0.1336563527584076,0.35127586126327515,0.43061500787734985,0.14620882272720337,0.200718492269516,0.21457163989543915,0.43061500787734985,0.36719411611557007,0.35127586126327515,0.27391523122787476
from,0.2737620174884796,0.1777622550725937,0.40150508284568787,0.20791949331760406,0.4249346852302551,0.40150508284568787,0.24760311841964722,0.2187274545431137,0.15239723026752472,0.40150508284568787,0.23008158802986145,0.4249346852302551,0.19969791173934937
antiquity,0.1817406713962555,0.15753120183944702,0.3004048764705658,0.239325612783432,0.34980958700180054,0.3004048764705658,0.19042514264583588,0.16185840964317322,0.2148713767528534,0.3004048764705658,0.3783833980560303,0.34980958700180054,0.16758611798286438
till,0.26231494545936584,0.11014997959136963,0.20668664574623108,0.11253838241100311,0.16914160549640656,0.20668664574623108,0.08139089494943619,0.09276231378316879,0.017060237005352974,0.20668664574623108,0.12993521988391876,0.16914160549640656,0.1827678382396698
the,0.42745697498321533,0.35928019881248474,1.0,0.24861779808998108,0.733189046382904,1.0,0.17708231508731842,0.31011611223220825,0.2126535326242447,1.0,0.33215048909187317,0.733189046382904,0.22068053483963013
present,0.30940163135528564,0.19336256384849548,0.2829846143722534,0.1676148623228073,0.3116828501224518,0.2829846143722534,0.007904578000307083,0.14212431013584137,0.07789674401283264,0.2829846143722534,0.19843731820583344,0.3116828501224518,0.21759982407093048
epoch,0.25109848380088806,0.09310145676136017,0.25456464290618896,0.17179080843925476,0.22761239111423492,0.25456464290618896,0.10805191099643707,0.05771734192967415,0.06930237263441086,0.25456464290618896,0.24338079988956451,0.22761239111423492,0.17884482443332672
as,0.31749409437179565,0.31202155351638794,0.48381632566452026,0.15384963154792786,0.3886612355709076,0.48381632566452026,0.13429972529411316,0.2064976841211319,0.404685914516449,0.48381632566452026,0.2152104675769806,0.3886612355709076,0.27043893933296204
well,0.4154493808746338,0.3239245116710663,0.42630070447921753,0.17272178828716278,0.3343164324760437,0.42630070447921753,0.21374991536140442,0.1553143411874771,0.2952171564102173,0.42630070447921753,0.24527132511138916,0.3343164324760437,0.24815571308135986
as,0.31749409437179565,0.31202155351638794,0.48381632566452026,0.15384963154792786,0.3886612355709076,0.48381632566452026,0.13429972529411316,0.2064976841211319,0.404685914516449,0.48381632566452026,0.2152104675769806,0.3886612355709076,0.27043893933296204
one,0.376489520072937,0.2924913763999939,0.5514441132545471,0.20303620398044586,0.4999135136604309,0.5514441132545471,0.16238172352313995,0.16603176295757294,0.2608965337276459,0.5514441132545471,0.3155480921268463,0.4999135136604309,0.2673267424106598
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.23314370214939117,1.0,0.733189046382904,0.16866981983184814,0.2669098675251007,0.24145586788654327,0.733189046382904,0.31014925241470337,1.0,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.24861779808998108,0.733189046382904,1.0,0.17708231508731842,0.31011611223220825,0.2126535326242447,1.0,0.33215048909187317,0.733189046382904,0.22068053483963013
best,0.3036847710609436,0.21949787437915802,0.3134109377861023,0.15108419954776764,0.23660683631896973,0.3134109377861023,0.11395196616649628,0.1388118863105774,0.326425701379776,0.3134109377861023,0.23154303431510925,0.23660683631896973,0.2799045741558075
collections,0.22708594799041748,0.112778440117836,0.27174001932144165,0.447247713804245,0.3185039758682251,0.27174001932144165,0.14792799949645996,0.140492781996727,0.25490570068359375,0.27174001932144165,0.3019181787967682,0.3185039758682251,0.1873358190059662
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.23314370214939117,1.0,0.733189046382904,0.16866981983184814,0.2669098675251007,0.24145586788654327,0.733189046382904,0.31014925241470337,1.0,0.1826142966747284
paintings,0.22357428073883057,0.16820548474788666,0.2167874127626419,0.3647291660308838,0.21768251061439514,0.2167874127626419,0.12727947533130646,0.1607942283153534,0.37087276577949524,0.2167874127626419,0.19528144598007202,0.21768251061439514,0.1866389960050583
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.2407650351524353,0.5696388483047485,0.6662389636039734,0.1896398365497589,0.25258398056030273,0.21545447409152985,0.6662389636039734,0.29215577244758606,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,1.0,0.24861779808998108,0.733189046382904,1.0,0.17708231508731842,0.31011611223220825,0.2126535326242447,1.0,0.33215048909187317,0.733189046382904,0.22068053483963013
country,0.22705033421516418,0.21151480078697205,0.30432501435279846,0.13286592066287994,0.28866857290267944,0.30432501435279846,0.12447881698608398,0.2491503208875656,0.07814401388168335,0.30432501435279846,0.22396977245807648,0.28866857290267944,0.12647280097007751
including,0.18328791856765747,0.20252716541290283,0.3738902807235718,0.21556918323040009,0.44195112586021423,0.3738902807235718,0.16559399664402008,0.1593582034111023,0.2453501969575882,0.3738902807235718,0.21170158684253693,0.44195112586021423,0.1633303165435791
some,0.4491020441055298,0.39611563086509705,0.4566698372364044,0.14952780306339264,0.4300730526447296,0.4566698372364044,0.14821530878543854,0.16495473682880402,0.29030659794807434,0.4566698372364044,0.23317785561084747,0.4300730526447296,0.2562315762042999
paintings,0.22357428073883057,0.16820548474788666,0.2167874127626419,0.3647291660308838,0.21768251061439514,0.2167874127626419,0.12727947533130646,0.1607942283153534,0.37087276577949524,0.2167874127626419,0.19528144598007202,0.21768251061439514,0.1866389960050583
from,0.2737620174884796,0.1777622550725937,0.40150508284568787,0.20791949331760406,0.4249346852302551,0.40150508284568787,0.24760311841964722,0.2187274545431137,0.15239723026752472,0.40150508284568787,0.23008158802986145,0.4249346852302551,0.19969791173934937
adolf,0.1794750839471817,0.12445972114801407,0.23496994376182556,0.01980557106435299,0.2062341570854187,0.23496994376182556,0.262900173664093,0.24058780074119568,0.11510469019412994,0.23496994376182556,0.066115602850914,0.2062341570854187,0.16571351885795593
hitler,0.23170879483222961,0.19013454020023346,0.2337159663438797,0.024987826123833656,0.20085355639457703,0.2337159663438797,0.2609201967716217,0.3319501578807831,0.17505325376987457,0.2337159663438797,0.09816621243953705,0.20085355639457703,0.22639022767543793
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,-0.011753248050808907,-0.03817026689648628,-0.01540423184633255,0.047667719423770905,0.03417222201824188,-0.024855151772499084,-0.01540423184633255,-0.0466335192322731,-0.03817026689648628,-0.023395681753754616
private,0.16778090596199036,0.1316513568162918,0.18291357159614563,0.21051907539367676,0.18706899881362915,0.18291357159614563,0.07407344877719879,0.2109680324792862,0.12782469391822815,0.18291357159614563,0.1507004052400589,0.18706899881362915,0.14389030635356903
collection,0.215459942817688,0.10356780141592026,0.25281965732574463,0.4441815912723541,0.2915455996990204,0.25281965732574463,0.1291814148426056,0.1456238180398941,0.23698677122592926,0.25281965732574463,0.2772976756095886,0.2915455996990204,0.20069393515586853
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.20741747319698334,0.4946078956127167,0.4933079481124878,0.2655222415924072,0.230897456407547,0.1539248824119568,0.4933079481124878,0.2728564441204071,0.4946078956127167,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.21554097533226013,0.5116966962814331,0.5171257257461548,0.2486540973186493,0.25581875443458557,0.19812200963497162,0.5171257257461548,0.23541007936000824,0.5116966962814331,0.20544172823429108
museum,0.1771627515554428,0.1064787358045578,0.24861779808998108,1.0000001192092896,0.23314370214939117,0.24861779808998108,0.17116215825080872,0.14988547563552856,0.1586996465921402,0.24861779808998108,0.36523616313934326,0.23314370214939117,0.14128351211547852
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.23314370214939117,1.0,0.733189046382904,0.16866981983184814,0.2669098675251007,0.24145586788654327,0.733189046382904,0.31014925241470337,1.0,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.24861779808998108,0.733189046382904,1.0,0.17708231508731842,0.31011611223220825,0.2126535326242447,1.0,0.33215048909187317,0.733189046382904,0.22068053483963013
polish,0.08233486860990524,0.12843264639377594,0.17708231508731842,0.17116215825080872,0.16866981983184814,0.17708231508731842,1.0,0.20762719213962555,0.1642807424068451,0.17708231508731842,0.14442862570285797,0.16866981983184814,0.14012759923934937
army,0.1698741316795349,0.1139552891254425,0.31011611223220825,0.14988547563552856,0.2669098675251007,0.31011611223220825,0.20762719213962555,1.0000001192092896,0.19941017031669617,0.31011611223220825,0.18469256162643433,0.2669098675251007,0.180583193898201
whose,0.22831642627716064,0.2838347554206848,0.38253846764564514,0.017854614183306694,0.37058958411216736,0.38253846764564514,0.20729434490203857,0.10774852335453033,0.318466454744339,0.38253846764564514,0.15588603913784027,0.37058958411216736,0.16990536451339722
set,0.28954121470451355,0.17238076031208038,0.2927955985069275,0.1482827514410019,0.20671486854553223,0.2927955985069275,0.09991562366485596,0.10049887746572495,0.15734224021434784,0.2927955985069275,0.14520439505577087,0.20671486854553223,0.1698019951581955
portrays,0.20306366682052612,0.23329958319664001,0.2010500729084015,0.1535453200340271,0.24156837165355682,0.2010500729084015,0.1719004213809967,0.19964556396007538,0.9168777465820312,0.2010500729084015,0.22294765710830688,0.24156837165355682,0.13466791808605194
the,0.42745697498321533,0.35928019881248474,1.0,0.24861779808998108,0.733189046382904,1.0,0.17708231508731842,0.31011611223220825,0.2126535326242447,1.0,0.33215048909187317,0.733189046382904,0.22068053483963013
history,0.28630873560905457,0.1386861950159073,0.33215048909187317,0.36523616313934326,0.31014925241470337,0.33215048909187317,0.14442862570285797,0.18469256162643433,0.23429328203201294,0.33215048909187317,1.0000001192092896,0.31014925241470337,0.2501974403858185
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.23314370214939117,1.0,0.733189046382904,0.16866981983184814,0.2669098675251007,0.24145586788654327,0.733189046382904,0.31014925241470337,1.0,0.1826142966747284
arms,0.1261218786239624,0.1771780252456665,0.2508765757083893,0.17998600006103516,0.30713436007499695,0.2508765757083893,0.09103509038686752,0.27940553426742554,0.158360555768013,0.2508765757083893,0.15476106107234955,0.30713436007499695,0.1243237629532814
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.19497929513454437,0.5352458953857422,0.5934505462646484,0.23422029614448547,0.28860729932785034,0.17264114320278168,0.5934505462646484,0.30310705304145813,0.5352458953857422,0.4130953550338745
