,when,did,france,and,the,dutch,fight,in,the,17th,century,?
of,0.3757161796092987,0.2513895630836487,0.3265724182128906,0.5116966962814331,0.733189046382904,0.14408773183822632,0.20101141929626465,0.5696388483047485,0.733189046382904,0.19377021491527557,0.2826060354709625,0.1826142966747284
england,0.26359328627586365,0.22023706138134003,0.4915108382701874,0.35173749923706055,0.28280043601989746,0.21213699877262115,0.20864911377429962,0.33311840891838074,0.28280043601989746,0.1539422869682312,0.2524588704109192,0.13436897099018097
",",0.36674630641937256,0.3015086054801941,0.28250643610954285,0.6633074283599854,0.4933079481124878,0.23674406111240387,0.23247352242469788,0.5201468467712402,0.4933079481124878,0.20329853892326355,0.24487493932247162,0.31091248989105225
emerged,0.19285018742084503,0.18697099387645721,0.10100169479846954,0.1980833113193512,0.30315518379211426,0.09924816340208054,0.10865183174610138,0.205857515335083,0.30315518379211426,0.1015438511967659,0.2985474169254303,0.10732126981019974
as,0.4437963366508484,0.3596470057964325,0.19034622609615326,0.49487000703811646,0.48381632566452026,0.20572681725025177,0.2303268015384674,0.3887844979763031,0.48381632566452026,0.10634851455688477,0.24608509242534637,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,0.35517507791519165,0.5171257257461548,1.0,0.1705695390701294,0.28874441981315613,0.6662389636039734,1.0,0.2679309546947479,0.3617299497127533,0.22068053483963013
strongest,0.2349264770746231,0.2149842530488968,0.09458857029676437,0.26421281695365906,0.3046645522117615,0.11387057602405548,0.22650150954723358,0.2373267114162445,0.3046645522117615,0.2367117702960968,0.2172454297542572,0.14222878217697144
opponent,0.227650985121727,0.18738310039043427,0.09944518655538559,0.17634263634681702,0.2627383768558502,0.07176060229539871,0.3475009799003601,0.1659749150276184,0.2627383768558502,0.1526593267917633,0.16534091532230377,0.17604640126228333
of,0.3757161796092987,0.2513895630836487,0.3265724182128906,0.5116966962814331,0.733189046382904,0.14408773183822632,0.20101141929626465,0.5696388483047485,0.733189046382904,0.19377021491527557,0.2826060354709625,0.1826142966747284
king,0.18628188967704773,0.24472618103027344,0.30626484751701355,0.24642229080200195,0.25887003540992737,0.11170704662799835,0.25867244601249695,0.2044914960861206,0.25887003540992737,0.10495393723249435,0.2142265886068344,0.19130074977874756
louis,0.18932022154331207,0.21384841203689575,0.43262016773223877,0.20344610512256622,0.22078758478164673,0.20733150839805603,0.1708357185125351,0.2117311805486679,0.22078758478164673,0.11520018428564072,0.2222128063440323,0.09819188714027405
xiv,0.21460728347301483,0.19741129875183105,0.39718514680862427,0.19559554755687714,0.24956288933753967,0.16471515595912933,0.1669532060623169,0.20836922526359558,0.24956288933753967,0.061293162405490875,0.24572710692882538,0.19533176720142365
after,0.5331412553787231,0.30330467224121094,0.2599034905433655,0.3765919506549835,0.4565047025680542,0.15560926496982574,0.32263991236686707,0.44050168991088867,0.4565047025680542,0.10716738551855087,0.195833221077919,0.16608688235282898
the,0.5091903209686279,0.34736719727516174,0.35517507791519165,0.5171257257461548,1.0,0.1705695390701294,0.28874441981315613,0.6662389636039734,1.0,0.2679309546947479,0.3617299497127533,0.22068053483963013
french,0.18820616602897644,0.1584041714668274,0.5492131114006042,0.32751965522766113,0.2555147111415863,0.45117130875587463,0.13381531834602356,0.22093388438224792,0.2555147111415863,0.1299435943365097,0.2562131881713867,0.1386883556842804
attacked,0.3223257064819336,0.2515815198421478,0.18201278150081635,0.29838094115257263,0.27774572372436523,0.16804146766662598,0.46176257729530334,0.23554553091526031,0.27774572372436523,0.14964015781879425,0.2258937954902649,0.08601678907871246
the,0.5091903209686279,0.34736719727516174,0.35517507791519165,0.5171257257461548,1.0,0.1705695390701294,0.28874441981315613,0.6662389636039734,1.0,0.2679309546947479,0.3617299497127533,0.22068053483963013
dutch,0.13281308114528656,0.1729682981967926,0.21733099222183228,0.26873692870140076,0.1705695390701294,0.9999999403953552,0.14695988595485687,0.17559829354286194,0.1705695390701294,0.0835222601890564,0.1982981115579605,0.1081366017460823
republic,0.1433873176574707,0.14819517731666565,0.2804345190525055,0.25642362236976624,0.2862427830696106,0.21594777703285217,0.23476289212703705,0.2782426178455353,0.2862427830696106,0.16067148745059967,0.24464020133018494,0.16880398988723755
in,0.4431333839893341,0.2593238651752472,0.3812309503555298,0.4954058527946472,0.6662389636039734,0.17559829354286194,0.20735964179039001,1.0,0.6662389636039734,0.17784206569194794,0.3174034655094147,0.20430970191955566
1672,0.007929046638309956,-0.02252536080777645,0.12936851382255554,0.026336276903748512,0.04491006210446358,-0.046810802072286606,-0.12422049790620804,0.07638811320066452,0.04491006210446358,0.0207991786301136,0.1477983444929123,-0.016871925443410873
.,0.475719153881073,0.35288307070732117,0.33719199895858765,0.588965117931366,0.5934505462646484,0.2196396291255951,0.263308584690094,0.5591574311256409,0.5934505462646484,0.24070394039154053,0.27413639426231384,0.4130953550338745
