,who,was,the,head,of,the,household,that,temüjin,joined,when,he,was,nine,years,old,?
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2711189091205597,0.4946078956127167,0.4933079481124878,0.26007866859436035,0.4137537479400635,0.3484273850917816,0.23146051168441772,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.273027628660202,0.2589467465877533,0.26524028182029724,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.3079071640968323,0.733189046382904,1.0,0.2428457885980606,0.5473989248275757,0.43713900446891785,0.2943263649940491,0.5091903209686279,0.4571082592010498,0.48711544275283813,0.33253175020217896,0.2912273406982422,0.31849798560142517,0.22068053483963013
head,0.20998527109622955,0.2465479075908661,0.3079071640968323,0.9999998807907104,0.2945564389228821,0.3079071640968323,0.28114163875579834,0.17899899184703827,0.23875534534454346,0.19533643126487732,0.2459375113248825,0.26063814759254456,0.2465479075908661,0.12222199887037277,0.11371049284934998,0.08878083527088165,0.10879309475421906
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.2945564389228821,1.0,0.733189046382904,0.2802146077156067,0.41498205065727234,0.378805011510849,0.24761945009231567,0.3757161796092987,0.38706058263778687,0.4069072902202606,0.29486238956451416,0.2904134690761566,0.30522194504737854,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.3079071640968323,0.733189046382904,1.0,0.2428457885980606,0.5473989248275757,0.43713900446891785,0.2943263649940491,0.5091903209686279,0.4571082592010498,0.48711544275283813,0.33253175020217896,0.2912273406982422,0.31849798560142517,0.22068053483963013
new,0.2378052920103073,0.2748313844203949,0.3845241069793701,0.18110334873199463,0.343457967042923,0.3845241069793701,0.115287184715271,0.29177987575531006,0.206562340259552,0.20166054368019104,0.257220059633255,0.2739552855491638,0.2748313844203949,0.18721754848957062,0.20363415777683258,0.3384166657924652,0.14782847464084625
household,0.23053108155727386,0.20707203447818756,0.2428457885980606,0.28114163875579834,0.2802146077156067,0.2428457885980606,1.0,0.1702599823474884,0.2717132270336151,0.09011293947696686,0.20589300990104675,0.174577534198761,0.20707203447818756,0.1629302203655243,0.21435093879699707,0.17602185904979706,0.12460741400718689
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2711189091205597,0.4946078956127167,0.4933079481124878,0.26007866859436035,0.4137537479400635,0.3484273850917816,0.23146051168441772,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.273027628660202,0.2589467465877533,0.26524028182029724,0.31091248989105225
until,0.2530071437358856,0.43126991391181946,0.37191009521484375,0.1834559142589569,0.2787701487541199,0.37191009521484375,0.11636561900377274,0.324736088514328,0.3203326463699341,0.29405367374420166,0.494509756565094,0.36324307322502136,0.43126991391181946,0.28577321767807007,0.3943547308444977,0.255244642496109,0.20304496586322784
he,0.5500732064247131,0.5410010814666748,0.4571082592010498,0.26063814759254456,0.38706058263778687,0.4571082592010498,0.174577534198761,0.36068853735923767,0.44463157653808594,0.29699957370758057,0.39115971326828003,1.0000001192092896,0.5410010814666748,0.28116974234580994,0.3526231348514557,0.29039672017097473,0.2089974731206894
reached,0.14704298973083496,0.3110939562320709,0.29860952496528625,0.06697825342416763,0.18604008853435516,0.29860952496528625,0.13561692833900452,0.22658783197402954,0.23039881885051727,0.20335684716701508,0.22692134976387024,0.19341927766799927,0.3110939562320709,0.1860751211643219,0.23032936453819275,0.11123934388160706,0.1518019139766693
the,0.3733934462070465,0.48711544275283813,1.0,0.3079071640968323,0.733189046382904,1.0,0.2428457885980606,0.5473989248275757,0.43713900446891785,0.2943263649940491,0.5091903209686279,0.4571082592010498,0.48711544275283813,0.33253175020217896,0.2912273406982422,0.31849798560142517,0.22068053483963013
marriageable,0.3232390880584717,0.29077813029289246,0.2108142226934433,0.08749700337648392,0.24545948207378387,0.2108142226934433,0.30164119601249695,0.33280307054519653,0.29796528816223145,0.24241957068443298,0.3173661530017853,0.2729935050010681,0.29077813029289246,0.20607201755046844,0.2517155706882477,0.19616588950157166,0.28268396854400635
age,0.2584081292152405,0.27072176337242126,0.24711290001869202,0.13623540103435516,0.2372717410326004,0.24711290001869202,0.2428356111049652,0.18966884911060333,0.32041993737220764,0.19289520382881165,0.30780088901519775,0.3103105127811432,0.27072176337242126,0.2055349498987198,0.477315217256546,0.3780447840690613,0.16859300434589386
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.2945564389228821,1.0,0.733189046382904,0.2802146077156067,0.41498205065727234,0.378805011510849,0.24761945009231567,0.3757161796092987,0.38706058263778687,0.4069072902202606,0.29486238956451416,0.2904134690761566,0.30522194504737854,0.1826142966747284
12,0.07916399836540222,0.13560841977596283,0.28907760977745056,0.1959848254919052,0.2886716425418854,0.28907760977745056,0.20081599056720734,0.2566739022731781,0.3098739981651306,-0.009598832577466965,0.24838608503341675,0.0714946985244751,0.13560841977596283,0.05870356038212776,0.0803728774189949,0.1703370064496994,0.10021790862083435
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.2515932321548462,0.5352458953857422,0.5934505462646484,0.23265226185321808,0.4460422694683075,0.31788840889930725,0.23954392969608307,0.475719153881073,0.38061028718948364,0.40146201848983765,0.295397013425827,0.31919315457344055,0.32390445470809937,0.4130953550338745
