,what,led,to,the,production,of,tea,paraphernalia,such,as,china,and,caddies,during,the,georgian,period,?
the,0.42745697498321533,0.3267505168914795,0.535392165184021,1.0,0.2657334506511688,0.733189046382904,0.206143319606781,0.200684055685997,0.3575236201286316,0.48381632566452026,0.3110525608062744,0.5171257257461548,0.31452229619026184,0.4838213622570038,1.0,0.21775341033935547,0.3125074505805969,0.22068053483963013
production,0.16636081039905548,0.16761913895606995,0.2144220918416977,0.2657334506511688,1.0,0.1928233802318573,0.2503020167350769,0.23440246284008026,0.24488459527492523,0.24125908315181732,0.19133256375789642,0.25569969415664673,0.3670787513256073,0.18893569707870483,0.2657334506511688,0.11025428026914597,0.1813361942768097,0.19318072497844696
of,0.33290785551071167,0.32918456196784973,0.41548454761505127,0.733189046382904,0.1928233802318573,1.0,0.206013485789299,0.1816912442445755,0.3209529519081116,0.3886612355709076,0.27699828147888184,0.5116966962814331,0.25208577513694763,0.3869180977344513,0.733189046382904,0.18764035403728485,0.2698146104812622,0.1826142966747284
tea,0.1909407526254654,0.13466671109199524,0.2029065489768982,0.206143319606781,0.2503020167350769,0.206013485789299,0.9999999403953552,0.16354058682918549,0.13887517154216766,0.16363681852817535,0.2913344204425812,0.22572338581085205,0.3587842285633087,0.127815380692482,0.206143319606781,0.10636229068040848,0.17758417129516602,0.18135163187980652
paraphernalia,0.2019706517457962,0.18525643646717072,0.19153819978237152,0.200684055685997,0.23440246284008026,0.1816912442445755,0.16354058682918549,1.0,0.20583392679691315,0.22722628712654114,0.23120783269405365,0.29342901706695557,0.22844140231609344,0.24809905886650085,0.200684055685997,0.18036212027072906,0.19797275960445404,0.14850515127182007
such,0.23989605903625488,0.19558767974376678,0.2871878743171692,0.3575236201286316,0.24488459527492523,0.3209529519081116,0.13887517154216766,0.20583392679691315,1.0,0.6207084655761719,0.21586528420448303,0.44540345668792725,0.3237813413143158,0.2389506697654724,0.3575236201286316,0.12125850468873978,0.19763372838497162,0.17851735651493073
as,0.31749409437179565,0.20535489916801453,0.42092081904411316,0.48381632566452026,0.24125908315181732,0.3886612355709076,0.16363681852817535,0.22722628712654114,0.6207084655761719,1.0,0.22077526152133942,0.49487000703811646,0.3762984871864319,0.29671990871429443,0.48381632566452026,0.17613160610198975,0.23129993677139282,0.27043893933296204
china,0.13832437992095947,0.19702774286270142,0.1938052773475647,0.3110525608062744,0.19133256375789642,0.27699828147888184,0.2913344204425812,0.23120783269405365,0.21586528420448303,0.22077526152133942,1.0000001192092896,0.27966102957725525,0.23215487599372864,0.22539520263671875,0.3110525608062744,0.260917603969574,0.26020902395248413,0.18007943034172058
and,0.31309178471565247,0.2780643701553345,0.48971283435821533,0.5171257257461548,0.25569969415664673,0.5116966962814331,0.22572338581085205,0.29342901706695557,0.44540345668792725,0.49487000703811646,0.27966102957725525,1.0,0.4032747149467468,0.36462149024009705,0.5171257257461548,0.1900579184293747,0.23878438770771027,0.20544172823429108
caddies,0.17425556480884552,0.15089403092861176,0.30018576979637146,0.31452229619026184,0.3670787513256073,0.25208577513694763,0.3587842285633087,0.22844140231609344,0.3237813413143158,0.3762984871864319,0.23215487599372864,0.4032747149467468,1.0,0.22350701689720154,0.31452229619026184,0.07564890384674072,0.1259012073278427,0.2212044894695282
.,0.3567904531955719,0.19335708022117615,0.4645031690597534,0.5934505462646484,0.22297915816307068,0.5352458953857422,0.23845787346363068,0.17717166244983673,0.3298943042755127,0.515582263469696,0.2979343831539154,0.588965117931366,0.32010993361473083,0.3485563397407532,0.5934505462646484,0.22068770229816437,0.2575049102306366,0.4130953550338745
