,when,were,competition,rules,included,in,the,treaty,of,rome,?
rome,0.19273169338703156,0.23311859369277954,0.21830323338508606,0.14962105453014374,0.12957675755023956,0.25722408294677734,0.2399049997329712,0.24507440626621246,0.21705909073352814,1.0,0.16867119073867798
",",0.36674630641937256,0.36755475401878357,0.2820526659488678,0.23899291455745697,0.3679811954498291,0.5201468467712402,0.4933079481124878,0.21270246803760529,0.4946078956127167,0.2507072985172272,0.31091248989105225
also,0.5475645065307617,0.31877249479293823,0.26481446623802185,0.2957235872745514,0.3562854826450348,0.5073733329772949,0.6021018624305725,0.2214195728302002,0.4924938678741455,0.15998394787311554,0.21848613023757935
known,0.1836930811405182,0.2330206036567688,0.17567472159862518,0.1581742763519287,0.3245582580566406,0.32641831040382385,0.3624623417854309,0.1322270631790161,0.35814476013183594,0.12105021625757217,0.18314571678638458
as,0.4437963366508484,0.3025437891483307,0.22892597317695618,0.27106308937072754,0.34162476658821106,0.3887844979763031,0.48381632566452026,0.21985258162021637,0.3886612355709076,0.20128996670246124,0.27043893933296204
the,0.5091903209686279,0.3906462490558624,0.257230669260025,0.27022838592529297,0.3825419843196869,0.6662389636039734,1.0,0.2690109610557556,0.733189046382904,0.2399049997329712,0.22068053483963013
ec,0.10220326483249664,0.08122476190328598,0.1474982053041458,0.1160496398806572,0.08492640405893326,0.07087412476539612,0.14133693277835846,0.1496964544057846,0.14448298513889313,0.13681690394878387,0.2329261600971222
treaty,0.15431849658489227,0.17081822454929352,0.1771579086780548,0.23335640132427216,0.16249537467956543,0.22333456575870514,0.2690109610557556,1.0,0.2602092921733856,0.24507440626621246,0.1174844279885292
",",0.36674630641937256,0.36755475401878357,0.2820526659488678,0.23899291455745697,0.3679811954498291,0.5201468467712402,0.4933079481124878,0.21270246803760529,0.4946078956127167,0.2507072985172272,0.31091248989105225
which,0.572554349899292,0.2807837128639221,0.27663862705230713,0.30419498682022095,0.319993793964386,0.4840516746044159,0.6521818041801453,0.19969318807125092,0.5011631846427917,0.18382954597473145,0.25814583897590637
established,0.18169470131397247,0.19600653648376465,0.22313742339611053,0.2773262858390808,0.22813336551189423,0.3118882477283478,0.33092597126960754,0.24244152009487152,0.2735237777233124,0.1355237066745758,0.15917523205280304
the,0.5091903209686279,0.3906462490558624,0.257230669260025,0.27022838592529297,0.3825419843196869,0.6662389636039734,1.0,0.2690109610557556,0.733189046382904,0.2399049997329712,0.22068053483963013
european,0.1717725396156311,0.21272888779640198,0.25398242473602295,0.14646150171756744,0.21982693672180176,0.23319172859191895,0.3423081040382385,0.25059598684310913,0.2507138252258301,0.25585344433784485,0.14560863375663757
economic,0.16004443168640137,0.19314044713974,0.19807389378547668,0.1178065687417984,0.18054047226905823,0.22027181088924408,0.282455176115036,0.31032273173332214,0.3030148148536682,0.1920853555202484,0.1206481084227562
community,0.12761707603931427,0.15254662930965424,0.16867755353450775,0.21572348475456238,0.136272132396698,0.21838891506195068,0.2601400911808014,0.19251105189323425,0.2367410808801651,0.10059264302253723,0.2380419820547104
(,0.2459595799446106,0.14743882417678833,0.14655764400959015,0.13285702466964722,0.20944266021251678,0.3087427020072937,0.33289089798927307,0.14117708802223206,0.35032153129577637,0.12042016535997391,0.40561532974243164
eec,0.16931948065757751,0.20408812165260315,0.174262136220932,0.16267679631710052,0.23090967535972595,0.17706318199634552,0.2747054398059845,0.23579542338848114,0.24132487177848816,0.13205207884311676,0.14561593532562256
),0.2538422644138336,0.1566188633441925,0.16494549810886383,0.15725542604923248,0.20644870400428772,0.3326910734176636,0.3456730246543884,0.15254124999046326,0.3680361211299896,0.13416309654712677,0.42300865054130554
.,0.475719153881073,0.3378238379955292,0.2138785570859909,0.27219346165657043,0.25865867733955383,0.5591574311256409,0.5934505462646484,0.17410176992416382,0.5352458953857422,0.22383488714694977,0.4130953550338745
