,who,wrote,of,the,savery,water,pump,in,1751,'s,philosophical,transactions,?
by,0.39727845788002014,0.2766735553741455,0.3646814823150635,0.4408751428127289,0.3020610213279724,0.22562243044376373,0.17725655436515808,0.370934396982193,0.09104510396718979,-0.010884488001465797,0.21514666080474854,0.22090820968151093,0.17966607213020325
john,0.30388808250427246,0.25914910435676575,0.2407056987285614,0.2230520099401474,0.17420803010463715,0.14688117802143097,0.07472604513168335,0.22177861630916595,0.09291966259479523,-0.1023898646235466,0.13029950857162476,0.19673073291778564,0.13162356615066528
smeaton,0.24587447941303253,0.26223644614219666,0.2466539591550827,0.254068523645401,0.24235481023788452,0.2092469185590744,0.223098024725914,0.24687448143959045,0.12860143184661865,0.09042929112911224,0.12059541791677475,0.2017095685005188,0.1518121063709259
in,0.2792111933231354,0.2898900806903839,0.5696388483047485,0.6662389636039734,0.3151136636734009,0.23966141045093536,0.14753441512584686,1.0,0.12080610543489456,-0.037580832839012146,0.25335264205932617,0.22449298202991486,0.20430970191955566
the,0.3733934462070465,0.2426944375038147,0.733189046382904,1.0,0.3600737154483795,0.297396719455719,0.21872945129871368,0.6662389636039734,0.0680534616112709,-0.01540423184633255,0.23365144431591034,0.2598714530467987,0.22068053483963013
philosophical,0.23016059398651123,0.4052760601043701,0.2655055820941925,0.23365144431591034,0.24648137390613556,0.1030953899025917,0.09183215349912643,0.25335264205932617,0.11295030266046524,-0.00781565997749567,0.9999999403953552,0.4009791910648346,0.18311575055122375
transactions,0.19503767788410187,0.1988704651594162,0.265135258436203,0.2598714530467987,0.3505069315433502,0.1489357352256775,0.22561080753803253,0.22449298202991486,0.12648704648017883,0.00491362577304244,0.4009791910648346,1.0,0.19647830724716187
published,0.16961833834648132,0.4751642644405365,0.23023100197315216,0.22017472982406616,0.2457285374403,0.10255663096904755,0.15360046923160553,0.26697060465812683,0.13388238847255707,0.01244857907295227,0.3510197103023529,0.27891841530799866,0.16280238330364227
in,0.2792111933231354,0.2898900806903839,0.5696388483047485,0.6662389636039734,0.3151136636734009,0.23966141045093536,0.14753441512584686,1.0,0.12080610543489456,-0.037580832839012146,0.25335264205932617,0.22449298202991486,0.20430970191955566
1751,0.12040775269269943,0.14296092092990875,0.048281583935022354,0.0680534616112709,0.2312098741531372,-0.024187885224819183,-0.029076486825942993,0.12080610543489456,0.9999999403953552,-0.012707240879535675,0.11295030266046524,0.12648704648017883,0.1705532968044281
.,0.3541337847709656,0.2480330765247345,0.5352458953857422,0.5934505462646484,0.3226619362831116,0.26634910702705383,0.2474096715450287,0.5591574311256409,0.15852738916873932,-0.003708066651597619,0.20125450193881989,0.23180222511291504,0.4130953550338745
