,who,teaches,the,proper,way,of,living,in,islam,?
(,0.2443375140428543,0.18417498469352722,0.33289089798927307,0.22978609800338745,0.19188208878040314,0.35032153129577637,0.17554375529289246,0.3087427020072937,0.1376255452632904,0.40561532974243164
the,0.3733934462070465,0.2156836986541748,1.0,0.3680674135684967,0.36217406392097473,0.733189046382904,0.3127744197845459,0.6662389636039734,0.2207694798707962,0.22068053483963013
teachers,0.34250906109809875,0.6691735982894897,0.22025763988494873,0.20626048743724823,0.15375399589538574,0.27737662196159363,0.18997229635715485,0.2128150761127472,0.20831315219402313,0.19522249698638916
at,0.22096660733222961,0.18379509449005127,0.457212895154953,0.17321659624576569,0.25602155923843384,0.42558613419532776,0.24920441210269928,0.4374977946281433,0.12302765995264053,0.21978627145290375
madrassas,0.270487904548645,0.19684730470180511,0.32559967041015625,0.14562861621379852,0.13100267946720123,0.3306562900543213,0.18273544311523438,0.24549037218093872,0.3291734755039215,0.17808407545089722
),0.2457384318113327,0.19145284593105316,0.3456730246543884,0.25461843609809875,0.21187807619571686,0.3680361211299896,0.19151180982589722,0.3326910734176636,0.1776180863380432,0.42300865054130554
to,0.42656609416007996,0.2637596130371094,0.535392165184021,0.38182929158210754,0.4772548973560333,0.41548454761505127,0.2300543487071991,0.45010748505592346,0.2398901730775833,0.29463258385658264
ulemas,0.2219288945198059,0.25355464220046997,0.2842230498790741,0.24014915525913239,0.131251722574234,0.24590803682804108,0.16358411312103271,0.24036136269569397,0.3650362193584442,0.1629532128572464
",",0.3365725874900818,0.25791966915130615,0.4933079481124878,0.28737831115722656,0.2861018478870392,0.4946078956127167,0.26278790831565857,0.5201468467712402,0.23459285497665405,0.31091248989105225
who,0.9999998807907104,0.3396339416503906,0.3733934462070465,0.2180490493774414,0.38557878136634827,0.2827862501144409,0.2727876901626587,0.2792111933231354,0.25068652629852295,0.26220351457595825
teach,0.3465370237827301,0.7834005355834961,0.1966347098350525,0.23070424795150757,0.2803021967411041,0.2383975088596344,0.2059331089258194,0.23312166333198547,0.2523191273212433,0.24188745021820068
of,0.2827862501144409,0.274461567401886,0.733189046382904,0.3278234004974365,0.266871839761734,1.0,0.3499443829059601,0.5696388483047485,0.21728332340717316,0.1826142966747284
the,0.3733934462070465,0.2156836986541748,1.0,0.3680674135684967,0.36217406392097473,0.733189046382904,0.3127744197845459,0.6662389636039734,0.2207694798707962,0.22068053483963013
laws,0.30102699995040894,0.2867406904697418,0.2587076723575592,0.1946592628955841,0.334260493516922,0.2539142072200775,0.1731102466583252,0.2591988444328308,0.2962692081928253,0.17911791801452637
of,0.2827862501144409,0.274461567401886,0.733189046382904,0.3278234004974365,0.266871839761734,1.0,0.3499443829059601,0.5696388483047485,0.21728332340717316,0.1826142966747284
islam,0.25068652629852295,0.2967144846916199,0.2207694798707962,0.18911902606487274,0.19361738860607147,0.21728332340717316,0.17746660113334656,0.16687287390232086,1.0000001192092896,0.18358638882637024
for,0.37110671401023865,0.26241829991340637,0.4739971458911896,0.411141961812973,0.384344220161438,0.4185989499092102,0.15849082171916962,0.4322226941585541,0.1461709886789322,0.264628142118454
the,0.3733934462070465,0.2156836986541748,1.0,0.3680674135684967,0.36217406392097473,0.733189046382904,0.3127744197845459,0.6662389636039734,0.2207694798707962,0.22068053483963013
proper,0.2180490493774414,0.20259255170822144,0.3680674135684967,1.0,0.34053099155426025,0.3278234004974365,0.17307953536510468,0.23365779221057892,0.18911902606487274,0.2291053831577301
way,0.38557878136634827,0.23727299273014069,0.36217406392097473,0.34053099155426025,1.0,0.266871839761734,0.21881093084812164,0.30444321036338806,0.19361738860607147,0.31575819849967957
of,0.2827862501144409,0.274461567401886,0.733189046382904,0.3278234004974365,0.266871839761734,1.0,0.3499443829059601,0.5696388483047485,0.21728332340717316,0.1826142966747284
islamic,0.20530520379543304,0.20873337984085083,0.27231070399284363,0.18466918170452118,0.1551191806793213,0.25656506419181824,0.056095972657203674,0.19633598625659943,0.727012574672699,0.1692383587360382
living,0.2727876901626587,0.2597414255142212,0.3127744197845459,0.17307953536510468,0.21881093084812164,0.3499443829059601,1.0000001192092896,0.3253810405731201,0.17746660113334656,0.18362653255462646
according,0.22336459159851074,0.23397305607795715,0.3202974498271942,0.1437329649925232,0.23859257996082306,0.3307822346687317,0.18109145760536194,0.29259276390075684,0.24880655109882355,0.21173474192619324
to,0.42656609416007996,0.2637596130371094,0.535392165184021,0.38182929158210754,0.4772548973560333,0.41548454761505127,0.2300543487071991,0.45010748505592346,0.2398901730775833,0.29463258385658264
the,0.3733934462070465,0.2156836986541748,1.0,0.3680674135684967,0.36217406392097473,0.733189046382904,0.3127744197845459,0.6662389636039734,0.2207694798707962,0.22068053483963013
sunnah,0.2187786102294922,0.3193710744380951,0.2717043459415436,0.27384713292121887,0.21261121332645416,0.24734905362129211,0.15777583420276642,0.22063516080379486,0.6447309255599976,0.2077466994524002
and,0.41279885172843933,0.2922661602497101,0.5171257257461548,0.2846415042877197,0.32150545716285706,0.5116966962814331,0.27568840980529785,0.4954058527946472,0.25070106983184814,0.20544172823429108
ahadith,0.3304777145385742,0.3127480745315552,0.23489464819431305,0.20621417462825775,0.2837546467781067,0.25334447622299194,0.17269133031368256,0.1596696972846985,0.6209170818328857,0.2742340862751007
",",0.3365725874900818,0.25791966915130615,0.4933079481124878,0.28737831115722656,0.2861018478870392,0.4946078956127167,0.26278790831565857,0.5201468467712402,0.23459285497665405,0.31091248989105225
and,0.41279885172843933,0.2922661602497101,0.5171257257461548,0.2846415042877197,0.32150545716285706,0.5116966962814331,0.27568840980529785,0.4954058527946472,0.25070106983184814,0.20544172823429108
can,0.2602734863758087,0.25232669711112976,0.312528520822525,0.3656006455421448,0.4469449520111084,0.2603091299533844,0.1219123899936676,0.26527702808380127,0.1484602987766266,0.3226337134838104
render,0.10933578759431839,0.15192405879497528,0.23124311864376068,0.32034412026405334,0.20996050536632538,0.1649666726589203,0.06883838027715683,0.1608928143978119,0.19016766548156738,0.17435836791992188
legal,0.28385603427886963,0.18756601214408875,0.25629305839538574,0.2978934049606323,0.22794371843338013,0.2720220685005188,0.15180112421512604,0.256083607673645,0.2720377445220947,0.2143220454454422
verdicts,0.26655223965644836,0.12328706681728363,0.27600133419036865,0.19918572902679443,0.2529689073562622,0.21121901273727417,0.15581832826137543,0.2393452227115631,0.3099735677242279,0.25594738125801086
upon,0.19846883416175842,0.1767495572566986,0.28184252977371216,0.1909191757440567,0.18112483620643616,0.3224298357963562,0.10720261186361313,0.20347267389297485,0.19034799933433533,0.13780277967453003
matters,0.3400571644306183,0.26485776901245117,0.32925453782081604,0.2860063314437866,0.3235202133655548,0.298933744430542,0.16701193153858185,0.22737738490104675,0.29920145869255066,0.3182642459869385
of,0.2827862501144409,0.274461567401886,0.733189046382904,0.3278234004974365,0.266871839761734,1.0,0.3499443829059601,0.5696388483047485,0.21728332340717316,0.1826142966747284
islamic,0.20530520379543304,0.20873337984085083,0.27231070399284363,0.18466918170452118,0.1551191806793213,0.25656506419181824,0.056095972657203674,0.19633598625659943,0.727012574672699,0.1692383587360382
law,0.21111567318439484,0.28923889994621277,0.24548950791358948,0.22875919938087463,0.24080273509025574,0.2816956341266632,0.19325093924999237,0.24850773811340332,0.3103973865509033,0.1528988480567932
in,0.2792111933231354,0.26274335384368896,0.6662389636039734,0.23365779221057892,0.30444321036338806,0.5696388483047485,0.3253810405731201,1.0,0.16687287390232086,0.20430970191955566
accordance,0.2045661211013794,0.20519287884235382,0.26113438606262207,0.23293057084083557,0.28281450271606445,0.263489693403244,0.08694238215684891,0.20693562924861908,0.25608524680137634,0.23867659270763397
with,0.3282766342163086,0.16076765954494476,0.4223487675189972,0.22274430096149445,0.3546393811702728,0.41827285289764404,0.23172324895858765,0.4080928862094879,0.11090026050806046,0.2433311939239502
the,0.3733934462070465,0.2156836986541748,1.0,0.3680674135684967,0.36217406392097473,0.733189046382904,0.3127744197845459,0.6662389636039734,0.2207694798707962,0.22068053483963013
teaching,0.2535073459148407,0.7201090455055237,0.2182690054178238,0.2652747929096222,0.258928507566452,0.2911611497402191,0.20677447319030762,0.2659059166908264,0.29537874460220337,0.20424684882164001
of,0.2827862501144409,0.274461567401886,0.733189046382904,0.3278234004974365,0.266871839761734,1.0,0.3499443829059601,0.5696388483047485,0.21728332340717316,0.1826142966747284
one,0.40083858370780945,0.22782111167907715,0.5514441132545471,0.2858031392097473,0.3798474967479706,0.4999135136604309,0.24753230810165405,0.4129433035850525,0.20759882032871246,0.2673267424106598
of,0.2827862501144409,0.274461567401886,0.733189046382904,0.3278234004974365,0.266871839761734,1.0,0.3499443829059601,0.5696388483047485,0.21728332340717316,0.1826142966747284
the,0.3733934462070465,0.2156836986541748,1.0,0.3680674135684967,0.36217406392097473,0.733189046382904,0.3127744197845459,0.6662389636039734,0.2207694798707962,0.22068053483963013
four,0.1980169266462326,0.18690820038318634,0.40344667434692383,0.15943355858325958,0.19530639052391052,0.36293646693229675,0.24425797164440155,0.3085027039051056,0.15555666387081146,0.14532537758350372
schools,0.20265154540538788,0.5004404783248901,0.22905772924423218,0.1508765071630478,0.21158906817436218,0.265506386756897,0.17037749290466309,0.2632134258747101,0.24930299818515778,0.18349280953407288
of,0.2827862501144409,0.274461567401886,0.733189046382904,0.3278234004974365,0.266871839761734,1.0,0.3499443829059601,0.5696388483047485,0.21728332340717316,0.1826142966747284
jurisprudence,0.33171242475509644,0.48295316100120544,0.24195264279842377,0.25453606247901917,0.24016109108924866,0.3082701563835144,0.15973076224327087,0.2228657752275467,0.5383203029632568,0.2610038220882416
.,0.3541337847709656,0.24135710299015045,0.5934505462646484,0.2583770751953125,0.33520638942718506,0.5352458953857422,0.27785244584083557,0.5591574311256409,0.2825687527656555,0.4130953550338745
