,what,was,the,image,of,luther,a,contrast,to,the,life,of,?
stark,0.19818349182605743,0.2390129268169403,0.23327673971652985,0.044638752937316895,0.20495712757110596,0.3117451071739197,0.24999935925006866,0.18520870804786682,0.210467129945755,0.23327673971652985,0.19358034431934357,0.20495712757110596,0.11202354729175568
contrast,0.2773490250110626,0.17308409512043,0.25799670815467834,0.1456489861011505,0.3046875298023224,0.17197979986667633,0.29432156682014465,1.0000001192092896,0.23685190081596375,0.25799670815467834,0.19031359255313873,0.3046875298023224,0.15469981729984283
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.19959285855293274,0.41548454761505127,0.18029534816741943,0.45503583550453186,0.23685190081596375,1.0,0.535392165184021,0.24560359120368958,0.41548454761505127,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.24039390683174133,0.733189046382904,0.1759674996137619,0.5829201340675354,0.25799670815467834,0.535392165184021,1.0,0.23528170585632324,0.733189046382904,0.22068053483963013
ascetic,0.23382432758808136,0.18392114341259003,0.20787502825260162,0.05606681853532791,0.22387734055519104,0.18729987740516663,0.21250982582569122,0.21441464126110077,0.29628679156303406,0.20787502825260162,0.3540092706680298,0.22387734055519104,0.1572893261909485
life,0.24693015217781067,0.22970539331436157,0.23528170585632324,0.12332461029291153,0.2788603901863098,0.20761863887310028,0.27076753973960876,0.19031359255313873,0.24560359120368958,0.23528170585632324,1.0,0.2788603901863098,0.21677987277507782
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.21113355457782745,1.0,0.1719115972518921,0.5052502155303955,0.3046875298023224,0.41548454761505127,0.733189046382904,0.2788603901863098,1.0,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.24039390683174133,0.733189046382904,0.1759674996137619,0.5829201340675354,0.25799670815467834,0.535392165184021,1.0,0.23528170585632324,0.733189046382904,0.22068053483963013
medieval,0.2230893075466156,0.20488819479942322,0.28617456555366516,0.09872757643461227,0.31686919927597046,0.1692645400762558,0.22829298675060272,0.18651403486728668,0.1536858230829239,0.28617456555366516,0.21720318496227264,0.31686919927597046,0.15571735799312592
religious,0.26794421672821045,0.20851445198059082,0.22950971126556396,0.10900215804576874,0.2958606779575348,0.29995498061180115,0.23162008821964264,0.18332473933696747,0.24161745607852936,0.22950971126556396,0.20940004289150238,0.2958606779575348,0.15727058053016663
orders,0.1898462176322937,0.2057829052209854,0.26927345991134644,0.13837780058383942,0.2505633234977722,0.20351934432983398,0.1862567514181137,0.2690349221229553,0.27432385087013245,0.26927345991134644,0.12582287192344666,0.2505633234977722,0.18005457520484924
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2041902095079422,0.5352458953857422,0.24907569587230682,0.50484299659729,0.21616345643997192,0.4645031690597534,0.5934505462646484,0.3029138445854187,0.5352458953857422,0.4130953550338745
