,which,company,provided,streetcar,connections,between,downtown,and,the,hospital,?
right-of-way,0.28358152508735657,0.2156384289264679,0.28255370259284973,0.3456234037876129,0.3161022365093231,0.16645079851150513,0.3154473304748535,0.3040122985839844,0.3485116958618164,0.14509235322475433,0.2702099680900574
along,0.33404073119163513,0.1564980149269104,0.18674929440021515,0.308467835187912,0.34116148948669434,0.3784843385219574,0.287798672914505,0.4213258922100067,0.39495137333869934,0.14203104376792908,0.17134909331798553
huntington,0.2247282713651657,0.17233236134052277,0.13934822380542755,0.26377439498901367,0.16775111854076385,0.12582311034202576,0.24855518341064453,0.267645001411438,0.26236510276794434,0.2885942757129669,0.1482890248298645
boulevard,0.2049608677625656,0.15234075486660004,0.04193096235394478,0.40658146142959595,0.2517406940460205,0.15766221284866333,0.4563027322292328,0.22068525850772858,0.27917832136154175,0.1728261262178421,0.06742092967033386
",",0.3658004403114319,0.2697763442993164,0.27036961913108826,0.21909771859645844,0.27407124638557434,0.27714940905570984,0.2289871871471405,0.6633074283599854,0.4933079481124878,0.24744091928005219,0.31091248989105225
which,1.0,0.25990763306617737,0.26667746901512146,0.253793329000473,0.33893296122550964,0.395174115896225,0.22559411823749542,0.506277859210968,0.6521818041801453,0.14132514595985413,0.25814583897590637
provided,0.26667746901512146,0.22792533040046692,1.0,0.2291528582572937,0.33825793862342834,0.23246657848358154,0.09869148582220078,0.35591721534729004,0.304488867521286,0.10747940838336945,0.16893617808818817
streetcar,0.253793329000473,0.34224873781204224,0.2291528582572937,1.0000001192092896,0.38749411702156067,0.22333581745624542,0.44813624024391174,0.2940663695335388,0.24600356817245483,0.2551899552345276,0.15548254549503326
connections,0.33893296122550964,0.164738729596138,0.33825793862342834,0.38749411702156067,1.0,0.38350194692611694,0.2574535012245178,0.3397684693336487,0.31443437933921814,0.19162718951702118,0.14831478893756866
between,0.395174115896225,0.10894446820020676,0.23246657848358154,0.22333581745624542,0.38350194692611694,0.9999999403953552,0.11887507885694504,0.40645647048950195,0.39067012071609497,0.12208566069602966,0.12887074053287506
downtown,0.22559411823749542,0.20560455322265625,0.09869148582220078,0.44813624024391174,0.2574535012245178,0.11887507885694504,1.0,0.20503629744052887,0.2602716088294983,0.27234867215156555,0.15638743340969086
and,0.506277859210968,0.23788511753082275,0.35591721534729004,0.2940663695335388,0.3397684693336487,0.40645647048950195,0.20503629744052887,1.0,0.5171257257461548,0.20068348944187164,0.20544172823429108
the,0.6521818041801453,0.26591673493385315,0.304488867521286,0.24600356817245483,0.31443437933921814,0.39067012071609497,0.2602716088294983,0.5171257257461548,1.0,0.17318566143512726,0.22068053483963013
county,0.1709478199481964,0.19031664729118347,0.1531742811203003,0.2783600389957428,0.06229414418339729,0.1423700600862503,0.3185681700706482,0.2045455276966095,0.21715226769447327,0.1405991166830063,0.07680056244134903
hospital,0.14132514595985413,0.1759711652994156,0.10747940838336945,0.2551899552345276,0.19162718951702118,0.12208566069602966,0.27234867215156555,0.20068348944187164,0.17318566143512726,1.0,0.12508831918239594
.,0.45942068099975586,0.266353577375412,0.22066283226013184,0.2618800103664398,0.2633778750896454,0.30295518040657043,0.2247719168663025,0.588965117931366,0.5934505462646484,0.21275769174098969,0.4130953550338745
