,what,is,the,main,goal,of,criminal,punishment,of,civil,disobedients,?
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.2145523726940155,0.4946078956127167,0.25536465644836426,0.2216428816318512,0.4946078956127167,0.24795588850975037,0.2989228069782257,0.31091248989105225
achieving,0.24755272269248962,0.2170582413673401,0.35560527443885803,0.1989804059267044,0.3833397328853607,0.3275443911552429,0.18129491806030273,0.1776534914970398,0.3275443911552429,0.21779458224773407,0.28092077374458313,0.16495080292224884
crime,0.24425745010375977,0.23180164396762848,0.2052120864391327,0.16186045110225677,0.18938256800174713,0.21116793155670166,0.677848219871521,0.4695490896701813,0.21116793155670166,0.22153392434120178,0.33177563548088074,0.2067868858575821
control,0.2821830213069916,0.17722277343273163,0.32841500639915466,0.20111575722694397,0.176003560423851,0.2817542552947998,0.09962034225463867,0.17767374217510223,0.2817542552947998,0.14805008471012115,0.3030441403388977,0.1620711386203766
via,0.16736915707588196,0.18325740098953247,0.23979412019252777,0.15022705495357513,0.17416922748088837,0.1293322592973709,0.03773806616663933,0.08976776897907257,0.1293322592973709,0.1151270866394043,0.14461016654968262,0.19443516433238983
incapacitation,0.3033445179462433,0.20651289820671082,0.23336970806121826,0.05086403712630272,0.24072790145874023,0.27277058362960815,0.2226106971502304,0.2333587408065796,0.27277058362960815,0.1456361711025238,0.37394440174102783,0.3098811209201813
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.29831406474113464,0.20885969698429108,0.5116966962814331,0.24580588936805725,0.2325662225484848,0.5116966962814331,0.25259146094322205,0.32351022958755493,0.20544172823429108
deterrence,0.2961283326148987,0.2729925215244293,0.30256104469299316,0.1437903791666031,0.25232845544815063,0.27168944478034973,0.4155924618244171,0.41503244638442993,0.27168944478034973,0.3297443687915802,0.4359913766384125,0.2560393512248993
is,0.28837618231773376,1.0,0.5823672413825989,0.3009335994720459,0.20883920788764954,0.4854315221309662,0.22561295330524445,0.22508563101291656,0.4854315221309662,0.16941262781620026,0.22793690860271454,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.27217230200767517,0.20853768289089203,0.5052502155303955,0.2885212302207947,0.1934642344713211,0.5052502155303955,0.21693918108940125,0.26969417929649353,0.23916715383529663
major,0.21026742458343506,0.19079607725143433,0.31775903701782227,0.386929988861084,0.14922600984573364,0.2641255557537079,0.1266145557165146,0.15394093096256256,0.2641255557537079,0.17556457221508026,0.1446874886751175,0.19788557291030884
goal,0.2571476101875305,0.20883920788764954,0.2443244755268097,0.2332964837551117,1.0000001192092896,0.1838325709104538,0.2347455471754074,0.19885598123073578,0.1838325709104538,0.17077134549617767,0.2087748646736145,0.1964566856622696
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3177044689655304,0.1838325709104538,1.0,0.22688241302967072,0.2056395560503006,1.0,0.24698495864868164,0.32510921359062195,0.1826142966747284
criminal,0.21020962297916412,0.22561295330524445,0.25219881534576416,0.07160071283578873,0.2347455471754074,0.22688241302967072,0.9999999403953552,0.46371251344680786,0.22688241302967072,0.30901670455932617,0.42441484332084656,0.17345646023750305
punishment,0.31300443410873413,0.22508563101291656,0.2503047287464142,0.1250208169221878,0.19885598123073578,0.2056395560503006,0.46371251344680786,1.0000001192092896,0.2056395560503006,0.1772332489490509,0.3895610570907593,0.23842233419418335
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.31122034788131714,0.19919876754283905,0.5352458953857422,0.2527567744255066,0.24320337176322937,0.5352458953857422,0.2541380822658539,0.2842986583709717,0.4130953550338745
