,what,programs,are,broadcast,from,the,times,square,studios,for,abc,?
for,0.3017193675041199,0.3644469678401947,0.3895993232727051,0.2546502649784088,0.314039945602417,0.4739971458911896,0.2999500632286072,0.1615643948316574,0.14505156874656677,0.9999999403953552,0.22510288655757904,0.264628142118454
the,0.42745697498321533,0.21757709980010986,0.40399202704429626,0.2713715434074402,0.40150508284568787,1.0,0.29093852639198303,0.2809545397758484,0.25030121207237244,0.4739971458911896,0.2068762183189392,0.22068053483963013
42nd,0.2670643925666809,0.09113195538520813,0.13845351338386536,0.07994021475315094,0.14519603550434113,0.22139057517051697,0.22818714380264282,0.025801515206694603,0.029388127848505974,0.26188886165618896,0.03739224746823311,0.281293123960495
street,0.14271703362464905,0.2077491134405136,0.14209461212158203,0.19026611745357513,0.21222653985023499,0.20947860181331635,0.14473286271095276,0.3285229206085205,0.20520800352096558,0.24031898379325867,0.1996762454509735,0.07315441966056824
project,0.27033838629722595,0.26693785190582275,0.19378727674484253,0.1809862107038498,0.17965814471244812,0.2027820199728012,0.09994018822908401,0.1204231008887291,0.1596657931804657,0.2228124439716339,0.12072815746068954,0.30569031834602356
;,0.10986888408660889,-0.03490268066525459,0.15315808355808258,0.009912485256791115,0.07524215430021286,0.09152708947658539,0.08538055419921875,-0.030176710337400436,0.09391439706087112,0.0293948445469141,-0.0012340332614257932,0.10349778085947037
opened,0.14500318467617035,0.1494445949792862,0.11270776391029358,0.18023546040058136,0.14575611054897308,0.28544309735298157,0.10578787326812744,0.21622835099697113,0.26546281576156616,0.16583703458309174,0.2054978907108307,0.1934700310230255
in,0.30808621644973755,0.2276356965303421,0.3841303884983063,0.26723843812942505,0.4274188280105591,0.6662389636039734,0.2427823841571808,0.2193731665611267,0.24788589775562286,0.4322226941585541,0.1697147786617279,0.20430970191955566
1999,0.09112130105495453,-0.05753853917121887,-0.1512039303779602,0.08486202359199524,0.07184801250696182,0.06755080074071884,0.08069426566362381,0.01988210901618004,-0.05116023123264313,-0.05938625708222389,-0.024477526545524597,0.05416720360517502
",",0.3087472915649414,0.21514803171157837,0.4062570035457611,0.24917922914028168,0.39760664105415344,0.4933079481124878,0.2897866368293762,0.2723195254802704,0.2194606214761734,0.4464869201183319,0.2097204476594925,0.31091248989105225
good,0.3916934132575989,0.2140263020992279,0.2658696472644806,0.12827377021312714,0.22352536022663116,0.2735973596572876,0.17078931629657745,0.11591149866580963,0.13073056936264038,0.39067649841308594,0.1982276886701584,0.3187684714794159
morning,0.24708515405654907,0.18200381100177765,0.12626075744628906,0.3240245580673218,0.26353874802589417,0.23715223371982574,0.1844046711921692,0.06652922183275223,0.17882496118545532,0.23810894787311554,0.3129312992095947,0.17971698939800262
america,0.2517423629760742,0.17440806329250336,0.2022080272436142,0.2707236111164093,0.1968681514263153,0.37090015411376953,0.17448176443576813,0.1467037796974182,0.19295181334018707,0.243271604180336,0.24776576459407806,0.19333907961845398
and,0.31309178471565247,0.334749311208725,0.48576638102531433,0.22526025772094727,0.3601827025413513,0.5171257257461548,0.2611900568008423,0.18014872074127197,0.18634970486164093,0.5064792633056641,0.16453155875205994,0.20544172823429108
nightline,0.2340221107006073,0.2923552989959717,0.21350251138210297,0.3840946555137634,0.20058181881904602,0.2559317648410797,0.17988182604312897,0.22494331002235413,0.30023178458213806,0.22078686952590942,0.3773581087589264,0.18700595200061798
are,0.29724663496017456,0.25339001417160034,1.0,0.10163930803537369,0.2674213647842407,0.40399202704429626,0.16137352585792542,0.18786215782165527,0.15611153841018677,0.3895993232727051,0.06184951588511467,0.24591213464736938
broadcast,0.17857211828231812,0.4228191077709198,0.10163930803537369,1.0,0.1824430525302887,0.2713715434074402,0.23030094802379608,0.13172492384910583,0.3257775902748108,0.2546502649784088,0.4876510202884674,0.15760008990764618
from,0.2737620174884796,0.17786408960819244,0.2674213647842407,0.1824430525302887,1.0,0.40150508284568787,0.25679540634155273,0.10668959468603134,0.16741159558296204,0.314039945602417,0.12159302085638046,0.19969791173934937
this,0.5489566326141357,0.2318243682384491,0.35762670636177063,0.24977970123291016,0.3469814360141754,0.6274310946464539,0.2644273638725281,0.14187133312225342,0.15940144658088684,0.5082864165306091,0.16107726097106934,0.3155723512172699
particular,0.4548671245574951,0.26442477107048035,0.3587656319141388,0.20606179535388947,0.2334175556898117,0.4066357910633087,0.19394588470458984,0.0786566436290741,0.12869375944137573,0.3931528329849243,0.12990683317184448,0.2741454839706421
facility,0.13735945522785187,0.26595568656921387,0.1033000499010086,0.1708928346633911,0.14827056229114532,0.19252020120620728,0.13860636949539185,0.22183378040790558,0.21615302562713623,0.2808893620967865,0.14401791989803314,0.12783357501029968
.,0.3567904531955719,0.21148164570331573,0.3452940285205841,0.2280997633934021,0.41536515951156616,0.5934505462646484,0.2891986668109894,0.2698345184326172,0.1911878138780594,0.4726039469242096,0.2567209303379059,0.4130953550338745
