,what,does,most,of,the,hd,material,use,as,a,standard,?
standard,0.22809998691082,0.24575825035572052,0.2708315849304199,0.2296806275844574,0.29008856415748596,0.21808426082134247,0.21796682476997375,0.4112936556339264,0.22084009647369385,0.2876655161380768,1.0,0.17029257118701935
definition,0.330344021320343,0.3219144642353058,0.22048233449459076,0.24912455677986145,0.23176956176757812,0.274027556180954,0.3258034288883209,0.3866159915924072,0.30895569920539856,0.2941339910030365,0.3563583791255951,0.2796523869037628
broadcasts,0.17804105579853058,0.20260150730609894,0.17239853739738464,0.2108854353427887,0.26939961314201355,0.4080171287059784,0.16899405419826508,0.21616223454475403,0.21394945681095123,0.18423420190811157,0.22002704441547394,0.1364026516675949
are,0.29724663496017456,0.3126322329044342,0.48698675632476807,0.39081433415412903,0.40399202704429626,0.14799247682094574,0.25142809748649597,0.4174068570137024,0.3826591968536377,0.265255331993103,0.2518865764141083,0.24591213464736938
in,0.30808621644973755,0.214483380317688,0.41416558623313904,0.5696388483047485,0.6662389636039734,0.16095560789108276,0.20527449250221252,0.2715643048286438,0.3887844979763031,0.539380669593811,0.24721406400203705,0.20430970191955566
dvb-compliant,0.3284575343132019,0.27918002009391785,0.2648540139198303,0.17177580296993256,0.17971931397914886,0.22815421223640442,0.28178003430366516,0.38754040002822876,0.241197869181633,0.2143677920103073,0.3571239113807678,0.3252083957195282
mpeg-2,0.16388297080993652,0.12748104333877563,0.12884598970413208,0.16543930768966675,0.1848062127828598,0.3759221136569977,0.2664293646812439,0.24177540838718414,0.12244074791669846,0.15399065613746643,0.33125513792037964,0.1570807695388794
",",0.3087472915649414,0.28617382049560547,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.15258826315402985,0.2189585268497467,0.3276674151420593,0.48816442489624023,0.427140474319458,0.2593318521976471,0.31091248989105225
with,0.2464839518070221,0.26186925172805786,0.336320698261261,0.41827285289764404,0.4223487675189972,0.16917382180690765,0.22314715385437012,0.3356984257698059,0.40387406945228577,0.3783375024795532,0.21688394248485565,0.2433311939239502
the,0.42745697498321533,0.35928019881248474,0.47635307908058167,0.733189046382904,1.0,0.19996047019958496,0.26762521266937256,0.34342584013938904,0.48381632566452026,0.5829201340675354,0.29008856415748596,0.22068053483963013
sky,0.16493305563926697,0.19670668244361877,0.16676980257034302,0.16284865140914917,0.26521286368370056,0.31885167956352234,0.13901177048683167,0.14961229264736176,0.18261636793613434,0.20541532337665558,0.16064167022705078,0.11270341277122498
movies,0.19910205900669098,0.18436771631240845,0.20606310665607452,0.24151790142059326,0.25992661714553833,0.24336878955364227,0.16048625111579895,0.16978749632835388,0.2661714255809784,0.23744980990886688,0.16448333859443665,0.18891702592372894
and,0.31309178471565247,0.3461615741252899,0.4309377074241638,0.5116966962814331,0.5171257257461548,0.17087101936340332,0.2923409640789032,0.34145063161849976,0.49487000703811646,0.3739250600337982,0.24117660522460938,0.20544172823429108
sky,0.16493305563926697,0.19670668244361877,0.16676980257034302,0.16284865140914917,0.26521286368370056,0.31885167956352234,0.13901177048683167,0.14961229264736176,0.18261636793613434,0.20541532337665558,0.16064167022705078,0.11270341277122498
box,0.20509275794029236,0.23173171281814575,0.11461386829614639,0.10286273062229156,0.25871407985687256,0.20665067434310913,0.18938952684402466,0.3034793734550476,0.22378304600715637,0.3003762364387512,0.3030742406845093,0.21736569702625275
office,0.12159775197505951,0.16414229571819305,0.11627310514450073,0.24605777859687805,0.27314993739128113,0.18111677467823029,0.11993855237960815,0.20668046176433563,0.2288317233324051,0.24789826571941376,0.1735714226961136,0.16497313976287842
channels,0.1923084557056427,0.21262475848197937,0.15604767203330994,0.17560617625713348,0.27277594804763794,0.3962539732456207,0.23548875749111176,0.23047001659870148,0.19637690484523773,0.18764011561870575,0.20487946271896362,0.19657258689403534
including,0.18328791856765747,0.20252716541290283,0.4393967390060425,0.44195112586021423,0.3738902807235718,0.12176288664340973,0.15638378262519836,0.2895544767379761,0.3863891661167145,0.21045410633087158,0.13945981860160828,0.1633303165435791
optional,0.18392537534236908,0.18578889966011047,0.15019574761390686,0.21073809266090393,0.23922429978847504,0.19785179197788239,0.18116594851016998,0.38398629426956177,0.22493980824947357,0.2755033075809479,0.29935240745544434,0.2415110170841217
dolby,0.17868153750896454,0.14799675345420837,0.12109839171171188,0.1702229082584381,0.2151108682155609,0.42972782254219055,0.19548216462135315,0.1741907298564911,0.19757820665836334,0.25630438327789307,0.21229495108127594,0.2288801074028015
digital,0.1757969856262207,0.14567707479000092,0.17598490417003632,0.20011478662490845,0.18361380696296692,0.4291575253009796,0.24562087655067444,0.20289145410060883,0.14300262928009033,0.19387772679328918,0.22945985198020935,0.12982943654060364
soundtracks,0.20127040147781372,0.16541731357574463,0.2176554799079895,0.19230341911315918,0.24290621280670166,0.24426859617233276,0.24662040174007416,0.1710454374551773,0.24774906039237976,0.17006874084472656,0.15972857177257538,0.17700113356113434
for,0.3017193675041199,0.35159170627593994,0.3906237483024597,0.4185989499092102,0.4739971458911896,0.14629647135734558,0.26816701889038086,0.47655582427978516,0.44774648547172546,0.44038116931915283,0.3173719346523285,0.264628142118454
recent,0.24256184697151184,0.25054731965065,0.3701000511646271,0.2896444797515869,0.31046223640441895,0.16415736079216003,0.24168841540813446,0.2575327157974243,0.2755057215690613,0.2685950994491577,0.21821174025535583,0.2544887959957123
films,0.19852851331233978,0.18955764174461365,0.1731526255607605,0.2151229828596115,0.23072484135627747,0.16686119139194489,0.17350652813911438,0.1568189412355423,0.26995572447776794,0.17895959317684174,0.18292002379894257,0.20618696510791779
",",0.3087472915649414,0.28617382049560547,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.15258826315402985,0.2189585268497467,0.3276674151420593,0.48816442489624023,0.427140474319458,0.2593318521976471,0.31091248989105225
although,0.24844598770141602,0.3092105984687805,0.35402846336364746,0.3024747669696808,0.3265823423862457,0.09213235974311829,0.22396856546401978,0.29689812660217285,0.34522923827171326,0.29747897386550903,0.20571240782737732,0.15541206300258636
these,0.4164220690727234,0.31633180379867554,0.4825916290283203,0.42684608697891235,0.49086877703666687,0.1892160177230835,0.2979981303215027,0.43580424785614014,0.3802948296070099,0.24380075931549072,0.3054858148097992,0.2571668326854706
are,0.29724663496017456,0.3126322329044342,0.48698675632476807,0.39081433415412903,0.40399202704429626,0.14799247682094574,0.25142809748649597,0.4174068570137024,0.3826591968536377,0.265255331993103,0.2518865764141083,0.24591213464736938
only,0.41415658593177795,0.45203697681427,0.5343596935272217,0.49632513523101807,0.5497692227363586,0.18884140253067017,0.2501661479473114,0.4312303364276886,0.41781148314476013,0.47549712657928467,0.30050909519195557,0.2767370045185089
accessible,0.23191256821155548,0.2459021359682083,0.19971808791160583,0.24014221131801605,0.21238647401332855,0.21170978248119354,0.292986661195755,0.38983064889907837,0.16737417876720428,0.1774442493915558,0.23883764445781708,0.22625717520713806
with,0.2464839518070221,0.26186925172805786,0.336320698261261,0.41827285289764404,0.4223487675189972,0.16917382180690765,0.22314715385437012,0.3356984257698059,0.40387406945228577,0.3783375024795532,0.21688394248485565,0.2433311939239502
a,0.3320399522781372,0.38201746344566345,0.3508910834789276,0.5052502155303955,0.5829201340675354,0.17419257760047913,0.28408434987068176,0.30793872475624084,0.39550232887268066,1.0,0.2876655161380768,0.23916715383529663
sky+,0.12067124247550964,0.1491537094116211,0.16803447902202606,0.1877743899822235,0.2895233631134033,0.3398793339729309,0.08606705069541931,0.14167997241020203,0.20808528363704681,0.2107129544019699,0.1478046029806137,0.13872939348220825
box,0.20509275794029236,0.23173171281814575,0.11461386829614639,0.10286273062229156,0.25871407985687256,0.20665067434310913,0.18938952684402466,0.3034793734550476,0.22378304600715637,0.3003762364387512,0.3030742406845093,0.21736569702625275
.,0.3567904531955719,0.3022993505001068,0.35404038429260254,0.5352458953857422,0.5934505462646484,0.17191381752490997,0.24824832379817963,0.3711656630039215,0.515582263469696,0.50484299659729,0.2521037757396698,0.4130953550338745
