,who,provided,a,definition,of,linear,bounded,automata,in,1960,?
),0.2457384318113327,0.2010413557291031,0.3640355169773102,0.27795419096946716,0.3680361211299896,0.2063644528388977,0.19236516952514648,0.22564207017421722,0.3326910734176636,0.1605418622493744,0.42300865054130554
",",0.3365725874900818,0.27036961913108826,0.427140474319458,0.24771931767463684,0.4946078956127167,0.17978614568710327,0.2928002178668976,0.24881047010421753,0.5201468467712402,0.07487643510103226,0.31091248989105225
raymond,0.19046053290367126,0.10693614929914474,0.2000870704650879,0.141121044754982,0.20048591494560242,0.1369846761226654,0.14328943192958832,0.11985645443201065,0.12701623141765594,0.013967339880764484,0.09700554609298706
smullyan,0.36174121499061584,0.13479776680469513,0.2966268062591553,0.23336564004421234,0.18230260908603668,0.19048330187797546,0.18247956037521362,0.18713174760341644,0.30592575669288635,0.09310727566480637,0.2546435594558716
's,0.05599616840481758,0.01738812029361725,0.04866964742541313,-0.07552970945835114,-0.03817026689648628,-0.00830553937703371,0.07980966567993164,0.02211562916636467,-0.037580832839012146,0.05268033593893051,-0.023395681753754616
study,0.21352694928646088,0.159615620970726,0.2268155962228775,0.2962350845336914,0.29377859830856323,0.2867152690887451,0.14201410114765167,0.15434351563453674,0.2875489294528961,-0.009084087796509266,0.15902167558670044
of,0.2827862501144409,0.272808313369751,0.5052502155303955,0.24912455677986145,1.0,0.23112532496452332,0.28187957406044006,0.1818503439426422,0.5696388483047485,0.05807475745677948,0.1826142966747284
rudimentary,0.2270260751247406,0.2471417635679245,0.2511323094367981,0.23647253215312958,0.26150161027908325,0.33250758051872253,0.23387792706489563,0.21689897775650024,0.23854610323905945,-0.021932294592261314,0.18648070096969604
sets,0.17237307131290436,0.18324212729930878,0.16088198125362396,0.24157945811748505,0.14160113036632538,0.2938968241214752,0.1639920175075531,0.20979206264019012,0.16155706346035004,0.03764309734106064,0.07869148254394531
(,0.2443375140428543,0.1930350810289383,0.3206180930137634,0.25452232360839844,0.35032153129577637,0.19256772100925446,0.1826252043247223,0.2160688042640686,0.3087427020072937,0.13140849769115448,0.40561532974243164
1961,-0.016341788694262505,-0.0341523140668869,0.003652953775599599,-0.025113973766565323,0.07470385730266571,-0.002560525666922331,0.0050278156995773315,-0.0123672466725111,0.09056709706783295,0.20138731598854065,0.009729373268783092
),0.2457384318113327,0.2010413557291031,0.3640355169773102,0.27795419096946716,0.3680361211299896,0.2063644528388977,0.19236516952514648,0.22564207017421722,0.3326910734176636,0.1605418622493744,0.42300865054130554
",",0.3365725874900818,0.27036961913108826,0.427140474319458,0.24771931767463684,0.4946078956127167,0.17978614568710327,0.2928002178668976,0.24881047010421753,0.5201468467712402,0.07487643510103226,0.31091248989105225
as,0.3923053741455078,0.2797299921512604,0.39550232887268066,0.30895569920539856,0.3886612355709076,0.2152015119791031,0.2615150511264801,0.1504911184310913,0.3887844979763031,-0.007755965925753117,0.27043893933296204
well,0.3480316996574402,0.2907907962799072,0.320642352104187,0.2567799985408783,0.3343164324760437,0.17867496609687805,0.18557141721248627,0.15000459551811218,0.36612698435783386,-0.09948965162038803,0.24815571308135986
as,0.3923053741455078,0.2797299921512604,0.39550232887268066,0.30895569920539856,0.3886612355709076,0.2152015119791031,0.2615150511264801,0.1504911184310913,0.3887844979763031,-0.007755965925753117,0.27043893933296204
hisao,0.26724129915237427,0.10594921559095383,0.22229406237602234,0.15050816535949707,0.2190469354391098,0.1908682882785797,0.036302853375673294,0.2545606195926666,0.14054638147354126,0.22260673344135284,0.2005213052034378
yamada,0.17019623517990112,0.08869444578886032,0.16171611845493317,0.11747147142887115,0.13871732354164124,0.1751665621995926,0.058498822152614594,0.20413948595523834,0.12744949758052826,0.14998865127563477,0.19195778667926788
's,0.05599616840481758,0.01738812029361725,0.04866964742541313,-0.07552970945835114,-0.03817026689648628,-0.00830553937703371,0.07980966567993164,0.02211562916636467,-0.037580832839012146,0.05268033593893051,-0.023395681753754616
paper,0.17045389115810394,0.12374868243932724,0.25947141647338867,0.17852552235126495,0.19050662219524384,0.2771468460559845,0.13036972284317017,0.21723169088363647,0.18605142831802368,-0.09269542247056961,0.12693770229816437
on,0.2340552806854248,0.24629086256027222,0.3848365545272827,0.21725256741046906,0.3966929316520691,0.17940591275691986,0.2523033618927002,0.15787583589553833,0.46853652596473694,-0.039851151406764984,0.2714994251728058
real-time,0.2945111095905304,0.33812215924263,0.30201447010040283,0.30852067470550537,0.2645685374736786,0.2780909836292267,0.1418997198343277,0.24435104429721832,0.2656252682209015,-0.034765250980854034,0.32016316056251526
computations,0.19799403846263885,0.3050709664821625,0.2478221207857132,0.35847505927085876,0.2436274141073227,0.5606289505958557,0.1595475822687149,0.44344228506088257,0.20816855132579803,-0.13042691349983215,0.22970503568649292
(,0.2443375140428543,0.1930350810289383,0.3206180930137634,0.25452232360839844,0.35032153129577637,0.19256772100925446,0.1826252043247223,0.2160688042640686,0.3087427020072937,0.13140849769115448,0.40561532974243164
1962,0.06345117837190628,-0.02553406171500683,-0.10114685446023941,-0.02734149619936943,0.01980927400290966,-0.034859463572502136,0.016306238248944283,-0.03269165754318237,-0.0651141032576561,0.041807569563388824,-0.008269774727523327
),0.2457384318113327,0.2010413557291031,0.3640355169773102,0.27795419096946716,0.3680361211299896,0.2063644528388977,0.19236516952514648,0.22564207017421722,0.3326910734176636,0.1605418622493744,0.42300865054130554
.,0.3541337847709656,0.22066283226013184,0.50484299659729,0.2228187918663025,0.5352458953857422,0.1877516806125641,0.2191901057958603,0.24169130623340607,0.5591574311256409,0.051420908421278,0.4130953550338745
