,what,event,was,the,worst,example,of,huguenot,persecution,?
",",0.3087472915649414,0.22701776027679443,0.45456063747406006,0.4933079481124878,0.22239959239959717,0.3094974756240845,0.4946078956127167,0.24752236902713776,0.2632662355899811,0.31091248989105225
although,0.24844598770141602,0.19483055174350739,0.3711436688899994,0.3265823423862457,0.10289664566516876,0.21854479610919952,0.3024747669696808,0.2235301434993744,0.22102783620357513,0.15541206300258636
there,0.35085538029670715,0.24949249625205994,0.24909798800945282,0.47025805711746216,0.13230127096176147,0.346343457698822,0.44397735595703125,0.18001434206962585,0.24589192867279053,0.29405656456947327
were,0.22298263013362885,0.22349928319454193,0.590133786201477,0.3906462490558624,0.15683826804161072,0.21319323778152466,0.34038281440734863,0.23719102144241333,0.34995532035827637,0.17890112102031708
also,0.42747777700424194,0.24523094296455383,0.4032125174999237,0.6021018624305725,0.20121194422245026,0.4438605010509491,0.4924938678741455,0.19632644951343536,0.22642454504966736,0.21848613023757935
underlying,0.44977858662605286,0.2249085009098053,0.14246171712875366,0.3030717074871063,0.14852848649024963,0.3740908205509186,0.30307427048683167,0.19110190868377686,0.27115005254745483,0.2342413365840912
political,0.21846716105937958,0.16556648910045624,0.24282537400722504,0.20477235317230225,0.13437171280384064,0.19704243540763855,0.27319738268852234,0.2882961332798004,0.3500835597515106,0.17130474746227264
reasons,0.3640104830265045,0.28603193163871765,0.3114069104194641,0.2951921820640564,0.14922839403152466,0.4090993106365204,0.28044363856315613,0.20520101487636566,0.294592022895813,0.248102068901062
for,0.3017193675041199,0.21648059785366058,0.3863949179649353,0.4739971458911896,0.17950598895549774,0.45665353536605835,0.4185989499092102,0.14738403260707855,0.25347572565078735,0.264628142118454
this,0.5489566326141357,0.32310792803764343,0.3638818562030792,0.6274310946464539,0.23567719757556915,0.4614826440811157,0.45148900151252747,0.2300579845905304,0.28924643993377686,0.3155723512172699
as,0.31749409437179565,0.21454742550849915,0.3677520453929901,0.48381632566452026,0.22892223298549652,0.35903409123420715,0.3886612355709076,0.15821954607963562,0.21333259344100952,0.27043893933296204
well,0.4154493808746338,0.1598018854856491,0.3130364418029785,0.42630070447921753,0.1915781944990158,0.32850274443626404,0.3343164324760437,0.21486397087574005,0.21079570055007935,0.24815571308135986
",",0.3087472915649414,0.22701776027679443,0.45456063747406006,0.4933079481124878,0.22239959239959717,0.3094974756240845,0.4946078956127167,0.24752236902713776,0.2632662355899811,0.31091248989105225
as,0.31749409437179565,0.21454742550849915,0.3677520453929901,0.48381632566452026,0.22892223298549652,0.35903409123420715,0.3886612355709076,0.15821954607963562,0.21333259344100952,0.27043893933296204
some,0.4491020441055298,0.19329223036766052,0.21528802812099457,0.4566698372364044,0.17064888775348663,0.5190876126289368,0.4300730526447296,0.2022833526134491,0.2895341217517853,0.2562315762042999
of,0.33290785551071167,0.19878064095973969,0.4069072902202606,0.733189046382904,0.16431279480457306,0.3570667505264282,1.0,0.29061198234558105,0.2776307165622711,0.1826142966747284
the,0.42745697498321533,0.2960145175457001,0.48711544275283813,1.0,0.21166902780532837,0.3755223751068115,0.733189046382904,0.29557526111602783,0.26699647307395935,0.22068053483963013
huguenots,0.22128188610076904,0.21448351442813873,0.20650696754455566,0.30745792388916016,0.05196080729365349,0.13359279930591583,0.27577435970306396,0.9459913372993469,0.4767511487007141,0.16010338068008423
were,0.22298263013362885,0.22349928319454193,0.590133786201477,0.3906462490558624,0.15683826804161072,0.21319323778152466,0.34038281440734863,0.23719102144241333,0.34995532035827637,0.17890112102031708
nobles,0.20172527432441711,0.11203601211309433,0.22921884059906006,0.2815840542316437,0.1031065508723259,0.1428728550672531,0.25869613885879517,0.4484972655773163,0.33903971314430237,0.13999377191066742
trying,0.4177112281322479,0.16136527061462402,0.19752094149589539,0.2930695712566376,0.24363912642002106,0.26695773005485535,0.21177013218402863,0.20454449951648712,0.2883695065975189,0.3144860565662384
to,0.455847829580307,0.2585321366786957,0.3636345863342285,0.535392165184021,0.14048011600971222,0.3451666533946991,0.41548454761505127,0.24496324360370636,0.28052273392677307,0.29463258385658264
establish,0.24999600648880005,0.18206530809402466,0.1769464761018753,0.31343501806259155,-0.00854242593050003,0.14286218583583832,0.210533007979393,0.2819488048553467,0.26650071144104004,0.21678102016448975
separate,0.33215096592903137,0.14221709966659546,0.1980229765176773,0.3612915575504303,0.10482782125473022,0.27110135555267334,0.33388569951057434,0.10893304646015167,0.17663143575191498,0.16835719347000122
centers,0.22307880222797394,0.21309605240821838,0.1675269901752472,0.3307511508464813,0.1892123818397522,0.2270805984735489,0.2771235704421997,0.15016129612922668,0.23318254947662354,0.16634750366210938
of,0.33290785551071167,0.19878064095973969,0.4069072902202606,0.733189046382904,0.16431279480457306,0.3570667505264282,1.0,0.29061198234558105,0.2776307165622711,0.1826142966747284
power,0.22216427326202393,0.14556172490119934,0.1794997751712799,0.2647338807582855,0.12176388502120972,0.19909179210662842,0.25273123383522034,0.10031228512525558,0.2568659484386444,0.15304024517536163
in,0.30808621644973755,0.27304479479789734,0.45514053106307983,0.6662389636039734,0.19013282656669617,0.30483278632164,0.5696388483047485,0.26198551058769226,0.25926244258880615,0.20430970191955566
southern,0.18679563701152802,0.1368689388036728,0.23717372119426727,0.3282862603664398,0.18792586028575897,0.11202357709407806,0.31933003664016724,0.19296963512897491,0.15505611896514893,0.11225555837154388
france,0.17793065309524536,0.17985136806964874,0.2715669870376587,0.35517507791519165,0.10947433859109879,0.23714886605739594,0.3265724182128906,0.44110438227653503,0.2094450294971466,0.15069349110126495
.,0.3567904531955719,0.2068977802991867,0.40146201848983765,0.5934505462646484,0.14260300993919373,0.41217929124832153,0.5352458953857422,0.2060975730419159,0.24054285883903503,0.4130953550338745
