,what,company,did,eisner,become,president,of,when,he,left,abc,in,1976,?
president,0.1870913952589035,0.22260580956935883,0.1801012009382248,0.3701631724834442,0.1769486367702484,1.0000001192092896,0.21610750257968903,0.17933911085128784,0.28017905354499817,0.14433994889259338,0.20593604445457458,0.18811661005020142,0.013705714605748653,0.14148259162902832
of,0.33290785551071167,0.20467796921730042,0.2513895630836487,0.2542112171649933,0.31678006052970886,0.21610750257968903,1.0,0.3757161796092987,0.38706058263778687,0.2218635529279709,0.14607268571853638,0.5696388483047485,0.04266154393553734,0.1826142966747284
abc,0.1317344456911087,0.16210390627384186,0.13353709876537323,0.26641231775283813,0.06849972158670425,0.20593604445457458,0.14607268571853638,0.13294127583503723,0.22597992420196533,0.20078213512897491,1.0000001192092896,0.1697147786617279,0.11633700132369995,0.19065172970294952
's,0.02692362666130066,0.003266559913754463,0.05069678649306297,0.01924777962267399,-0.06629510223865509,-0.08566092699766159,-0.03817026689648628,-0.03368149697780609,0.024063590914011,0.0003564352518878877,0.06670809537172318,-0.037580832839012146,0.004158622119575739,-0.023395681753754616
eventual,0.24209775030612946,0.27488499879837036,0.3238146901130676,0.19102908670902252,0.27253207564353943,0.18723170459270477,0.3464183211326599,0.3605128526687622,0.3154599666595459,0.24064335227012634,0.2071295827627182,0.33029112219810486,0.022692078724503517,0.13254497945308685
parent,0.2041042447090149,0.2895146310329437,0.10150361806154251,0.1637849658727646,0.161640465259552,0.17321987450122833,0.18322299420833588,0.28496110439300537,0.12783442437648773,0.11720436066389084,0.21705441176891327,0.15339559316635132,0.09408412128686905,0.19855059683322906
company,0.2333769053220749,1.0,0.16800642013549805,0.1913316398859024,0.13729272782802582,0.22260580956935883,0.20467796921730042,0.2219121903181076,0.22237855195999146,0.12552933394908905,0.16210390627384186,0.22141718864440918,0.027488231658935547,0.12195809185504913
",",0.3087472915649414,0.2697763442993164,0.3015086054801941,0.26183414459228516,0.29676204919815063,0.26552814245224,0.4946078956127167,0.36674630641937256,0.40251094102859497,0.2448868453502655,0.2097204476594925,0.5201468467712402,0.1272497922182083,0.31091248989105225
disney,0.19632026553153992,0.29213109612464905,0.16180537641048431,0.43164312839508057,0.15314295887947083,0.20013606548309326,0.19926400482654572,0.17460092902183533,0.20999711751937866,0.0828065276145935,0.37895750999450684,0.18521910905838013,0.1588013768196106,0.22150784730911255
),0.26259949803352356,0.14284300804138184,0.18584993481636047,0.2052476853132248,0.1894923597574234,0.1912459284067154,0.3680361211299896,0.2538422644138336,0.24215729534626007,0.23822903633117676,0.18381085991859436,0.3326910734176636,0.034670639783144,0.42300865054130554
.,0.3567904531955719,0.266353577375412,0.35288307070732117,0.29630035161972046,0.32859939336776733,0.26255303621292114,0.5352458953857422,0.475719153881073,0.38061028718948364,0.28830423951148987,0.2567209303379059,0.5591574311256409,0.06453319638967514,0.4130953550338745
