,gamma,delta,t,cells,share,the,characteristics,of,what,other,types,of,t,cells,?
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.09640959650278091,0.19095487892627716,0.3392690420150757,0.21305565536022186,0.1758001297712326,0.22227968275547028,0.30914390087127686,0.21305565536022186,0.25527921319007874,1.0,0.1898086667060852
and,0.16247797012329102,0.21133051812648773,0.25205641984939575,0.24033623933792114,0.28833726048469543,0.5171257257461548,0.32942116260528564,0.5116966962814331,0.31309178471565247,0.5504306554794312,0.3014242649078369,0.5116966962814331,0.25205641984939575,0.24033623933792114,0.20544172823429108
share,0.0693325623869896,0.06969620287418365,0.16746319830417633,0.09640959650278091,1.0,0.249948650598526,0.30070844292640686,0.2850857973098755,0.2764742076396942,0.35621801018714905,0.16211996972560883,0.2850857973098755,0.16746319830417633,0.09640959650278091,0.1754547506570816
the,0.2307703047990799,0.22022446990013123,0.2083338052034378,0.19095487892627716,0.249948650598526,1.0,0.27068567276000977,0.733189046382904,0.42745697498321533,0.44152235984802246,0.23509301245212555,0.733189046382904,0.2083338052034378,0.19095487892627716,0.22068053483963013
characteristics,0.25353580713272095,0.18417778611183167,0.14322543144226074,0.3392690420150757,0.30070844292640686,0.27068567276000977,1.0,0.289174884557724,0.3016658127307892,0.33280935883522034,0.38862332701683044,0.289174884557724,0.14322543144226074,0.3392690420150757,0.13894438743591309
of,0.18485099077224731,0.20736707746982574,0.14617829024791718,0.21305565536022186,0.2850857973098755,0.733189046382904,0.289174884557724,1.0,0.33290785551071167,0.38583824038505554,0.2447618544101715,1.0,0.14617829024791718,0.21305565536022186,0.1826142966747284
helper,0.1405923068523407,0.0551224946975708,0.21132126450538635,0.2926276922225952,0.11707498133182526,0.22471751272678375,0.15220817923545837,0.1962171345949173,0.24017302691936493,0.26062172651290894,0.14373812079429626,0.1962171345949173,0.21132126450538635,0.2926276922225952,0.2250194549560547
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.16746319830417633,0.2083338052034378,0.14322543144226074,0.14617829024791718,0.37454068660736084,0.23803606629371643,0.1665450632572174,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.09640959650278091,0.19095487892627716,0.3392690420150757,0.21305565536022186,0.1758001297712326,0.22227968275547028,0.30914390087127686,0.21305565536022186,0.25527921319007874,1.0,0.1898086667060852
",",0.22314341366291046,0.2192559540271759,0.31002363562583923,0.20582014322280884,0.29725754261016846,0.4933079481124878,0.26958268880844116,0.4946078956127167,0.3087472915649414,0.4446498453617096,0.24108222126960754,0.4946078956127167,0.31002363562583923,0.20582014322280884,0.31091248989105225
cytotoxic,0.35845237970352173,0.20743276178836823,0.3802478611469269,0.6440842151641846,0.17676697671413422,0.20982593297958374,0.356354683637619,0.2379591315984726,0.27720823884010315,0.274782657623291,0.30600863695144653,0.2379591315984726,0.3802478611469269,0.6440842151641846,0.2709274888038635
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.16746319830417633,0.2083338052034378,0.14322543144226074,0.14617829024791718,0.37454068660736084,0.23803606629371643,0.1665450632572174,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.09640959650278091,0.19095487892627716,0.3392690420150757,0.21305565536022186,0.1758001297712326,0.22227968275547028,0.30914390087127686,0.21305565536022186,0.25527921319007874,1.0,0.1898086667060852
and,0.16247797012329102,0.21133051812648773,0.25205641984939575,0.24033623933792114,0.28833726048469543,0.5171257257461548,0.32942116260528564,0.5116966962814331,0.31309178471565247,0.5504306554794312,0.3014242649078369,0.5116966962814331,0.25205641984939575,0.24033623933792114,0.20544172823429108
nk,0.23358586430549622,0.199640154838562,0.3221692144870758,0.4314545691013336,0.04207643121480942,0.1470712423324585,0.15621043741703033,0.14548860490322113,0.17948241531848907,0.16055364906787872,0.16903802752494812,0.14548860490322113,0.3221692144870758,0.4314545691013336,0.27499058842658997
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.09640959650278091,0.19095487892627716,0.3392690420150757,0.21305565536022186,0.1758001297712326,0.22227968275547028,0.30914390087127686,0.21305565536022186,0.25527921319007874,1.0,0.1898086667060852
.,0.25448304414749146,0.20923152565956116,0.3410096764564514,0.2868211269378662,0.24849677085876465,0.5934505462646484,0.20779992640018463,0.5352458953857422,0.3567904531955719,0.41511186957359314,0.2097296416759491,0.5352458953857422,0.3410096764564514,0.2868211269378662,0.4130953550338745
