,what,is,a,main,advantage,of,the,rankine,cycle,?
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38631999492645264,0.2844003438949585,0.733189046382904,1.0,0.22060109674930573,0.2701641917228699,0.22068053483963013
working,0.2846863269805908,0.20290212333202362,0.2998538911342621,0.21981018781661987,0.1643715649843216,0.19986772537231445,0.25857484340667725,0.14615657925605774,0.1813115030527115,0.17154020071029663
fluid,0.20682886242866516,0.23022614419460297,0.22105562686920166,0.07857128232717514,0.22284822165966034,0.217294842004776,0.23256433010101318,0.2930317521095276,0.22116050124168396,0.18212400376796722
being,0.3760843276977539,0.4445112943649292,0.3727131485939026,0.21867838501930237,0.24210776388645172,0.34885138273239136,0.419739305973053,0.1774543672800064,0.14053374528884888,0.26743772625923157
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.28862449526786804,0.1498534232378006,0.5696388483047485,0.6662389636039734,0.20086932182312012,0.20483464002609253,0.20430970191955566
its,0.30393704771995544,0.4447362422943115,0.4424409866333008,0.272861510515213,0.2855367362499237,0.48690423369407654,0.559237003326416,0.17247441411018372,0.11801506578922272,0.15103481709957123
liquid,0.24017377197742462,0.2801579535007477,0.2669180929660797,0.09047912806272507,0.26604920625686646,0.2296105921268463,0.25047987699508667,0.26619791984558105,0.20723608136177063,0.18412289023399353
phase,0.19029277563095093,0.2040843516588211,0.28588804602622986,0.143083393573761,0.20303216576576233,0.2589104175567627,0.29143109917640686,0.13105469942092896,0.31675559282302856,0.16345681250095367
at,0.2838611304759979,0.25906258821487427,0.3095070421695709,0.2409709095954895,0.17816247045993805,0.42558613419532776,0.457212895154953,0.23498916625976562,0.16644613444805145,0.21978627145290375
this,0.5489566326141357,0.480927973985672,0.5422310829162598,0.3026203215122223,0.33050379157066345,0.45148900151252747,0.6274310946464539,0.1767853945493698,0.2510433495044708,0.3155723512172699
point,0.3286605179309845,0.29601794481277466,0.2913021743297577,0.18685372173786163,0.28986912965774536,0.269877165555954,0.3084787130355835,0.17862682044506073,0.14621451497077942,0.19189560413360596
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.31122034788131714,0.18389295041561127,0.5352458953857422,0.5934505462646484,0.24286073446273804,0.19143328070640564,0.4130953550338745
