,what,is,the,term,for,a,meeting,of,mongol,chiefs,?
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.13619764149188995,-0.04479556903243065,0.04890415817499161,-0.0449235700070858,0.13035868108272552,0.06464006751775742,0.057800956070423126,0.018684765323996544
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.4185989499092102,0.5052502155303955,0.2703947126865387,1.0,0.22712039947509766,0.23118822276592255,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,0.5829201340675354,0.3390691578388214,0.733189046382904,0.2924198508262634,0.28790906071662903,0.22068053483963013
consolidated,0.15863418579101562,0.17370693385601044,0.28580236434936523,0.2156020700931549,0.22894537448883057,0.21303975582122803,0.2386297732591629,0.3171479105949402,0.20603929460048676,0.23640580475330353,0.16821198165416718
tribes,0.1860227882862091,0.16481351852416992,0.26830655336380005,0.14166860282421112,0.08061277121305466,0.16990388929843903,0.20290063321590424,0.21502000093460083,0.3928619921207428,0.39930957555770874,0.08824794739484787
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22272127866744995,0.5064792633056641,0.3739250600337982,0.23922012746334076,0.5116966962814331,0.21553155779838562,0.20846234261989594,0.20544172823429108
took,0.1316593885421753,0.18076173961162567,0.31657639145851135,0.10760883241891861,0.27585867047309875,0.18697012960910797,0.23968607187271118,0.2766268849372864,0.1795438528060913,0.25072503089904785,0.14109265804290771
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,0.5829201340675354,0.3390691578388214,0.733189046382904,0.2924198508262634,0.28790906071662903,0.22068053483963013
new,0.2130378633737564,0.2208656519651413,0.3845241069793701,0.14625371992588043,0.2700757384300232,0.3214259147644043,0.20083335041999817,0.343457967042923,0.14177319407463074,0.25247007608413696,0.14782847464084625
title,0.205022931098938,0.17983698844909668,0.27465343475341797,0.19946826994419098,0.2096623331308365,0.23181948065757751,0.13994139432907104,0.18969319760799408,0.15434394776821136,0.20097720623016357,0.34551161527633667
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.11803510040044785,0.01270448137074709,0.07272057235240936,0.030480898916721344,0.06780257821083069,0.12942542135715485,0.04020228609442711,0.0685480609536171
genghis,0.24369274079799652,0.1866190880537033,0.3448939025402069,0.10496590286493301,0.14123353362083435,0.194350928068161,0.1841527670621872,0.2938849925994873,0.6244974732398987,0.3140180706977844,0.18813461065292358
khan,0.16476042568683624,0.20103248953819275,0.21067845821380615,0.09061155468225479,0.13388998806476593,0.1743650734424591,0.1521243304014206,0.17124508321285248,0.5576101541519165,0.22487635910511017,0.12862591445446014
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.13619764149188995,-0.04479556903243065,0.04890415817499161,-0.0449235700070858,0.13035868108272552,0.06464006751775742,0.057800956070423126,0.018684765323996544
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18456575274467468,0.4726039469242096,0.50484299659729,0.23260334134101868,0.5352458953857422,0.16751837730407715,0.2014317512512207,0.4130953550338745
