,what,is,the,greatest,number,of,members,a,board,of,trustees,can,have,?
recommended,0.19394323229789734,0.22583825886249542,0.2700778841972351,0.09704048931598663,0.1906176656484604,0.27244600653648376,0.20224997401237488,0.2842293977737427,0.22321435809135437,0.27244600653648376,0.18768855929374695,0.32539650797843933,0.2613404393196106,0.22072286903858185
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2497471570968628,0.32951247692108154,0.41498205065727234,0.2637958228588104,0.47537946701049805,0.18093496561050415,0.41498205065727234,0.24406106770038605,0.4522190988063812,0.6182622313499451,0.32716336846351624
no,0.339326947927475,0.19581134617328644,0.3461136817932129,0.20673535764217377,0.28227460384368896,0.24809792637825012,0.17397795617580414,0.26280897855758667,0.12331992387771606,0.24809792637825012,0.1462334841489792,0.2225070297718048,0.38691386580467224,0.32165053486824036
gender,0.2898462414741516,0.17580533027648926,0.24119289219379425,0.12489087134599686,0.2408938854932785,0.20023681223392487,0.16808845102787018,0.22587965428829193,0.1763046234846115,0.20023681223392487,0.18711033463478088,0.26706162095069885,0.28611090779304504,0.22791960835456848
should,0.43830034136772156,0.33635082840919495,0.32399165630340576,0.18491172790527344,0.2768910229206085,0.23792634904384613,0.16342854499816895,0.2715131938457489,0.19968877732753754,0.23792634904384613,0.2298891693353653,0.5246878266334534,0.4533415734767914,0.4442402422428131
hold,0.20790280401706696,0.22212235629558563,0.3067915439605713,0.18255335092544556,0.26629573106765747,0.2465030699968338,0.22184240818023682,0.2822398841381073,0.24534887075424194,0.2465030699968338,0.3134327828884125,0.35063910484313965,0.37841248512268066,0.18586084246635437
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.21889428794384003,0.327032208442688,0.30478984117507935,0.2394680678844452,0.3452818691730499,0.16771399974822998,0.30478984117507935,0.16469275951385498,0.4044358730316162,0.49033403396606445,0.27894994616508484
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.18747049570083618,0.2816639244556427,0.33036211133003235,0.1746993064880371,0.3126874566078186,0.1310994029045105,0.33036211133003235,0.15289093554019928,0.3532506823539734,0.46517109870910645,0.24917294085025787
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.15944629907608032,0.2992287278175354,0.5052502155303955,0.1873859316110611,1.0,0.17163047194480896,0.5052502155303955,0.18469704687595367,0.3915780484676361,0.338716596364975,0.23916715383529663
2/3,-0.29552626609802246,-0.2535768151283264,-0.38537636399269104,-0.2066124826669693,-0.17785437405109406,-0.31549274921417236,-0.09405510872602463,-0.2909879684448242,-0.13504017889499664,-0.31549274921417236,0.031239371746778488,-0.2711440622806549,-0.3749070465564728,-0.049550481140613556
majority,0.25967487692832947,0.19749082624912262,0.28757327795028687,0.17170654237270355,0.3336901366710663,0.29706597328186035,0.31378620862960815,0.227370023727417,0.1167316660284996,0.29706597328186035,0.23006057739257812,0.24783922731876373,0.36177510023117065,0.220119908452034
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2034384310245514,0.3256329298019409,0.5352458953857422,0.21119362115859985,0.50484299659729,0.2503213584423065,0.5352458953857422,0.27198153734207153,0.35783761739730835,0.41614407300949097,0.4130953550338745
