,what,dilemma,is,a,good,example,of,moral,civil,disobedience,?
citizens,0.1905079185962677,0.0717502310872078,0.19138109683990479,0.21467146277427673,0.19634974002838135,0.16685299575328827,0.24269554018974304,0.23331505060195923,0.2728467583656311,0.37916049361228943,0.14885954558849335
when,0.4700249433517456,0.12010848522186279,0.3471449911594391,0.44397395849227905,0.2947733402252197,0.40509727597236633,0.3757161796092987,0.13118743896484375,0.14899945259094238,0.2761690020561218,0.22841128706932068
hitler,0.23170879483222961,0.14099743962287903,0.11709331721067429,0.1961185783147812,0.20104476809501648,0.15169182419776917,0.20085355639457703,0.2261243313550949,0.17382597923278809,0.3058096170425415,0.22639022767543793
's,0.02692362666130066,0.05524894595146179,0.02396530658006668,0.04866964742541313,0.09279277920722961,-0.045060764998197556,-0.03817026689648628,-0.00508872838690877,-0.06354409456253052,0.027719656005501747,-0.023395681753754616
secret,0.2518046498298645,0.31429827213287354,0.17441964149475098,0.2104455530643463,0.2131938934326172,0.18424564599990845,0.17003418505191803,0.1739436388015747,0.1267348825931549,0.2444981038570404,0.16440534591674805
police,0.1865120679140091,0.2199794054031372,0.1962917000055313,0.23870114982128143,0.1295652538537979,0.16634607315063477,0.19770009815692902,0.1563851237297058,0.22153325378894806,0.3465489149093628,0.1765819936990738
demanded,0.18562160432338715,0.20640136301517487,0.11099054664373398,0.16711093485355377,0.23692145943641663,0.17160214483737946,0.27366816997528076,0.2543565630912781,0.17068372666835785,0.4249400198459625,0.12433258444070816
to,0.455847829580307,0.14971420168876648,0.42745086550712585,0.45503583550453186,0.30719634890556335,0.3451666533946991,0.41548454761505127,0.24031215906143188,0.2019355595111847,0.30665844678878784,0.29463258385658264
know,0.6545611619949341,0.25637537240982056,0.31726783514022827,0.3143780827522278,0.4377652108669281,0.3205829858779907,0.24288669228553772,0.27465227246284485,0.18072107434272766,0.2580004930496216,0.5287392735481262
if,0.5277165174484253,0.24022839963436127,0.30927813053131104,0.41272827982902527,0.3476333022117615,0.5037236213684082,0.2557544410228729,0.24467705190181732,0.12512178719043732,0.20446431636810303,0.4441644251346588
they,0.4431931674480438,0.15599441528320312,0.330102801322937,0.3528250455856323,0.3366175889968872,0.32425805926322937,0.3426007330417633,0.18090935051441193,0.14507707953453064,0.3148254156112671,0.2753053903579712
were,0.22298263013362885,0.0717703178524971,0.29386836290359497,0.17203083634376526,0.16221989691257477,0.21319323778152466,0.34038281440734863,0.12185272574424744,0.2641898989677429,0.28859755396842957,0.17890112102031708
hiding,0.28701403737068176,0.2065514475107193,0.15173138678073883,0.21038754284381866,0.24629411101341248,0.23743502795696259,0.18737012147903442,0.2194949984550476,0.13326412439346313,0.23205874860286713,0.24915523827075958
a,0.3320399522781372,0.28605422377586365,0.658733606338501,1.0,0.3146486282348633,0.40234753489494324,0.5052502155303955,0.2165852189064026,0.21693918108940125,0.25352153182029724,0.23916715383529663
jew,0.20799759030342102,0.11050765216350555,0.2056543380022049,0.19264155626296997,0.21974846720695496,0.22875654697418213,0.12466904520988464,0.22399601340293884,0.11750062555074692,0.3093607425689697,0.22572754323482513
in,0.30808621644973755,0.1629856526851654,0.5394441485404968,0.539380669593811,0.2152448445558548,0.30483278632164,0.5696388483047485,0.15305006504058838,0.26466667652130127,0.3054615259170532,0.20430970191955566
their,0.35142919421195984,0.19211722910404205,0.2101074606180191,0.29698723554611206,0.31324175000190735,0.2809860408306122,0.4329940676689148,0.23250743746757507,0.18000862002372742,0.31147265434265137,0.1898253709077835
house,0.200801283121109,0.1662164181470871,0.2084006369113922,0.26758551597595215,0.11894616484642029,0.1831550896167755,0.285114049911499,0.10587483644485474,0.13699404895305634,0.16808423399925232,0.13736455142498016
.,0.3567904531955719,0.21332892775535583,0.4569662809371948,0.50484299659729,0.29664117097854614,0.41217929124832153,0.5352458953857422,0.18012312054634094,0.2541380822658539,0.2603943943977356,0.4130953550338745
'',0.08143015950918198,0.041289959102869034,0.0793738141655922,0.04890415817499161,-0.00393895898014307,-0.021546287462115288,0.13035868108272552,0.0011679017916321754,-0.062313709408044815,0.003403886454179883,0.018684765323996544
