,how,many,hymns,of,luther,were,included,in,the,achtliederbuch,?
songs,0.18321603536605835,0.2647671401500702,0.4678293466567993,0.19366078078746796,0.2370348870754242,0.2493385672569275,0.27153390645980835,0.2131991684436798,0.21576808393001556,0.296310156583786,0.18278652429580688
of,0.2480744868516922,0.37253960967063904,0.23365463316440582,1.0,0.1719115972518921,0.34038281440734863,0.4391688108444214,0.5696388483047485,0.733189046382904,0.3710545599460602,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.1660911738872528,0.733189046382904,0.1759674996137619,0.3906462490558624,0.3825419843196869,0.6662389636039734,1.0,0.3414166569709778,0.22068053483963013
erfurt,0.1467273235321045,0.2019565850496292,0.16962474584579468,0.24919012188911438,0.3450588285923004,0.25195103883743286,0.12424304336309433,0.2858373522758484,0.30728837847709656,0.6515361666679382,0.15730193257331848
enchiridion,0.1359296590089798,0.13919620215892792,0.39906126260757446,0.2441796064376831,0.27689141035079956,0.1240464448928833,0.1966135948896408,0.18411299586296082,0.24047186970710754,0.4314468801021576,0.1788076013326645
",",0.22659391164779663,0.40610817074775696,0.2567901313304901,0.4946078956127167,0.23255878686904907,0.36755475401878357,0.3679811954498291,0.5201468467712402,0.4933079481124878,0.3586543798446655,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2313949018716812,0.5116966962814331,0.20796556770801544,0.42175528407096863,0.3643590211868286,0.4954058527946472,0.5171257257461548,0.3352816700935364,0.20544172823429108
24,-0.016954585909843445,-0.047841135412454605,-0.043831538408994675,-0.02356693148612976,-0.04310920834541321,-0.041612669825553894,-0.05266789719462395,-0.0006371065974235535,0.009148004464805126,-0.04867023974657059,0.016154835000634193
of,0.2480744868516922,0.37253960967063904,0.23365463316440582,1.0,0.1719115972518921,0.34038281440734863,0.4391688108444214,0.5696388483047485,0.733189046382904,0.3710545599460602,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.1660911738872528,0.733189046382904,0.1759674996137619,0.3906462490558624,0.3825419843196869,0.6662389636039734,1.0,0.3414166569709778,0.22068053483963013
32,-0.0881153866648674,-0.07172217220067978,-0.026696844026446342,-0.06897011399269104,-0.08392008394002914,0.044248174875974655,-0.0030350019223988056,-0.04161756858229637,-0.06675421446561813,0.0340113490819931,0.04494665935635567
songs,0.18321603536605835,0.2647671401500702,0.4678293466567993,0.19366078078746796,0.2370348870754242,0.2493385672569275,0.27153390645980835,0.2131991684436798,0.21576808393001556,0.296310156583786,0.18278652429580688
in,0.2601168751716614,0.41474202275276184,0.1669730842113495,0.5696388483047485,0.20523880422115326,0.3815755248069763,0.32433560490608215,1.0,0.6662389636039734,0.3222394287586212,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.1660911738872528,0.733189046382904,0.1759674996137619,0.3906462490558624,0.3825419843196869,0.6662389636039734,1.0,0.3414166569709778,0.22068053483963013
first,0.27731001377105713,0.2931244373321533,0.16188344359397888,0.3536086082458496,0.20517638325691223,0.3285558819770813,0.23475037515163422,0.4127444326877594,0.49448907375335693,0.2632450759410858,0.18701928853988647
choral,0.18080298602581024,0.23449206352233887,0.5386718511581421,0.2536206841468811,0.2976004183292389,0.18465988337993622,0.2090696096420288,0.21138767898082733,0.23280717432498932,0.4072988033294678,0.18975581228733063
hymnal,0.08671420812606812,0.17266538739204407,0.7368002533912659,0.3003794848918915,0.2560838758945465,0.20761458575725555,0.19600476324558258,0.2645895183086395,0.27393218874931335,0.4083912968635559,0.14759886264801025
with,0.3525622487068176,0.35744401812553406,0.15511345863342285,0.41827285289764404,0.14705438911914825,0.3179011940956116,0.329644113779068,0.4080928862094879,0.4223487675189972,0.2165103256702423,0.2433311939239502
settings,0.3208860158920288,0.3195092976093292,0.3091748058795929,0.1335434466600418,0.18367978930473328,0.1785157471895218,0.1405368447303772,0.17163093388080597,0.20917028188705444,0.20848572254180908,0.31880196928977966
by,0.34370526671409607,0.3409687578678131,0.21136409044265747,0.3646814823150635,0.15382802486419678,0.4406847059726715,0.2987801134586334,0.370934396982193,0.4408751428127289,0.22669437527656555,0.17966607213020325
johann,0.20110131800174713,0.24165810644626617,0.30150309205055237,0.19805940985679626,0.3837730586528778,0.20254716277122498,0.13291193544864655,0.1748005747795105,0.1716882735490799,0.5394360423088074,0.1194499209523201
walter,0.13098296523094177,0.14315828680992126,0.10237504541873932,0.16571573913097382,0.18744529783725739,0.13782867789268494,0.11704178899526596,0.19440563023090363,0.16759788990020752,0.36724188923835754,0.1297207623720169
",",0.22659391164779663,0.40610817074775696,0.2567901313304901,0.4946078956127167,0.23255878686904907,0.36755475401878357,0.3679811954498291,0.5201468467712402,0.4933079481124878,0.3586543798446655,0.31091248989105225
eyn,0.2352113127708435,0.21087631583213806,0.30923327803611755,0.21504290401935577,0.2493324875831604,0.2432226687669754,0.1330007016658783,0.2573283016681671,0.22783589363098145,0.44798052310943604,0.23610107600688934
geystlich,0.1707104742527008,0.2691570222377777,0.29927706718444824,0.34410592913627625,0.2909928858280182,0.22518913447856903,0.23080956935882568,0.32880088686943054,0.3494434654712677,0.6884212493896484,0.18203496932983398
gesangk,0.20411458611488342,0.291952520608902,0.36718595027923584,0.3011758625507355,0.1921539157629013,0.22355060279369354,0.18050214648246765,0.24690066277980804,0.27518439292907715,0.5131846070289612,0.2352396696805954
buchleyn,0.21198882162570953,0.24343499541282654,0.242059126496315,0.3038249909877777,0.33800825476646423,0.3135809600353241,0.23181751370429993,0.3067355155944824,0.29175880551338196,0.6547929644584656,0.17880962789058685
",",0.22659391164779663,0.40610817074775696,0.2567901313304901,0.4946078956127167,0.23255878686904907,0.36755475401878357,0.3679811954498291,0.5201468467712402,0.4933079481124878,0.3586543798446655,0.31091248989105225
all,0.3725806474685669,0.5443700551986694,0.16958795487880707,0.42798417806625366,0.1917443871498108,0.4387909770011902,0.35182762145996094,0.3335905969142914,0.4860881567001343,0.23066028952598572,0.29575422406196594
published,0.17517933249473572,0.18215684592723846,0.24387440085411072,0.23023100197315216,0.15444858372211456,0.20513179898262024,0.2644338309764862,0.26697060465812683,0.22017472982406616,0.3044092059135437,0.16280238330364227
in,0.2601168751716614,0.41474202275276184,0.1669730842113495,0.5696388483047485,0.20523880422115326,0.3815755248069763,0.32433560490608215,1.0,0.6662389636039734,0.3222394287586212,0.20430970191955566
1524,0.027438178658485413,-0.028263110667467117,0.01317218691110611,-0.12981654703617096,0.07155809551477432,0.056090597063302994,0.016774237155914307,-0.09039775282144547,-0.09282234311103821,-0.11902210116386414,0.10532363504171371
.,0.3287222981452942,0.3974229395389557,0.18507489562034607,0.5352458953857422,0.24907569587230682,0.3378238379955292,0.25865867733955383,0.5591574311256409,0.5934505462646484,0.35818347334861755,0.4130953550338745
