,how,many,tiers,are,in,the,australian,form,of,learning,?
",",0.22659391164779663,0.40610817074775696,0.17434506118297577,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.18606895208358765,0.21805599331855774,0.4946078956127167,0.22680731117725372,0.31091248989105225
followed,0.22116149961948395,0.2190432846546173,0.10527271777391434,0.2208462357521057,0.3307904005050659,0.3567860722541809,0.18772734701633453,0.19002819061279297,0.3060508966445923,0.19022133946418762,0.20567169785499573
by,0.34370526671409607,0.3409687578678131,0.167853444814682,0.37842893600463867,0.370934396982193,0.4408751428127289,0.20652422308921814,0.20338405668735504,0.3646814823150635,0.18080872297286987,0.17966607213020325
secondary,0.1384657621383667,0.18097048997879028,0.12495339661836624,0.24611520767211914,0.2103116512298584,0.21037471294403076,0.09732584655284882,0.23172397911548615,0.219074085354805,0.23206499218940735,0.18118004500865936
education,0.12444977462291718,0.2013951987028122,0.21938829123973846,0.14324818551540375,0.2654339671134949,0.23982903361320496,0.132046639919281,0.12039986252784729,0.3015166223049164,0.4757501184940338,0.18067774176597595
(,0.1676948219537735,0.1455259770154953,0.1474255919456482,0.23263892531394958,0.3087427020072937,0.33289089798927307,0.19788014888763428,0.1860738843679428,0.35032153129577637,0.1387167125940323,0.40561532974243164
secondary,0.1384657621383667,0.18097048997879028,0.12495339661836624,0.24611520767211914,0.2103116512298584,0.21037471294403076,0.09732584655284882,0.23172397911548615,0.219074085354805,0.23206499218940735,0.18118004500865936
schools/high,0.2638092339038849,0.3229822516441345,0.2233244627714157,0.29273900389671326,0.313646137714386,0.29610177874565125,0.2343352735042572,0.1527472883462906,0.3018496334552765,0.3335566818714142,0.36289680004119873
schools,0.12874440848827362,0.3108086585998535,0.25524628162384033,0.30816179513931274,0.2632134258747101,0.22905772924423218,0.13071531057357788,0.1430789679288864,0.265506386756897,0.3194710910320282,0.18349280953407288
),0.17939934134483337,0.16602720320224762,0.14992967247962952,0.2373749315738678,0.3326910734176636,0.3456730246543884,0.19791001081466675,0.20926380157470703,0.3680361211299896,0.17306193709373474,0.42300865054130554
and,0.33647966384887695,0.5296266674995422,0.30116549134254456,0.48576638102531433,0.4954058527946472,0.5171257257461548,0.2769584059715271,0.30469027161598206,0.5116966962814331,0.2687397301197052,0.20544172823429108
tertiary,0.19005468487739563,0.22308601438999176,0.12619750201702118,0.26061296463012695,0.22423051297664642,0.24001607298851013,0.12477658689022064,0.23329241573810577,0.21779176592826843,0.18829810619354248,0.2581363916397095
education,0.12444977462291718,0.2013951987028122,0.21938829123973846,0.14324818551540375,0.2654339671134949,0.23982903361320496,0.132046639919281,0.12039986252784729,0.3015166223049164,0.4757501184940338,0.18067774176597595
(,0.1676948219537735,0.1455259770154953,0.1474255919456482,0.23263892531394958,0.3087427020072937,0.33289089798927307,0.19788014888763428,0.1860738843679428,0.35032153129577637,0.1387167125940323,0.40561532974243164
universities,0.13380388915538788,0.296996146440506,0.338306188583374,0.27859437465667725,0.2965206503868103,0.2619408071041107,0.05792582780122757,0.1337122768163681,0.29948264360427856,0.3136531710624695,0.16836881637573242
and/or,0.3250136077404022,0.2941112518310547,0.11687208712100983,0.3490902781486511,0.1723054200410843,0.27840298414230347,0.12550556659698486,0.22469796240329742,0.2572663724422455,0.1388353556394577,0.24081800878047943
tafe,0.16556163132190704,0.20345531404018402,0.2757815718650818,0.16763272881507874,0.2610507309436798,0.25719982385635376,0.28383204340934753,0.16588668525218964,0.27156394720077515,0.3117753863334656,0.17468518018722534
colleges,0.16339896619319916,0.24727776646614075,0.3200557827949524,0.26040151715278625,0.2712832987308502,0.2200278788805008,0.07494571059942245,0.21042735874652863,0.31927260756492615,0.29481062293052673,0.15586905181407928
),0.17939934134483337,0.16602720320224762,0.14992967247962952,0.2373749315738678,0.3326910734176636,0.3456730246543884,0.19791001081466675,0.20926380157470703,0.3680361211299896,0.17306193709373474,0.42300865054130554
.,0.3287222981452942,0.3974229395389557,0.18833811581134796,0.3452940285205841,0.5591574311256409,0.5934505462646484,0.2256850302219391,0.28317511081695557,0.5352458953857422,0.24872951209545135,0.4130953550338745
