,what,type,of,revolution,did,maududi,advocate,?
top,0.21232028305530548,0.20443357527256012,0.20362378656864166,0.03313787281513214,0.17264406383037567,0.11287572234869003,0.0813082754611969,0.17265194654464722
of,0.33290785551071167,0.18112817406654358,1.0,0.27144062519073486,0.2513895630836487,0.32255080342292786,0.22164754569530487,0.1826142966747284
society,0.23231269419193268,0.13371187448501587,0.23646748065948486,0.2139892727136612,0.18197309970855713,0.2284529209136963,0.241029754281044,0.1373005360364914
downward,0.20195426046848297,0.19421426951885223,0.16463246941566467,0.11263839900493622,0.15383131802082062,0.08910596370697021,0.09150314331054688,0.19264617562294006
through,0.23167094588279724,0.1296497881412506,0.3647414743900299,0.16464199125766754,0.14190755784511566,0.13148817420005798,0.13073189556598663,0.16913433372974396
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.18044278025627136,0.22598257660865784,0.25845959782600403,0.2367815226316452,0.19793890416622162
educational,0.2158561795949936,0.11696594953536987,0.3187834620475769,0.22612003982067108,0.18880505859851837,0.2837716042995453,0.3751908540725708,0.20904642343521118
process,0.3466717302799225,0.21829691529273987,0.23962904512882233,0.23990890383720398,0.1973760724067688,0.10431502014398575,0.2195902019739151,0.2460896074771881
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.12052000313997269,0.28211739659309387,0.2285769134759903,0.20847177505493164,0.32389625906944275
da'wah,0.32158106565475464,0.12451159209012985,0.18575745820999146,0.20987217128276825,0.2085435837507248,0.398937463760376,0.2073047161102295,0.22873935103416443
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2770307958126068,0.35288307070732117,0.3790089786052704,0.22176724672317505,0.4130953550338745
