,what,was,martin,parry,'s,role,in,the,ipcc,?
were,0.22298263013362885,0.590133786201477,0.15994206070899963,0.22942714393138885,0.007088581565767527,0.12640441954135895,0.3815755248069763,0.3906462490558624,0.14059360325336456,0.17890112102031708
``,0.008517155423760414,-0.012679691426455975,0.028174111619591713,0.05074009299278259,-0.03416389226913452,0.02487841621041298,0.04765888676047325,0.029072100296616554,-0.017391569912433624,0.0685480609536171
generally,0.40614598989486694,0.25163960456848145,0.10568398982286453,0.14252999424934387,0.017207007855176926,0.18773643672466278,0.28190043568611145,0.41466525197029114,0.24588483572006226,0.23411904275417328
unfounded,0.3953234851360321,0.29414957761764526,0.1983671933412552,0.18506333231925964,0.015795821323990822,0.1773453950881958,0.2159639298915863,0.31921252608299255,0.3186107575893402,0.27144309878349304
and,0.31309178471565247,0.3740963041782379,0.2544763386249542,0.24394243955612183,0.06895173341035843,0.2629789710044861,0.4954058527946472,0.5171257257461548,0.20790739357471466,0.20544172823429108
also,0.42747777700424194,0.4032125174999237,0.23446783423423767,0.2155744880437851,-0.0014726108638569713,0.3320251703262329,0.5073733329772949,0.6021018624305725,0.23867101967334747,0.21848613023757935
marginal,0.2536638677120209,0.1402420848608017,0.09147539734840393,0.13582615554332733,0.12106364965438843,0.140009343624115,0.20638422667980194,0.30781733989715576,0.28814196586608887,0.18376903235912323
to,0.455847829580307,0.3636345863342285,0.1691744029521942,0.23353464901447296,0.03782717138528824,0.17841029167175293,0.45010748505592346,0.535392165184021,0.25466105341911316,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,0.22029393911361694,0.2622797191143036,-0.01540423184633255,0.26607486605644226,0.6662389636039734,1.0,0.24925659596920013,0.22068053483963013
assessment,0.3237532377243042,0.1369474083185196,0.13931603729724884,0.13560278713703156,-0.05340564623475075,0.1541120409965515,0.19949871301651,0.28427207469940186,0.5005803108215332,0.22666098177433014
'',0.08143015950918198,0.04456103965640068,-0.10166443884372711,-0.026797544211149216,-0.04859459400177002,-0.022837141528725624,0.07432962208986282,0.041273195296525955,-0.04113392531871796,0.018684765323996544
.,0.3567904531955719,0.40146201848983765,0.25235527753829956,0.2848113775253296,-0.003708066651597619,0.22067026793956757,0.5591574311256409,0.5934505462646484,0.20098818838596344,0.4130953550338745
