,where,is,the,principle,of,proportionality,recognized,in,the,ec,treaty,?
what,0.4457937180995941,0.28837618231773376,0.42745697498321533,0.3569014072418213,0.33290785551071167,0.25857412815093994,0.17776133120059967,0.30808621644973755,0.42745697498321533,0.18467548489570618,0.17237819731235504,0.5051238536834717
is,0.3586711287498474,1.0,0.5823672413825989,0.20634804666042328,0.4854315221309662,0.23858913779258728,0.23847106099128723,0.5394441485404968,0.5823672413825989,0.15049412846565247,0.17603619396686554,0.22961433231830597
necessary,0.2708882689476013,0.23441283404827118,0.28364068269729614,0.2803419530391693,0.26879626512527466,0.3131956160068512,0.21758471429347992,0.1872260719537735,0.28364068269729614,0.12580963969230652,0.12776537239551544,0.3430270850658417
to,0.47735077142715454,0.42745086550712585,0.535392165184021,0.22799374163150787,0.41548454761505127,0.2812267243862152,0.1667540818452835,0.45010748505592346,0.535392165184021,0.11698710173368454,0.1986158937215805,0.29463258385658264
achieve,0.17094776034355164,0.18980827927589417,0.23965083062648773,0.300491601228714,0.24381192028522491,0.38830459117889404,0.20080041885375977,0.17567327618598938,0.23965083062648773,0.04735199734568596,0.12739017605781555,0.17526866495609283
the,0.5003893971443176,0.5823672413825989,1.0,0.24017377197742462,0.733189046382904,0.2545052170753479,0.31571096181869507,0.6662389636039734,1.0,0.14133693277835846,0.2690109610557556,0.22068053483963013
objectives,0.1981326788663864,0.14265531301498413,0.21808713674545288,0.3417222797870636,0.1930888593196869,0.25535404682159424,0.1579209566116333,0.20282575488090515,0.21808713674545288,0.10071198642253876,0.19578632712364197,0.24325615167617798
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2430231273174286,1.0,0.25016435980796814,0.3161126375198364,0.5696388483047485,0.733189046382904,0.14448298513889313,0.2602092921733856,0.1826142966747284
this,0.4012809097766876,0.480927973985672,0.6274310946464539,0.3231566250324249,0.45148900151252747,0.2891145646572113,0.2126975655555725,0.45205554366111755,0.6274310946464539,0.16971571743488312,0.2211783081293106,0.3155723512172699
treaty,0.15556932985782623,0.17603619396686554,0.2690109610557556,0.21129724383354187,0.2602092921733856,0.1245458573102951,0.2518264651298523,0.22333456575870514,0.2690109610557556,0.1496964544057846,1.0,0.1174844279885292
'',0.016034942120313644,0.0793738141655922,0.041273195296525955,0.06804671138525009,0.13035868108272552,0.0521351583302021,-0.012082072906196117,0.07432962208986282,0.041273195296525955,-0.0145608801394701,0.07842288166284561,0.018684765323996544
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.1894911378622055,0.5352458953857422,0.25444185733795166,0.2562062442302704,0.5591574311256409,0.5934505462646484,0.27053287625312805,0.17410176992416382,0.4130953550338745
,where,is,the,principle,of,proportionality,recognized,in,the,ec,treaty,?
according,0.1970262974500656,0.2838992476463318,0.3202974498271942,0.23650723695755005,0.3307822346687317,0.20748145878314972,0.2521461546421051,0.29259276390075684,0.3202974498271942,0.1178436353802681,0.16011418402194977,0.21173474192619324
to,0.47735077142715454,0.42745086550712585,0.535392165184021,0.22799374163150787,0.41548454761505127,0.2812267243862152,0.1667540818452835,0.45010748505592346,0.535392165184021,0.11698710173368454,0.1986158937215805,0.29463258385658264
the,0.5003893971443176,0.5823672413825989,1.0,0.24017377197742462,0.733189046382904,0.2545052170753479,0.31571096181869507,0.6662389636039734,1.0,0.14133693277835846,0.2690109610557556,0.22068053483963013
general,0.20537003874778748,0.20144300162792206,0.28634732961654663,0.2211521416902542,0.28352999687194824,0.22234956920146942,0.14796382188796997,0.259066641330719,0.28634732961654663,0.10554343461990356,0.13500329852104187,0.1972234547138214
principle,0.18538446724414825,0.20634804666042328,0.24017377197742462,1.0,0.2430231273174286,0.30795538425445557,0.20235957205295563,0.16382117569446564,0.24017377197742462,0.054988157004117966,0.21129724383354187,0.2002675086259842
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2430231273174286,1.0,0.25016435980796814,0.3161126375198364,0.5696388483047485,0.733189046382904,0.14448298513889313,0.2602092921733856,0.1826142966747284
proportionality,0.19442816078662872,0.23858913779258728,0.2545052170753479,0.30795538425445557,0.25016435980796814,1.0,0.22840017080307007,0.1949407309293747,0.2545052170753479,0.08043867349624634,0.1245458573102951,0.22919641435146332
the,0.5003893971443176,0.5823672413825989,1.0,0.24017377197742462,0.733189046382904,0.2545052170753479,0.31571096181869507,0.6662389636039734,1.0,0.14133693277835846,0.2690109610557556,0.22068053483963013
lawfulness,0.20564980804920197,0.20764093101024628,0.25638189911842346,0.40333107113838196,0.2878045439720154,0.35309866070747375,0.27676528692245483,0.2003946453332901,0.25638189911842346,0.1490156203508377,0.37274977564811707,0.2534785866737366
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2430231273174286,1.0,0.25016435980796814,0.3161126375198364,0.5696388483047485,0.733189046382904,0.14448298513889313,0.2602092921733856,0.1826142966747284
an,0.24824833869934082,0.4654068350791931,0.4207492768764496,0.1980886161327362,0.32280945777893066,0.1792393922805786,0.17234164476394653,0.2605783939361572,0.4207492768764496,0.09860464185476303,0.16682939231395721,0.19793890416622162
action,0.21614055335521698,0.20976395905017853,0.28415048122406006,0.2708413898944855,0.23570318520069122,0.12194789946079254,0.12700966000556946,0.22362500429153442,0.28415048122406006,0.1509634405374527,0.10017765313386917,0.250188946723938
depends,0.33249372243881226,0.40560126304626465,0.3308880031108856,0.3428250849246979,0.3327617049217224,0.3508059084415436,0.11492830514907837,0.23358918726444244,0.3308880031108856,0.12544196844100952,0.026414867490530014,0.18496274948120117
on,0.37630224227905273,0.3635730445384979,0.5107308030128479,0.190961554646492,0.3966929316520691,0.15930314362049103,0.16710613667964935,0.46853652596473694,0.5107308030128479,0.04489170014858246,0.19638824462890625,0.2714994251728058
whether,0.4526427984237671,0.30252501368522644,0.3211745023727417,0.3191598951816559,0.24392437934875488,0.3864898979663849,0.22983409464359283,0.24645471572875977,0.3211745023727417,0.09248913824558258,0.16869881749153137,0.3150278329849243
it,0.36972272396087646,0.6328473687171936,0.6251175999641418,0.2633585035800934,0.38761502504348755,0.21017906069755554,0.26686543226242065,0.5130809545516968,0.6251175999641418,0.15798501670360565,0.2648608088493347,0.25732165575027466
was,0.20731619000434875,0.5810302495956421,0.48711544275283813,0.14412526786327362,0.4069072902202606,0.1646426022052765,0.23980659246444702,0.45514053106307983,0.48711544275283813,0.1630007028579712,0.2409621626138687,0.18412111699581146
appropriate,0.2488366961479187,0.2246846705675125,0.27732113003730774,0.24086923897266388,0.1958872526884079,0.3216891884803772,0.1589088886976242,0.16018737852573395,0.27732113003730774,0.1269092857837677,0.14511016011238098,0.2732597291469574
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.18017759919166565,0.5116966962814331,0.2817355990409851,0.2502152621746063,0.4954058527946472,0.5171257257461548,0.16443924605846405,0.1592116355895996,0.20544172823429108
necessary,0.2708882689476013,0.23441283404827118,0.28364068269729614,0.2803419530391693,0.26879626512527466,0.3131956160068512,0.21758471429347992,0.1872260719537735,0.28364068269729614,0.12580963969230652,0.12776537239551544,0.3430270850658417
to,0.47735077142715454,0.42745086550712585,0.535392165184021,0.22799374163150787,0.41548454761505127,0.2812267243862152,0.1667540818452835,0.45010748505592346,0.535392165184021,0.11698710173368454,0.1986158937215805,0.29463258385658264
achieve,0.17094776034355164,0.18980827927589417,0.23965083062648773,0.300491601228714,0.24381192028522491,0.38830459117889404,0.20080041885375977,0.17567327618598938,0.23965083062648773,0.04735199734568596,0.12739017605781555,0.17526866495609283
the,0.5003893971443176,0.5823672413825989,1.0,0.24017377197742462,0.733189046382904,0.2545052170753479,0.31571096181869507,0.6662389636039734,1.0,0.14133693277835846,0.2690109610557556,0.22068053483963013
objectives,0.1981326788663864,0.14265531301498413,0.21808713674545288,0.3417222797870636,0.1930888593196869,0.25535404682159424,0.1579209566116333,0.20282575488090515,0.21808713674545288,0.10071198642253876,0.19578632712364197,0.24325615167617798
legitimately,0.2599332630634308,0.17593565583229065,0.3065301179885864,0.23797054588794708,0.27110177278518677,0.26258277893066406,0.2861165404319763,0.22671657800674438,0.3065301179885864,0.07506381720304489,0.2304697334766388,0.21953843533992767
pursued,0.14401395618915558,0.08551335334777832,0.18301384150981903,0.16511675715446472,0.18950186669826508,0.2023959755897522,0.27370211482048035,0.20960086584091187,0.18301384150981903,0.011566441506147385,0.07565664499998093,0.09115990251302719
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.1894911378622055,0.5352458953857422,0.25444185733795166,0.2562062442302704,0.5591574311256409,0.5934505462646484,0.27053287625312805,0.17410176992416382,0.4130953550338745
