,who,was,al-banna,'s,assassination,a,retaliation,for,the,prior,assassination,of,?
for,0.37110671401023865,0.3863949179649353,0.14127908647060394,-0.07241261005401611,0.2055782973766327,0.44038116931915283,0.23318159580230713,0.9999999403953552,0.4739971458911896,0.31561535596847534,0.2055782973766327,0.4185989499092102,0.264628142118454
the,0.3733934462070465,0.48711544275283813,0.20889347791671753,-0.01540423184633255,0.2033206969499588,0.5829201340675354,0.32224610447883606,0.4739971458911896,1.0,0.33782097697257996,0.2033206969499588,0.733189046382904,0.22068053483963013
assassination,0.2732718586921692,0.2552372217178345,0.2580013573169708,-0.0489051528275013,0.9999999403953552,0.18841689825057983,0.45781493186950684,0.2055782973766327,0.2033206969499588,0.196242094039917,0.9999999403953552,0.23465228080749512,0.21308238804340363
of,0.2827862501144409,0.4069072902202606,0.1987224668264389,-0.03817026689648628,0.23465228080749512,0.5052502155303955,0.26199448108673096,0.4185989499092102,0.733189046382904,0.3183474540710449,0.23465228080749512,1.0,0.1826142966747284
egypt,0.17025555670261383,0.20915520191192627,0.2544606924057007,0.068876713514328,0.2765502333641052,0.14361631870269775,0.2444966733455658,0.17121455073356628,0.2536296546459198,0.0977272018790245,0.2765502333641052,0.25414037704467773,0.17769601941108704
's,0.05599616840481758,0.008974763564765453,0.04110683500766754,0.9999999403953552,-0.0489051528275013,0.04866964742541313,-0.019576773047447205,-0.07241261005401611,-0.01540423184633255,-0.0369880273938179,-0.0489051528275013,-0.03817026689648628,-0.023395681753754616
premier,0.23959188163280487,0.205341175198555,0.2285861372947693,0.04964892938733101,0.15160538256168365,0.14475353062152863,0.1245175153017044,0.14301124215126038,0.22658593952655792,0.20095005631446838,0.15160538256168365,0.17136150598526,0.1292608082294464
mahmud,0.2750086486339569,0.2541752755641937,0.4216552972793579,0.024333594366908073,0.326724112033844,0.19582544267177582,0.3678785264492035,0.13328759372234344,0.21787428855895996,0.2054109275341034,0.326724112033844,0.2413758635520935,0.20877636969089508
fami,0.20545990765094757,0.27327340841293335,0.2984328269958496,0.034467630088329315,0.21878212690353394,0.2255384773015976,0.1450304090976715,0.21429342031478882,0.22761330008506775,0.15333110094070435,0.21878212690353394,0.19590140879154205,0.18283645808696747
naqrashi,0.20471404492855072,0.23961545526981354,0.3064093291759491,0.018725167959928513,0.11958781629800797,0.21052668988704681,0.1617422103881836,0.15824922919273376,0.2351103574037552,0.1347755640745163,0.11958781629800797,0.17932748794555664,0.15824902057647705
three,0.2491552233695984,0.2748996615409851,0.153564453125,0.03946888819336891,0.18614724278450012,0.3025658130645752,0.13897541165351868,0.3032672107219696,0.43452659249305725,0.19753308594226837,0.18614724278450012,0.3844621181488037,0.20928427577018738
months,0.2560766637325287,0.30324822664260864,0.14804166555404663,0.017206644639372826,0.22705930471420288,0.24924878776073456,0.2818390130996704,0.32226935029029846,0.2680157423019409,0.36865317821502686,0.22705930471420288,0.22298860549926758,0.2804218530654907
earlier,0.23053643107414246,0.3443564474582672,0.24914395809173584,0.04531743377447128,0.1955994963645935,0.19610044360160828,0.16652464866638184,0.20985780656337738,0.26843780279159546,0.22164957225322723,0.1955994963645935,0.27635854482650757,0.13306351006031036
.,0.3541337847709656,0.40146201848983765,0.3204165995121002,-0.003708066651597619,0.2499556988477707,0.50484299659729,0.2380824238061905,0.4726039469242096,0.5934505462646484,0.2402365803718567,0.2499556988477707,0.5352458953857422,0.4130953550338745
