,whose,principles,were,the,principle,of,faunal,succession,built,upon,?
's,-0.019954677671194077,-0.03721999749541283,0.007088581565767527,-0.01540423184633255,-0.03991859778761864,-0.03817026689648628,0.08680088818073273,-0.05793838948011398,0.09241583198308945,-0.10459267348051071,-0.023395681753754616
theory,0.19235534965991974,0.481322705745697,0.1573960781097412,0.2277156263589859,0.5460558533668518,0.23506702482700348,0.297979474067688,0.15654154121875763,0.1326567679643631,0.18048828840255737,0.1387292891740799
of,0.37058958411216736,0.25854504108428955,0.34038281440734863,0.733189046382904,0.2430231273174286,1.0,0.2839019000530243,0.3265681266784668,0.23442776501178741,0.3224298357963562,0.1826142966747284
evolution,0.10994235426187515,0.3218975365161896,0.1475413590669632,0.2514035999774933,0.34572574496269226,0.23780936002731323,0.38322561979293823,0.1934945434331894,0.11611839383840561,0.12413967400789261,0.26797422766685486
",",0.25601375102996826,0.23890022933483124,0.36755475401878357,0.4933079481124878,0.22548964619636536,0.4946078956127167,0.19222447276115417,0.1916448026895523,0.22658206522464752,0.27234330773353577,0.31091248989105225
the,0.38253846764564514,0.21452596783638,0.3906462490558624,1.0,0.24017377197742462,0.733189046382904,0.2679622173309326,0.3133684992790222,0.2950156033039093,0.28184252977371216,0.22068053483963013
principles,0.169301375746727,1.0000001192092896,0.1844840943813324,0.21452596783638,0.8624683022499084,0.25854504108428955,0.33435162901878357,0.17531879246234894,0.14164765179157257,0.2920569181442261,0.19203636050224304
of,0.37058958411216736,0.25854504108428955,0.34038281440734863,0.733189046382904,0.2430231273174286,1.0,0.2839019000530243,0.3265681266784668,0.23442776501178741,0.3224298357963562,0.1826142966747284
succession,0.17350733280181885,0.17531879246234894,0.19258706271648407,0.3133684992790222,0.19693267345428467,0.3265681266784668,0.30848702788352966,0.9999999403953552,0.18105624616146088,0.20036517083644867,0.13082198798656464
were,0.20901553332805634,0.1844840943813324,1.0000001192092896,0.3906462490558624,0.12945392727851868,0.34038281440734863,0.21579958498477936,0.19258706271648407,0.31323960423469543,0.18159154057502747,0.17890112102031708
developed,0.19349563121795654,0.3137640655040741,0.2749831974506378,0.24490751326084137,0.27444934844970703,0.21960023045539856,0.2579472064971924,0.14569643139839172,0.3962084650993347,0.12082985043525696,0.10763012617826462
independently,0.2850281000137329,0.3237501084804535,0.26457226276397705,0.2874889671802521,0.31286901235580444,0.2837311625480652,0.23715631663799286,0.19073279201984406,0.13172733783721924,0.24963721632957458,0.1474725753068924
of,0.37058958411216736,0.25854504108428955,0.34038281440734863,0.733189046382904,0.2430231273174286,1.0,0.2839019000530243,0.3265681266784668,0.23442776501178741,0.3224298357963562,0.1826142966747284
evolutionary,0.18720489740371704,0.3852510154247284,0.13627243041992188,0.24718289077281952,0.38552096486091614,0.2917879819869995,0.4393038749694824,0.21840780973434448,0.09627649933099747,0.14334502816200256,0.22123169898986816
thought,0.26686781644821167,0.28893449902534485,0.40236467123031616,0.3509289622306824,0.30404138565063477,0.34673458337783813,0.2270110547542572,0.16131509840488434,0.2522481381893158,0.2047707885503769,0.2600135803222656
.,0.2718997597694397,0.18409739434719086,0.3378238379955292,0.5934505462646484,0.1894911378622055,0.5352458953857422,0.16958598792552948,0.19792039692401886,0.2374027520418167,0.18839296698570251,0.4130953550338745
