,what,is,the,benefit,of,polypeptide,binding,?
form,0.15868011116981506,0.3218395411968231,0.29286009073257446,0.178738072514534,0.29600051045417786,0.3865515887737274,0.31262192130088806,0.1463010311126709
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.29653435945510864,0.5116966962814331,0.22497119009494781,0.20053289830684662,0.20544172823429108
carrying,0.14636102318763733,0.16291993856430054,0.24629071354866028,0.16631053388118744,0.2647595703601837,0.11144004762172699,0.2454182356595993,0.1526285707950592
out,0.3633197546005249,0.2817855477333069,0.39404502511024475,0.21100440621376038,0.34176841378211975,0.25695928931236267,0.23027318716049194,0.22020699083805084
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.29973217844963074,0.4329940676689148,0.2735549211502075,0.2843244671821594,0.1898253709077835
chloroplast,0.23505516350269318,0.20798198878765106,0.21317854523658752,0.19759595394134521,0.2069506198167801,0.6873421669006348,0.32410261034965515,0.12532055377960205
functions,0.22357098758220673,0.1740858554840088,0.2567043900489807,0.23623192310333252,0.2328059822320938,0.43809014558792114,0.30524978041648865,0.13745930790901184
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.17319905757904053,0.5696388483047485,0.2256750762462616,0.18967576324939728,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.24974633753299713,0.733189046382904,0.25302034616470337,0.26792919635772705,0.22068053483963013
wrong,0.5828129053115845,0.22142094373703003,0.25067222118377686,0.36673927307128906,0.16435322165489197,0.2649441361427307,0.25198236107826233,0.4657740890979767
place—the,0.3549513816833496,0.406870573759079,0.4704863131046295,0.2647433280944824,0.35614582896232605,0.3576470613479614,0.17043887078762054,0.30578672885894775
cytosol,0.2034735381603241,0.23046906292438507,0.21458443999290466,0.20075352489948273,0.22567066550254822,0.7412630915641785,0.39343100786209106,0.17678143084049225
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2692491412162781,0.5352458953857422,0.24966394901275635,0.20501452684402466,0.4130953550338745
