,what,governor,in,charge,of,new,france,died,in,1752,?
died,0.11138711869716644,0.27801841497421265,0.25881269574165344,0.12636372447013855,0.25637882947921753,0.15599755942821503,0.2526325583457947,0.9999998807907104,0.25881269574165344,0.17235103249549866,0.15254227817058563
and,0.31309178471565247,0.19707801938056946,0.4954058527946472,0.238192617893219,0.5116966962814331,0.31402453780174255,0.2925812005996704,0.20853787660598755,0.4954058527946472,0.08033834397792816,0.20544172823429108
was,0.22111038863658905,0.25802454352378845,0.45514053106307983,0.2562176287174225,0.4069072902202606,0.2748313844203949,0.2715669870376587,0.4570699632167816,0.45514053106307983,0.08384682983160019,0.18412111699581146
temporarily,0.2163034975528717,0.18735717236995697,0.253314346075058,0.18199217319488525,0.24215073883533478,0.2572934031486511,0.18968284130096436,0.16271723806858063,0.253314346075058,0.04998130351305008,0.11896703392267227
replaced,0.12975038588047028,0.13053132593631744,0.2068215310573578,0.1387988030910492,0.20067165791988373,0.19021332263946533,0.13185644149780273,0.14008335769176483,0.2068215310573578,0.08935682475566864,0.14945141971111298
by,0.2455483376979828,0.1777070015668869,0.370934396982193,0.2229645550251007,0.3646814823150635,0.25394493341445923,0.22743742167949677,0.14783190190792084,0.370934396982193,0.12914326786994934,0.17966607213020325
charles,0.18606366217136383,0.2527543008327484,0.21346928179264069,0.22271037101745605,0.22512592375278473,0.20439454913139343,0.29564470052719116,0.24916048347949982,0.21346928179264069,0.14446988701820374,0.17366734147071838
le,0.13805793225765228,0.11345486342906952,0.20278146862983704,0.11702901124954224,0.16844666004180908,0.1616138070821762,0.3469930589199066,0.11333764344453812,0.20278146862983704,0.28783854842185974,0.11964468657970428
moyne,0.17592240869998932,0.35827621817588806,0.21893230080604553,0.2022797167301178,0.21531188488006592,0.23255570232868195,0.36510536074638367,0.2596808969974518,0.21893230080604553,0.3381991982460022,0.23075997829437256
de,0.10476839542388916,0.192219540476799,0.24818959832191467,0.13502150774002075,0.26292696595191956,0.14845386147499084,0.42480456829071045,0.13539938628673553,0.24818959832191467,0.2583487629890442,0.11064168810844421
longueuil,0.132504403591156,0.25152963399887085,0.29252389073371887,0.12951789796352386,0.25450992584228516,0.23803691565990448,0.5474537014961243,0.24131928384304047,0.29252389073371887,0.4098608195781708,0.18146929144859314
.,0.3567904531955719,0.2575504183769226,0.5591574311256409,0.21931332349777222,0.5352458953857422,0.35031336545944214,0.33719199895858765,0.24093139171600342,0.5591574311256409,0.16730274260044098,0.4130953550338745
