,how,much,of,afghanistan,did,the,taliban,take,over,?
most,0.311336874961853,0.4205867648124695,0.4178851246833801,0.21627463400363922,0.2822507321834564,0.47635307908058167,0.21519456803798676,0.192624032497406,0.366985023021698,0.2107497900724411
of,0.2480744868516922,0.2671096920967102,1.0,0.2363988608121872,0.2513895630836487,0.733189046382904,0.2280503511428833,0.29282352328300476,0.36136594414711,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.28314414620399475,0.34736719727516174,1.0,0.26727861166000366,0.31620436906814575,0.39856547117233276,0.22068053483963013
warlords,0.15859445929527283,0.18522024154663086,0.2154676467180252,0.31564173102378845,0.20310938358306885,0.233455628156662,0.3841853141784668,0.20374280214309692,0.256076455116272,0.10688880831003189
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.2312776744365692,0.34479495882987976,0.5171257257461548,0.3037244379520416,0.296702116727829,0.4021143913269043,0.20544172823429108
took,0.1585291624069214,0.21277569234371185,0.2766268849372864,0.1776767373085022,0.42470768094062805,0.31657639145851135,0.26784053444862366,0.5846115350723267,0.4030097723007202,0.14109265804290771
over,0.31446483731269836,0.3711091876029968,0.36136594414711,0.20727072656154633,0.2535076439380646,0.39856547117233276,0.23751366138458252,0.37978237867355347,1.0,0.25742942094802856
roughly,0.24497489631175995,0.3195644021034241,0.35703447461128235,0.13733826577663422,0.09208915382623672,0.3095499873161316,0.10028854757547379,0.22320228815078735,0.351242333650589,0.09299357235431671
80,0.07793577015399933,0.10825032740831375,-0.048517487943172455,-0.05722295492887497,0.012174745090305805,0.003630283521488309,-0.04372706636786461,0.175308495759964,0.03965898975729942,0.04445207491517067
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.14602702856063843,0.1450016051530838,0.21490740776062012,0.1828695386648178,0.10328980535268784,0.2424919307231903,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.2363988608121872,0.2513895630836487,0.733189046382904,0.2280503511428833,0.29282352328300476,0.36136594414711,0.1826142966747284
afghanistan,0.1569177508354187,0.17203736305236816,0.2363988608121872,1.0000001192092896,0.17636427283287048,0.28314414620399475,0.5801190137863159,0.1335516721010208,0.20727072656154633,0.1478135734796524
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.2578941881656647,0.35288307070732117,0.5934505462646484,0.2613162100315094,0.3045158088207245,0.37877383828163147,0.4130953550338745
