,when,did,luther,save,the,group,of,nuns,from,the,convent,?
from,0.405669629573822,0.20248863101005554,0.10716932266950607,0.17025305330753326,0.40150508284568787,0.2369973510503769,0.4249346852302551,0.1485910266637802,1.0,0.40150508284568787,0.172285795211792,0.19969791173934937
the,0.5091903209686279,0.34736719727516174,0.1759674996137619,0.24351766705513,1.0,0.30795547366142273,0.733189046382904,0.24968461692333221,0.40150508284568787,1.0,0.2071576863527298,0.22068053483963013
nimbschen,0.2473672777414322,0.21465983986854553,0.31799793243408203,0.17335127294063568,0.3080388605594635,0.19696259498596191,0.26476287841796875,0.2766639292240143,0.18085721135139465,0.3080388605594635,0.24480493366718292,0.27361300587654114
cistercian,0.18401028215885162,0.17436152696609497,0.2527329623699188,0.13425789773464203,0.31648173928260803,0.18196430802345276,0.2890405058860779,0.4572882354259491,0.12735173106193542,0.31648173928260803,0.4030144214630127,0.13337573409080505
convent,0.18762047588825226,0.18329010903835297,0.23039324581623077,0.16406889259815216,0.2071576863527298,0.16195355355739594,0.23437820374965668,0.4382174611091614,0.172285795211792,0.2071576863527298,1.0000001192092896,0.13633914291858673
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.15033826231956482,0.6662389636039734,0.2304753065109253,0.5696388483047485,0.2504093050956726,0.4274188280105591,0.6662389636039734,0.21644586324691772,0.20430970191955566
april,0.2554110586643219,0.2925565242767334,0.1579839140176773,0.09587336331605911,0.23232673108577728,0.10460519790649414,0.18706536293029785,0.11272583156824112,0.19089484214782715,0.23232673108577728,0.16865023970603943,0.25704094767570496
1523,-0.035242535173892975,-0.12093567103147507,0.004445450380444527,0.07532115280628204,-0.06523832678794861,-0.1289338916540146,-0.0025677902158349752,-0.14405204355716705,-0.011752898804843426,-0.06523832678794861,-0.045328933745622635,-0.1076718270778656
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.2126808911561966,0.4933079481124878,0.2809832692146301,0.4946078956127167,0.20547693967819214,0.39760664105415344,0.4933079481124878,0.18241924047470093,0.31091248989105225
when,0.9999999403953552,0.3228907287120819,0.14516782760620117,0.30624181032180786,0.5091903209686279,0.22595302760601044,0.3757161796092987,0.1971340924501419,0.405669629573822,0.5091903209686279,0.18762047588825226,0.22841128706932068
he,0.39115971326828003,0.3292143940925598,0.2454872578382492,0.17424646019935608,0.4571082592010498,0.22512191534042358,0.38706058263778687,0.2655799686908722,0.3314535319805145,0.4571082592010498,0.2446995973587036,0.2089974731206894
arranged,0.22152702510356903,0.28978756070137024,0.1628410816192627,0.09183937311172485,0.26620063185691833,0.22007550299167633,0.33214297890663147,0.2000592201948166,0.14867505431175232,0.26620063185691833,0.26821449398994446,0.08499907702207565
for,0.43402108550071716,0.318512886762619,0.12958186864852905,0.26013100147247314,0.4739971458911896,0.24519909918308258,0.4185989499092102,0.18882659077644348,0.314039945602417,0.4739971458911896,0.18329383432865143,0.264628142118454
them,0.4773717522621155,0.44189682602882385,0.1940135955810547,0.33634623885154724,0.4788833558559418,0.30544283986091614,0.34503093361854553,0.3550701141357422,0.2957119345664978,0.4788833558559418,0.2455863058567047,0.35435691475868225
to,0.5423505902290344,0.4452643394470215,0.18029534816741943,0.335874080657959,0.535392165184021,0.2672896385192871,0.41548454761505127,0.23674897849559784,0.4069952368736267,0.535392165184021,0.32227465510368347,0.29463258385658264
be,0.4451393485069275,0.22657383978366852,0.15299063920974731,0.269986093044281,0.4248143136501312,0.21518005430698395,0.33904364705085754,0.2172042429447174,0.3107333183288574,0.4248143136501312,0.15963849425315857,0.3324260413646698
smuggled,0.2381654530763626,0.28233614563941956,0.10699933022260666,0.19288474321365356,0.25287583470344543,0.15539200603961945,0.24514777958393097,0.19973081350326538,0.27264294028282166,0.25287583470344543,0.16374722123146057,0.12332867830991745
out,0.45263928174972534,0.28413498401641846,0.1738509088754654,0.2467413991689682,0.39404502511024475,0.19246314465999603,0.34176841378211975,0.18137362599372864,0.3196950852870941,0.39404502511024475,0.13121505081653595,0.22020699083805084
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.15033826231956482,0.6662389636039734,0.2304753065109253,0.5696388483047485,0.2504093050956726,0.4274188280105591,0.6662389636039734,0.21644586324691772,0.20430970191955566
herring,0.2149781584739685,0.09271272271871567,0.10724107176065445,0.11306222528219223,0.21930643916130066,0.14666615426540375,0.22401323914527893,0.15843705832958221,0.12355070561170578,0.21930643916130066,0.07134538143873215,0.1397291123867035
barrels,0.18778091669082642,0.19286583364009857,0.16945824027061462,0.15403394401073456,0.2084682136774063,0.1365882009267807,0.161979079246521,0.20867764949798584,0.21541474759578705,0.2084682136774063,0.14236074686050415,0.19082021713256836
.,0.475719153881073,0.35288307070732117,0.24907569587230682,0.27296802401542664,0.5934505462646484,0.27268800139427185,0.5352458953857422,0.21859675645828247,0.41536515951156616,0.5934505462646484,0.17748206853866577,0.4130953550338745
