,the,outside,of,the,cm,was,covered,in,what,kind,of,material,?
reaction,0.2163003534078598,0.17290599644184113,0.16853101551532745,0.2163003534078598,0.1569412648677826,0.17401309311389923,0.06690407544374466,0.21261514723300934,0.304030179977417,0.2775685787200928,0.16853101551532745,0.2781703472137451,0.2138621062040329
control,0.32841500639915466,0.2553132176399231,0.2817542552947998,0.32841500639915466,0.10590260475873947,0.19347785413265228,0.14986945688724518,0.24831421673297882,0.2821830213069916,0.15833914279937744,0.2817542552947998,0.14545725286006927,0.1620711386203766
system,0.3233085572719574,0.248221293091774,0.25597915053367615,0.3233085572719574,0.09653858840465546,0.2147521674633026,0.11807042360305786,0.21978288888931274,0.23557309806346893,0.22309651970863342,0.25597915053367615,0.2344176322221756,0.15556083619594574
(,0.33289089798927307,0.14573508501052856,0.35032153129577637,0.33289089798927307,0.22482873499393463,0.2980341613292694,0.1960790902376175,0.3087427020072937,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.1441175639629364,0.40561532974243164
rcs,0.25150424242019653,0.2714873254299164,0.20012742280960083,0.25150424242019653,0.17737194895744324,0.2006523758172989,0.1816841959953308,0.198219895362854,0.3800172805786133,0.16298694908618927,0.20012742280960083,0.24021634459495544,0.2912581264972687
),0.3456730246543884,0.16312859952449799,0.3680361211299896,0.3456730246543884,0.22564169764518738,0.3267642855644226,0.17703554034233093,0.3326910734176636,0.26259949803352356,0.17504733800888062,0.3680361211299896,0.14725950360298157,0.42300865054130554
engines,0.2245008647441864,0.11693506687879562,0.17593856155872345,0.2245008647441864,0.1737881600856781,0.18948708474636078,0.15634286403656006,0.18084456026554108,0.1634974628686905,0.14799098670482635,0.17593856155872345,0.20658954977989197,0.18940703570842743
to,0.535392165184021,0.3292369544506073,0.41548454761505127,0.535392165184021,0.16218599677085876,0.3636345863342285,0.243978813290596,0.45010748505592346,0.455847829580307,0.28460726141929626,0.41548454761505127,0.29219651222229004,0.29463258385658264
control,0.32841500639915466,0.2553132176399231,0.2817542552947998,0.32841500639915466,0.10590260475873947,0.19347785413265228,0.14986945688724518,0.24831421673297882,0.2821830213069916,0.15833914279937744,0.2817542552947998,0.14545725286006927,0.1620711386203766
its,0.559237003326416,0.27479639649391174,0.48690423369407654,0.559237003326416,0.19644059240818024,0.3518870174884796,0.2352508157491684,0.3793783485889435,0.30393704771995544,0.17957401275634766,0.48690423369407654,0.2689978778362274,0.15103481709957123
attitude,0.22486159205436707,0.21308866143226624,0.15211813151836395,0.22486159205436707,0.15883049368858337,0.19665305316448212,0.11914242058992386,0.1875961571931839,0.4205893278121948,0.28830617666244507,0.15211813151836395,0.21817156672477722,0.2699994146823883
and,0.5171257257461548,0.31803378462791443,0.5116966962814331,0.5171257257461548,0.2066713124513626,0.3740963041782379,0.3234351575374603,0.4954058527946472,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2923409640789032,0.20544172823429108
steer,0.28263014554977417,0.19514021277427673,0.16380347311496735,0.28263014554977417,0.19168592989444733,0.21464143693447113,0.17731203138828278,0.17452813684940338,0.23656944930553436,0.20616638660430908,0.16380347311496735,0.21579930186271667,0.11415114998817444
its,0.559237003326416,0.27479639649391174,0.48690423369407654,0.559237003326416,0.19644059240818024,0.3518870174884796,0.2352508157491684,0.3793783485889435,0.30393704771995544,0.17957401275634766,0.48690423369407654,0.2689978778362274,0.15103481709957123
atmospheric,0.25230076909065247,0.21723277866840363,0.25383174419403076,0.25230076909065247,0.1650020182132721,0.17251721024513245,0.15357346832752228,0.17850768566131592,0.2079145908355713,0.12845191359519958,0.25383174419403076,0.2978650629520416,0.11404281854629517
entry,0.22964252531528473,0.19880793988704681,0.19316929578781128,0.22964252531528473,0.0639801174402237,0.1753806620836258,0.18925143778324127,0.23369251191616058,0.23903775215148926,0.1332847774028778,0.19316929578781128,0.19651125371456146,0.21010564267635345
path,0.21527591347694397,0.18364380300045013,0.19203445315361023,0.21527591347694397,0.06379611045122147,0.13379235565662384,0.09066908806562424,0.18221399188041687,0.25106123089790344,0.16494035720825195,0.19203445315361023,0.165242537856102,0.12429215013980865
.,0.5934505462646484,0.28971612453460693,0.5352458953857422,0.5934505462646484,0.2647310197353363,0.40146201848983765,0.2543253004550934,0.5591574311256409,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.24824832379817963,0.4130953550338745
