,to,what,extent,did,fermat,confirm,the,validity,of,fermat,numbers,?
1,-0.2769182622432709,-0.21266892552375793,-0.0988263189792633,-0.2815930247306824,-0.17966364324092865,-0.28931838274002075,-0.1554475575685501,-0.32009780406951904,-0.09473495930433273,-0.17966364324092865,-0.23353983461856842,-0.249979168176651
are,0.3504326641559601,0.29724663496017456,0.2549290955066681,0.2159031480550766,0.19510826468467712,0.21167875826358795,0.40399202704429626,0.2250325083732605,0.39081433415412903,0.19510826468467712,0.37760815024375916,0.24591213464736938
prime,0.2015804797410965,0.15586113929748535,0.08999591320753098,0.15196266770362854,0.41659751534461975,0.14424936473369598,0.19960100948810577,0.14297744631767273,0.23935265839099884,0.41659751534461975,0.26943376660346985,0.11276303976774216
(,0.30882009863853455,0.2411840260028839,0.19116170704364777,0.18979617953300476,0.16979427635669708,0.17439152300357819,0.33289089798927307,0.13210447132587433,0.35032153129577637,0.16979427635669708,0.16701039671897888,0.40561532974243164
they,0.5452046394348145,0.4431931674480438,0.2773495018482208,0.4879390597343445,0.17596499621868134,0.2863589823246002,0.49925389885902405,0.19092531502246857,0.3426007330417633,0.17596499621868134,0.3460351526737213,0.2753053903579712
are,0.3504326641559601,0.29724663496017456,0.2549290955066681,0.2159031480550766,0.19510826468467712,0.21167875826358795,0.40399202704429626,0.2250325083732605,0.39081433415412903,0.19510826468467712,0.37760815024375916,0.24591213464736938
called,0.2987143397331238,0.3235960602760315,0.1141689196228981,0.277748167514801,0.21367548406124115,0.12226447463035583,0.489897221326828,0.12615148723125458,0.4222904443740845,0.21367548406124115,0.2276071459054947,0.18963319063186646
fermat,0.17767852544784546,0.21418137848377228,0.0789320319890976,0.17491422593593597,1.0000001192092896,0.21422840654850006,0.20773477852344513,0.2754746973514557,0.19480057060718536,1.0000001192092896,0.35297852754592896,0.19266122579574585
numbers,0.29515770077705383,0.24586999416351318,0.2615017294883728,0.20272064208984375,0.35297852754592896,0.2024783045053482,0.293011337518692,0.3081059157848358,0.228018656373024,0.35297852754592896,1.0,0.19297972321510315
),0.31236231327056885,0.26259949803352356,0.19426721334457397,0.18584993481636047,0.16817797720432281,0.19298788905143738,0.3456730246543884,0.1439226120710373,0.3680361211299896,0.16817797720432281,0.18779772520065308,0.42300865054130554
and,0.48971283435821533,0.31309178471565247,0.26296117901802063,0.34479495882987976,0.14291872084140778,0.22004373371601105,0.5171257257461548,0.1779051423072815,0.5116966962814331,0.14291872084140778,0.24053069949150085,0.20544172823429108
he,0.385390967130661,0.3114890456199646,0.18707285821437836,0.3292143940925598,0.217332661151886,0.2501070201396942,0.4571082592010498,0.10804624855518341,0.38706058263778687,0.217332661151886,0.12988567352294922,0.2089974731206894
verified,0.21959666907787323,0.2454034686088562,0.24731725454330444,0.22328567504882812,0.31690555810928345,0.4294077754020691,0.21752820909023285,0.4239629805088043,0.1795356571674347,0.31690555810928345,0.2167714238166809,0.3340679705142975
this,0.5759071707725525,0.5489566326141357,0.3185788691043854,0.3609912693500519,0.22777029871940613,0.3285844624042511,0.6274310946464539,0.3758446276187897,0.45148900151252747,0.22777029871940613,0.30999889969825745,0.3155723512172699
up,0.40375280380249023,0.28591108322143555,0.10725134611129761,0.21613863110542297,0.11149338632822037,0.27443215250968933,0.38423117995262146,0.1485615372657776,0.32945773005485535,0.11149338632822037,0.24530549347400665,0.1819818764925003
to,1.0,0.455847829580307,0.26711156964302063,0.4452643394470215,0.17767852544784546,0.3048591911792755,0.535392165184021,0.2693976163864136,0.41548454761505127,0.17767852544784546,0.29515770077705383,0.29463258385658264
n,0.16421891748905182,0.16510315239429474,0.034077949821949005,0.07691816240549088,0.29090869426727295,0.1365424245595932,0.18813885748386383,0.09554113447666168,0.18925218284130096,0.29090869426727295,0.2380986362695694,0.19161871075630188
=,-0.02100103534758091,0.07829900085926056,0.005302054807543755,-0.05113883316516876,-0.06896888464689255,-0.05680866166949272,-0.01352626271545887,0.02557213418185711,-0.056689027696847916,-0.06896888464689255,-0.018321432173252106,-0.005643122363835573
4,0.059323787689208984,-0.04324747622013092,0.005713445134460926,0.0646207332611084,0.00950478296726942,0.030092457309365273,0.15499350428581238,-0.028555411845445633,0.17227263748645782,0.00950478296726942,-0.005858288146555424,0.010515431873500347
(,0.30882009863853455,0.2411840260028839,0.19116170704364777,0.18979617953300476,0.16979427635669708,0.17439152300357819,0.33289089798927307,0.13210447132587433,0.35032153129577637,0.16979427635669708,0.16701039671897888,0.40561532974243164
or,0.38921234011650085,0.33867141604423523,0.3005700707435608,0.28211739659309387,0.18708805739879608,0.253490686416626,0.4174870550632477,0.2675215005874634,0.3792596757411957,0.18708805739879608,0.28782588243484497,0.32389625906944275
216,0.006669658701866865,0.01213471032679081,0.05366363003849983,0.030703317373991013,-0.03597339987754822,0.06669338792562485,-0.08278476446866989,0.038171689957380295,0.007677649147808552,-0.03597339987754822,0.03522536903619766,0.04389882832765579
+,0.1585809290409088,0.1158081665635109,0.16314803063869476,0.1297273337841034,0.23160122334957123,0.18975739181041718,0.12941905856132507,0.14648723602294922,0.14862146973609924,0.23160122334957123,0.28473323583602905,0.2903686463832855
1,-0.2769182622432709,-0.21266892552375793,-0.0988263189792633,-0.2815930247306824,-0.17966364324092865,-0.28931838274002075,-0.1554475575685501,-0.32009780406951904,-0.09473495930433273,-0.17966364324092865,-0.23353983461856842,-0.249979168176651
),0.31236231327056885,0.26259949803352356,0.19426721334457397,0.18584993481636047,0.16817797720432281,0.19298788905143738,0.3456730246543884,0.1439226120710373,0.3680361211299896,0.16817797720432281,0.18779772520065308,0.42300865054130554
.,0.4645031690597534,0.3567904531955719,0.20163141191005707,0.35288307070732117,0.24373872578144073,0.25535860657691956,0.5934505462646484,0.1963171362876892,0.5352458953857422,0.24373872578144073,0.2591777741909027,0.4130953550338745
