,what,is,the,usual,form,of,the,government,'s,wealth,redistribution,?
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2923421263694763,0.29600051045417786,1.0,0.733189046382904,0.3475167155265808,-0.03817026689648628,0.27235376834869385,0.2767921984195709,0.1826142966747284
taxation,0.25329726934432983,0.17580538988113403,0.2914186716079712,0.23742790520191193,0.24780575931072235,0.31190910935401917,0.2914186716079712,0.544364869594574,0.006078639533370733,0.4196792542934418,0.3934459984302521,0.16318899393081665
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.20423845946788788,0.20926380157470703,0.3680361211299896,0.3456730246543884,0.15263929963111877,0.021107977256178856,0.13129688799381256,0.16390718519687653,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.27604877948760986,0.21805599331855774,0.4946078956127167,0.4933079481124878,0.27344048023223877,-0.0016132977325469255,0.22482609748840332,0.2322739064693451,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3183724880218506,0.30469027161598206,0.5116966962814331,0.5171257257461548,0.2859337627887726,0.06895173341035843,0.29316192865371704,0.25785520672798157,0.20544172823429108
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3843860328197479,0.31894639134407043,0.41498205065727234,0.5473989248275757,0.29558056592941284,0.04397977516055107,0.256238728761673,0.32852911949157715,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.3319869339466095,0.29286009073257446,0.733189046382904,1.0,0.31798112392425537,-0.01540423184633255,0.24999672174453735,0.2993870973587036,0.22068053483963013
ideal,0.31059911847114563,0.2690519392490387,0.25375595688819885,0.2898860275745392,0.21771416068077087,0.2763390839099884,0.25375595688819885,0.14254654943943024,0.04526146501302719,0.3012717068195343,0.26703739166259766,0.13358637690544128
moral,0.3679145574569702,0.1767876297235489,0.20571894943714142,0.23177169263362885,0.1597861349582672,0.21832716464996338,0.20571894943714142,0.27700337767601013,-0.00508872838690877,0.3872048854827881,0.1855124980211258,0.2608962953090668
society,0.23231269419193268,0.15995073318481445,0.2789285480976105,0.15609844028949738,0.17224815487861633,0.23646748065948486,0.2789285480976105,0.3291187882423401,-0.027537118643522263,0.28868359327316284,0.2956947386264801,0.1373005360364914
would,0.45766422152519226,0.33626067638397217,0.4133751392364502,0.3251010477542877,0.22430874407291412,0.3353942930698395,0.4133751392364502,0.2675379514694214,0.036968596279621124,0.2968173027038574,0.28137317299842834,0.37178951501846313
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.35585883259773254,0.3391776382923126,0.33904364705085754,0.4248143136501312,0.22621913254261017,0.025217169895768166,0.2205534279346466,0.2937900424003601,0.3324260413646698
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.3245498538017273,0.2667044997215271,0.4999135136604309,0.5514441132545471,0.22701126337051392,0.06913424283266068,0.24815486371517181,0.22827626764774323,0.2673267424106598
where,0.4457937180995941,0.3586711287498474,0.5003893971443176,0.3067711591720581,0.25177764892578125,0.38066378235816956,0.5003893971443176,0.16681428253650665,0.0007701900321990252,0.19527192413806915,0.20517872273921967,0.24793872237205505
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.32444578409194946,0.2039855718612671,0.42798417806625366,0.4860881567001343,0.21567091345787048,0.03181743621826172,0.20417547225952148,0.3009251356124878,0.29575422406196594
individuals,0.25709760189056396,0.23137153685092926,0.3022412955760956,0.3323208689689636,0.29634347558021545,0.27365922927856445,0.3022412955760956,0.2533380389213562,0.01145135797560215,0.31513237953186035,0.3499002456665039,0.20243582129478455
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.39391762018203735,0.29983413219451904,0.39081433415412903,0.40399202704429626,0.20126859843730927,-0.008927806280553341,0.13664987683296204,0.24703681468963623,0.24591213464736938
free,0.22754132747650146,0.2297741025686264,0.22231732308864594,0.1730613112449646,0.2093220353126526,0.2430545836687088,0.22231732308864594,0.2551202178001404,0.040468521416187286,0.1962985098361969,0.2580474615097046,0.1278279572725296
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.23973949253559113,0.2607075572013855,0.4249346852302551,0.40150508284568787,0.16793464124202728,-0.01936490088701248,0.19466403126716614,0.16720430552959442,0.19969791173934937
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,0.13196244835853577,0.20255571603775024,0.27094775438308716,0.2800885736942291,0.32347920536994934,0.020782919600605965,0.18202006816864014,0.1607898771762848,0.1650998443365097
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.27288782596588135,0.28317511081695557,0.5352458953857422,0.5934505462646484,0.2521961033344269,-0.003708066651597619,0.1815606653690338,0.2506074905395508,0.4130953550338745
