,members,of,which,organizations,are,disqualified,from,sitting,in,the,sp,as,elected,msps,?
from,0.2350950688123703,0.4249346852302551,0.38755592703819275,0.1699131280183792,0.2674213647842407,0.17321017384529114,1.0,0.14651645720005035,0.4274188280105591,0.40150508284568787,0.1047167107462883,0.3251767158508301,0.1986871361732483,0.21006013453006744,0.19969791173934937
sitting,0.2116272896528244,0.25816693902015686,0.26413220167160034,0.1023610457777977,0.19820302724838257,0.27560320496559143,0.14651645720005035,1.0000001192092896,0.20718322694301605,0.34434789419174194,0.008796891197562218,0.27722102403640747,0.2692737579345703,0.20345887541770935,0.1758238524198532
in,0.196792870759964,0.5696388483047485,0.4840516746044159,0.25369027256965637,0.3841303884983063,0.14320585131645203,0.4274188280105591,0.20718322694301605,1.0,0.6662389636039734,0.1693420112133026,0.3887844979763031,0.21190309524536133,0.20608413219451904,0.20430970191955566
the,0.3321719169616699,0.733189046382904,0.6521818041801453,0.2850687503814697,0.40399202704429626,0.2044222503900528,0.40150508284568787,0.34434789419174194,0.6662389636039734,1.0,0.14163239300251007,0.48381632566452026,0.23167964816093445,0.3199247419834137,0.22068053483963013
scottish,0.2065322995185852,0.1698460429906845,0.21085049211978912,0.13284209370613098,0.15686963498592377,0.17320819199085236,0.15378767251968384,0.17053279280662537,0.16512006521224976,0.21724988520145416,0.025296630337834358,0.185140922665596,0.18456816673278809,0.4475419521331787,0.06442669779062271
parliament,0.3503897786140442,0.2885259687900543,0.20252443850040436,0.20202325284481049,0.09480422735214233,0.16279272735118866,0.18214061856269836,0.24400685727596283,0.2323146015405655,0.26521381735801697,0.06878172606229782,0.1639251410961151,0.5323356986045837,0.5331769585609436,0.1586504578590393
as,0.21428564190864563,0.3886612355709076,0.41006597876548767,0.26520437002182007,0.3826591968536377,0.18785656988620758,0.3251767158508301,0.27722102403640747,0.3887844979763031,0.48381632566452026,0.14047521352767944,1.0,0.22274595499038696,0.2611616849899292,0.27043893933296204
elected,0.37164974212646484,0.2767166793346405,0.11946175992488861,0.2507440149784088,0.08523022383451462,0.2609648108482361,0.1986871361732483,0.2692737579345703,0.21190309524536133,0.23167964816093445,0.10460378974676132,0.22274595499038696,0.9999999403953552,0.4629737436771393,0.1966295689344406
msps,0.48753979802131653,0.32335641980171204,0.3488379716873169,0.43098026514053345,0.33991923928260803,0.2241961508989334,0.21006013453006744,0.20345887541770935,0.20608413219451904,0.3199247419834137,0.23423463106155396,0.2611616849899292,0.4629737436771393,0.9999999403953552,0.14526908099651337
",",0.2357054501771927,0.4946078956127167,0.3658004403114319,0.21690145134925842,0.4062570035457611,0.24622425436973572,0.39760664105415344,0.21278874576091766,0.5201468467712402,0.4933079481124878,0.19458246231079102,0.48816442489624023,0.2476319521665573,0.24289752542972565,0.31091248989105225
and,0.2994427978992462,0.5116966962814331,0.506277859210968,0.2811741828918457,0.48576638102531433,0.16630250215530396,0.3601827025413513,0.22681930661201477,0.4954058527946472,0.5171257257461548,0.12404820322990417,0.49487000703811646,0.19514460861682892,0.2830604016780853,0.20544172823429108
similarly,0.17001987993717194,0.29464200139045715,0.48172226548194885,0.3119256794452667,0.4371143579483032,0.1653304547071457,0.272614449262619,0.2577114403247833,0.31369346380233765,0.33859682083129883,0.13102610409259796,0.3871530592441559,0.1102151870727539,0.24216461181640625,0.23036029934883118
",",0.2357054501771927,0.4946078956127167,0.3658004403114319,0.21690145134925842,0.4062570035457611,0.24622425436973572,0.39760664105415344,0.21278874576091766,0.5201468467712402,0.4933079481124878,0.19458246231079102,0.48816442489624023,0.2476319521665573,0.24289752542972565,0.31091248989105225
civil,0.11319917440414429,0.24698495864868164,0.13459211587905884,0.22486436367034912,0.12244163453578949,0.1270918995141983,0.11420916765928268,0.12228572368621826,0.26466667652130127,0.2477465271949768,0.06630279123783112,0.18100082874298096,0.20585598051548004,0.225181445479393,0.1494513899087906
servants,0.3166695535182953,0.28044411540031433,0.1877812147140503,0.25485196709632874,0.25798866152763367,0.15758955478668213,0.18279364705085754,0.25451913475990295,0.20438919961452484,0.2654725909233093,0.07306298613548279,0.25900012254714966,0.20594651997089386,0.2537631392478943,0.15403048694133759
and,0.2994427978992462,0.5116966962814331,0.506277859210968,0.2811741828918457,0.48576638102531433,0.16630250215530396,0.3601827025413513,0.22681930661201477,0.4954058527946472,0.5171257257461548,0.12404820322990417,0.49487000703811646,0.19514460861682892,0.2830604016780853,0.20544172823429108
members,0.9999998807907104,0.28120753169059753,0.295350044965744,0.3599779009819031,0.31528955698013306,0.15943622589111328,0.2350950688123703,0.2116272896528244,0.196792870759964,0.3321719169616699,0.1204267367720604,0.21428564190864563,0.37164974212646484,0.48753979802131653,0.10212311148643494
of,0.28120753169059753,1.0,0.5011631846427917,0.24586479365825653,0.39081433415412903,0.08448971062898636,0.4249346852302551,0.25816693902015686,0.5696388483047485,0.733189046382904,0.1475101262331009,0.3886612355709076,0.2767166793346405,0.32335641980171204,0.1826142966747284
foreign,0.254984974861145,0.25741127133369446,0.21967050433158875,0.26313140988349915,0.18581871688365936,0.14738252758979797,0.2357778251171112,0.12814775109291077,0.23181180655956268,0.2946566939353943,0.0652255117893219,0.267986536026001,0.288286417722702,0.2813267707824707,0.13770383596420288
legislatures,0.37207210063934326,0.3250582218170166,0.3110373914241791,0.33595287799835205,0.25130322575569153,0.142543762922287,0.21975474059581757,0.2254735380411148,0.2556639611721039,0.2944587469100952,0.1160995289683342,0.24078351259231567,0.47355467081069946,0.47475287318229675,0.1994066834449768
are,0.31528955698013306,0.39081433415412903,0.42922598123550415,0.29940158128738403,1.0,0.11893125623464584,0.2674213647842407,0.19820302724838257,0.3841303884983063,0.40399202704429626,0.11271944642066956,0.3826591968536377,0.08523022383451462,0.33991923928260803,0.24591213464736938
disqualified,0.15943622589111328,0.08448971062898636,0.15907429158687592,0.11800339072942734,0.11893125623464584,1.0,0.17321017384529114,0.27560320496559143,0.14320585131645203,0.2044222503900528,0.060831449925899506,0.18785656988620758,0.2609648108482361,0.2241961508989334,0.16874074935913086
.,0.21119362115859985,0.5352458953857422,0.45942068099975586,0.2218165397644043,0.3452940285205841,0.20110049843788147,0.41536515951156616,0.2569008767604828,0.5591574311256409,0.5934505462646484,0.26135554909706116,0.515582263469696,0.2512674033641815,0.23013411462306976,0.4130953550338745
