,what,type,of,number,do,modern,mathematicians,consider,1,to,be,?
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.32951247692108154,0.44533252716064453,0.24473170936107635,0.3122062683105469,0.41500717401504517,-0.3131840229034424,0.5436353087425232,0.6036020517349243,0.32716336846351624
1,-0.21266892552375793,-0.13035114109516144,-0.09473495930433273,-0.20963284373283386,-0.18289801478385925,-0.0764804482460022,-0.22227635979652405,-0.2610621452331543,1.0,-0.2769182622432709,-0.2923636734485626,-0.249979168176651
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.22390379011631012,0.30895981192588806,0.24170172214508057,0.18430598080158234,0.32138293981552124,-0.12491171807050705,0.42745086550712585,0.4819129705429077,0.22961433231830597
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.30033785104751587,0.6619802713394165,0.20307135581970215,0.25524717569351196,0.4058942198753357,-0.31168678402900696,0.5149973034858704,0.5788898468017578,0.41942933201789856
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2992287278175354,0.26237669587135315,0.24361324310302734,0.20332522690296173,0.308129221200943,-0.20817746222019196,0.45503583550453186,0.39883795380592346,0.23916715383529663
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.2556258738040924,0.1659976691007614,0.11019326746463776,0.23883089423179626,0.10348130017518997,-0.17159132659435272,0.2015804797410965,0.14576895534992218,0.11276303976774216
number,0.23046229779720306,0.2370503842830658,0.2778518795967102,1.0,0.21539703011512756,0.17767030000686646,0.25675806403160095,0.24816644191741943,-0.20963284373283386,0.2706126868724823,0.28840136528015137,0.19256845116615295
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2535701394081116,0.3283645510673523,0.2557750344276428,0.2159050852060318,0.30831751227378845,-0.15742997825145721,0.44245919585227966,0.39254459738731384,0.31091248989105225
but,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.27500495314598083,0.4077886939048767,0.24492846429347992,0.22409047186374664,0.4545280635356903,-0.29144296050071716,0.5542377829551697,0.5764366984367371,0.27921953797340393
rather,0.3923804461956024,0.2488519549369812,0.3045461177825928,0.2036859542131424,0.3087271451950073,0.23338410258293152,0.1679483950138092,0.44558125734329224,-0.2727910280227661,0.4052407741546631,0.4789743721485138,0.3053998053073883
forms,0.16334041953086853,0.3143154978752136,0.33835989236831665,0.1527613252401352,0.22607646882534027,0.29858726263046265,0.1306896060705185,0.18298597633838654,-0.048694852739572525,0.2363802045583725,0.30402427911758423,0.1196754202246666
its,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.24055860936641693,0.18495778739452362,0.2969845235347748,0.1408720463514328,0.23083865642547607,-0.10031591355800629,0.3691340684890747,0.2731834948062897,0.15103481709957123
own,0.35062843561172485,0.16845150291919708,0.3269667625427246,0.2014159858226776,0.31129190325737,0.1860150396823883,0.11136164516210556,0.2952479422092438,-0.3185558021068573,0.35879063606262207,0.24039055407047272,0.1937696635723114
special,0.24134232103824615,0.2735857367515564,0.27998968958854675,0.23163312673568726,0.2670527994632721,0.2700955271720886,0.12863709032535553,0.15976758301258087,-0.2323671281337738,0.28623831272125244,0.2416570633649826,0.29623302817344666
category,0.22909165918827057,0.22773082554340363,0.18799246847629547,0.24737541377544403,0.2266419231891632,0.15545494854450226,0.13826656341552734,0.22145192325115204,-0.18124429881572723,0.2317419797182083,0.2487945407629013,0.2558678686618805
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.26786008477211,0.38329678773880005,0.242071270942688,0.17150433361530304,0.3220363259315491,-0.2728762626647949,0.42092081904411316,0.5230465531349182,0.27043893933296204
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2992287278175354,0.26237669587135315,0.24361324310302734,0.20332522690296173,0.308129221200943,-0.20817746222019196,0.45503583550453186,0.39883795380592346,0.23916715383529663
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.2640403211116791,0.06628920882940292,0.07341054081916809,0.18413704633712769,0.12360268086194992,-0.10415490716695786,0.06720756739377975,0.07670000940561295,0.0685480609536171
unit,0.175853431224823,0.17089927196502686,0.26649972796440125,0.22729580104351044,0.10622197389602661,0.14909832179546356,0.16149385273456573,0.12696680426597595,-0.15667614340782166,0.19828897714614868,0.20246148109436035,0.09069886058568954
'',0.08143015950918198,0.054222505539655685,0.13035868108272552,-0.07258276641368866,-0.00043653504690155387,0.0925660952925682,0.03999113664031029,0.08709754049777985,-0.050646256655454636,-0.009905828163027763,0.08835477381944656,0.018684765323996544
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.3256329298019409,0.3613996207714081,0.22790057957172394,0.17948919534683228,0.26817744970321655,-0.15870751440525055,0.4645031690597534,0.4383580684661865,0.4130953550338745
