,what,did,maududi,believe,muslim,society,could,not,be,islamic,in,the,absence,of,?
sharia,0.29208725690841675,0.20896609127521515,0.43655508756637573,0.3561428189277649,0.45807749032974243,0.2168819010257721,0.16906528174877167,0.32566338777542114,0.29372403025627136,0.5491281151771545,0.18560348451137543,0.24295726418495178,0.2437119483947754,0.2735002636909485,0.22811804711818695
",",0.3087472915649414,0.3015086054801941,0.3992340862751007,0.2459280639886856,0.21974200010299683,0.20629194378852844,0.27399855852127075,0.3769696354866028,0.39254459738731384,0.20175659656524658,0.5201468467712402,0.4933079481124878,0.21375854313373566,0.4946078956127167,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.38321298360824585,0.29652947187423706,0.255716472864151,0.24110737442970276,0.3385082483291626,0.39099299907684326,0.41766801476478577,0.2192772477865219,0.4954058527946472,0.5171257257461548,0.26303109526634216,0.5116966962814331,0.20544172823429108
islam,0.23237212002277374,0.19058109819889069,0.44002339243888855,0.36385172605514526,0.6905730366706848,0.2036060243844986,0.1624378114938736,0.2667055130004883,0.1987190544605255,0.727012574672699,0.16687287390232086,0.2207694798707962,0.15541969239711761,0.21728332340717316,0.18358638882637024
required,0.2506856620311737,0.30923745036125183,0.17621147632598877,0.2691248059272766,0.2188342958688736,0.07472769916057587,0.3873657286167145,0.45116889476776123,0.3677930235862732,0.22959734499454498,0.20162324607372284,0.27848219871520996,0.33788082003593445,0.26183071732521057,0.24962718784809113
the,0.42745697498321533,0.34736719727516174,0.30155912041664124,0.2972484529018402,0.28099653124809265,0.2789285480976105,0.35393214225769043,0.4310511648654938,0.4248143136501312,0.27231070399284363,0.6662389636039734,1.0,0.3194023072719574,0.733189046382904,0.22068053483963013
establishment,0.1702135056257248,0.20103003084659576,0.20472116768360138,0.19987936317920685,0.23924516141414642,0.2817385494709015,0.1316835582256317,0.19496431946754456,0.14947816729545593,0.2830832004547119,0.329694002866745,0.344906210899353,0.20565980672836304,0.27824047207832336,0.1661023646593094
of,0.33290785551071167,0.2513895630836487,0.32255080342292786,0.2925758957862854,0.267849862575531,0.23646748065948486,0.29043012857437134,0.3307090103626251,0.33904364705085754,0.25656506419181824,0.5696388483047485,0.733189046382904,0.28274261951446533,1.0,0.1826142966747284
an,0.2821882665157318,0.22598257660865784,0.25845959782600403,0.1984095573425293,0.19475409388542175,0.17547515034675598,0.24300263822078705,0.3722182512283325,0.33041056990623474,0.19264791905879974,0.2605783939361572,0.4207492768764496,0.21276552975177765,0.32280945777893066,0.19793890416622162
islamic,0.2204568088054657,0.17371372878551483,0.3724023997783661,0.2991560399532318,0.6897084712982178,0.1958155333995819,0.13836009800434113,0.19812384247779846,0.16662408411502838,0.9999999403953552,0.19633598625659943,0.27231070399284363,0.1361328363418579,0.25656506419181824,0.1692383587360382
state,0.24273863434791565,0.152080237865448,0.2492401897907257,0.13599033653736115,0.1916337013244629,0.18357330560684204,0.09943660348653793,0.23725773394107819,0.22221757471561432,0.26186755299568176,0.33316072821617126,0.3097178041934967,0.14483743906021118,0.34253445267677307,0.1160883978009224
.,0.3567904531955719,0.35288307070732117,0.3790089786052704,0.26988279819488525,0.27078697085380554,0.18022798001766205,0.3200591504573822,0.4824007451534271,0.4383580684661865,0.20520655810832977,0.5591574311256409,0.5934505462646484,0.23569418489933014,0.5352458953857422,0.4130953550338745
