,on,what,scale,would,scientists,show,measurements,of,vegetation,?
monitoring,0.3603532612323761,0.34662064909935,0.28630948066711426,0.27021658420562744,0.2580735683441162,0.18025918304920197,0.40888476371765137,0.2575657069683075,0.235842764377594,0.21475833654403687
the,0.5107308030128479,0.42745697498321533,0.1833842247724533,0.4133751392364502,0.25988271832466125,0.319829523563385,0.2816277742385864,0.733189046382904,0.27478766441345215,0.22068053483963013
carbon,0.1660757064819336,0.22238978743553162,0.2089359164237976,0.19055265188217163,0.17431336641311646,0.12282063812017441,0.3567751348018646,0.22596238553524017,0.32226449251174927,0.19040444493293762
cycle,0.14723779261112213,0.17920038104057312,0.1932198852300644,0.17015895247459412,0.1711215078830719,0.21682868897914886,0.19440090656280518,0.255176842212677,0.25619468092918396,0.07156776636838913
from,0.36926645040512085,0.2737620174884796,0.12860189378261566,0.26231399178504944,0.2609514594078064,0.2004580795764923,0.254740834236145,0.4249346852302551,0.17893631756305695,0.19969791173934937
satellites,0.24012160301208496,0.1955558806657791,0.20001380145549774,0.21661706268787384,0.31897231936454773,0.20772308111190796,0.44019296765327454,0.1548984944820404,0.1796170175075531,0.18280646204948425
on,0.9999999403953552,0.34226128458976746,0.21774359047412872,0.35589995980262756,0.15907135605812073,0.3708709180355072,0.21655458211898804,0.3966929316520691,0.2765808701515198,0.2714994251728058
a,0.3848365545272827,0.3320399522781372,0.2199064940214157,0.398599237203598,0.21906225383281708,0.24886544048786163,0.25912022590637207,0.5052502155303955,0.2304568737745285,0.23916715383529663
global,0.26713424921035767,0.21706031262874603,0.18423375487327576,0.23423455655574799,0.16521330177783966,0.09641582518815994,0.20071859657764435,0.19114547967910767,0.14676296710968018,0.22985349595546722
scale,0.21774359047412872,0.23262472450733185,1.0000001192092896,0.18102270364761353,0.20740459859371185,0.1564636379480362,0.37819352746009827,0.19989530742168427,0.22385011613368988,0.21142835915088654
.,0.49257001280784607,0.3567904531955719,0.23170605301856995,0.35067233443260193,0.22514508664608002,0.3016606271266937,0.26048997044563293,0.5352458953857422,0.22089946269989014,0.4130953550338745
