,the,all-channel,receiver,act,mandated,the,support,of,what,kind,of,tuning,?
to,0.535392165184021,0.2347356230020523,0.25238820910453796,0.24833928048610687,0.2911764681339264,0.535392165184021,0.2742273211479187,0.41548454761505127,0.455847829580307,0.28460726141929626,0.41548454761505127,0.1765977144241333,0.29463258385658264
purchase,0.242343470454216,0.2292023003101349,0.20524683594703674,0.21536576747894287,0.2044418752193451,0.242343470454216,0.1758839190006256,0.21814467012882233,0.1781352013349533,0.09251028299331665,0.21814467012882233,0.12837736308574677,0.07106894254684448
a,0.5829201340675354,0.2503088712692261,0.2591530680656433,0.2060188204050064,0.2159358412027359,0.5829201340675354,0.2484646886587143,0.5052502155303955,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.18175068497657776,0.23916715383529663
converter,0.24055613577365875,0.31535300612449646,0.34108391404151917,0.12619392573833466,0.19293555617332458,0.24055613577365875,0.16307365894317627,0.22357572615146637,0.18491211533546448,0.18777407705783844,0.22357572615146637,0.27918121218681335,0.23779894411563873
to,0.535392165184021,0.2347356230020523,0.25238820910453796,0.24833928048610687,0.2911764681339264,0.535392165184021,0.2742273211479187,0.41548454761505127,0.455847829580307,0.28460726141929626,0.41548454761505127,0.1765977144241333,0.29463258385658264
be,0.4248143136501312,0.21325333416461945,0.17867110669612885,0.29223379492759705,0.24549558758735657,0.4248143136501312,0.3082740604877472,0.33904364705085754,0.3929833769798279,0.33508673310279846,0.33904364705085754,0.2732340693473816,0.3324260413646698
able,0.3435857892036438,0.17366144061088562,0.1999811977148056,0.21774262189865112,0.24236580729484558,0.3435857892036438,0.3002937138080597,0.23883962631225586,0.3404487371444702,0.21177953481674194,0.23883962631225586,0.22592806816101074,0.260649710893631
to,0.535392165184021,0.2347356230020523,0.25238820910453796,0.24833928048610687,0.2911764681339264,0.535392165184021,0.2742273211479187,0.41548454761505127,0.455847829580307,0.28460726141929626,0.41548454761505127,0.1765977144241333,0.29463258385658264
watch,0.24077482521533966,0.26449257135391235,0.18404503166675568,0.1701158732175827,0.1569492518901825,0.24077482521533966,0.13497738540172577,0.19463703036308289,0.2853691279888153,0.17355391383171082,0.19463703036308289,0.2103394716978073,0.2568144202232361
uhf,0.22236087918281555,0.49640968441963196,0.3753056526184082,0.16335374116897583,0.1190095767378807,0.22236087918281555,0.2177465260028839,0.13080306351184845,0.2442881017923355,0.2075634002685547,0.13080306351184845,0.24266564846038818,0.18061190843582153
stations,0.24762700498104095,0.40288031101226807,0.2623966336250305,0.16795238852500916,0.17239002883434296,0.24762700498104095,0.13707414269447327,0.20414425432682037,0.1621520221233368,0.13690796494483948,0.20414425432682037,0.17526967823505402,0.13192185759544373
",",0.4933079481124878,0.22978174686431885,0.25716352462768555,0.1787904053926468,0.2704651653766632,0.4933079481124878,0.2733234167098999,0.4946078956127167,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24087262153625488,0.31091248989105225
and,0.5171257257461548,0.2728721499443054,0.23549625277519226,0.2776535749435425,0.2418477088212967,0.5171257257461548,0.25609129667282104,0.5116966962814331,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.18983101844787598,0.20544172823429108
the,1.0,0.2870676815509796,0.21850530803203583,0.28682878613471985,0.3191532492637634,1.0,0.22984638810157776,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.18692044913768768,0.22068053483963013
signal,0.25718533992767334,0.32734864950180054,0.39260393381118774,0.22682906687259674,0.09186315536499023,0.25718533992767334,0.1571647822856903,0.19249287247657776,0.22636008262634277,0.2088891714811325,0.19249287247657776,0.29611626267433167,0.1212705597281456
quality,0.21949779987335205,0.20475731790065765,0.12348722666501999,0.1809314340353012,0.16913679242134094,0.21949779987335205,0.23994606733322144,0.24742498993873596,0.28952741622924805,0.26462000608444214,0.24742498993873596,0.2888741195201874,0.23524069786071777
was,0.48711544275283813,0.18810123205184937,0.18964196741580963,0.1887621134519577,0.2294507622718811,0.48711544275283813,0.2208256870508194,0.4069072902202606,0.22111038863658905,0.1604125201702118,0.4069072902202606,0.06977231055498123,0.18412111699581146
marginal,0.30781733989715576,0.18284130096435547,0.19511599838733673,0.11560250073671341,0.23513878881931305,0.30781733989715576,0.2281545251607895,0.2691383361816406,0.2536638677120209,0.18592561781406403,0.2691383361816406,0.21341775357723236,0.18376903235912323
at,0.457212895154953,0.1476486325263977,0.20387621223926544,0.09374550729990005,0.23802383244037628,0.457212895154953,0.17800305783748627,0.42558613419532776,0.2838611304759979,0.17203933000564575,0.42558613419532776,0.17815540730953217,0.21978627145290375
best,0.3134109377861023,0.19615821540355682,0.18235863745212555,0.16041646897792816,0.14463195204734802,0.3134109377861023,0.17024722695350647,0.23660683631896973,0.3036847710609436,0.24055050313472748,0.23660683631896973,0.20207880437374115,0.2799045741558075
even,0.37996912002563477,0.150499626994133,0.2077540159225464,0.259636253118515,0.25402170419692993,0.37996912002563477,0.3041929602622986,0.34735506772994995,0.40872135758399963,0.32474246621131897,0.34735506772994995,0.2877209782600403,0.30082517862319946
with,0.4223487675189972,0.22321544587612152,0.19242490828037262,0.18591532111167908,0.1828874796628952,0.4223487675189972,0.23764535784721375,0.41827285289764404,0.2464839518070221,0.2680599093437195,0.41827285289764404,0.1622420698404312,0.2433311939239502
a,0.5829201340675354,0.2503088712692261,0.2591530680656433,0.2060188204050064,0.2159358412027359,0.5829201340675354,0.2484646886587143,0.5052502155303955,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.18175068497657776,0.23916715383529663
converter,0.24055613577365875,0.31535300612449646,0.34108391404151917,0.12619392573833466,0.19293555617332458,0.24055613577365875,0.16307365894317627,0.22357572615146637,0.18491211533546448,0.18777407705783844,0.22357572615146637,0.27918121218681335,0.23779894411563873
.,0.5934505462646484,0.2691197693347931,0.23982074856758118,0.2025400698184967,0.2928960621356964,0.5934505462646484,0.2751289904117584,0.5352458953857422,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.22120319306850433,0.4130953550338745
