,approximately,how,many,items,comprise,the,jewelry,collection,of,the,v,&,a,?
finest,0.24515295028686523,0.17986993491649628,0.31071004271507263,0.15704035758972168,0.2220795601606369,0.3178524971008301,0.2140168845653534,0.2893620431423187,0.3590813875198364,0.3178524971008301,0.037361133843660355,0.16447490453720093,0.22842390835285187,0.1559486985206604
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.2645854949951172,0.24621130526065826,0.5171257257461548,0.3292202055454254,0.2379438579082489,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
most,0.27906009554862976,0.311336874961853,0.6236066222190857,0.24060913920402527,0.218792125582695,0.47635307908058167,0.24747350811958313,0.24239301681518555,0.4178851246833801,0.47635307908058167,0.14128151535987854,0.10219087451696396,0.3508910834789276,0.2107497900724411
comprehensive,0.1698753982782364,0.22440095245838165,0.2004193216562271,0.18451429903507233,0.37790149450302124,0.24314838647842407,0.13852398097515106,0.29934996366500854,0.2892167866230011,0.24314838647842407,0.13318033516407013,0.17649617791175842,0.2721365988254547,0.28184229135513306
collections,0.17409399151802063,0.1600850522518158,0.3478132486343384,0.48102080821990967,0.34690308570861816,0.27174001932144165,0.328475683927536,0.9249221086502075,0.3185039758682251,0.27174001932144165,0.09366906434297562,0.163213849067688,0.2494979351758957,0.1873358190059662
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.21522082388401031,0.37900012731552124,0.733189046382904,0.23234203457832336,0.2915455996990204,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
jewellery,0.1837928742170334,0.20919500291347504,0.29095256328582764,0.4657718539237976,0.1340186446905136,0.19773870706558228,0.7499158978462219,0.34589406847953796,0.2510305643081665,0.19773870706558228,0.06388099491596222,0.19800706207752228,0.23398934304714203,0.15173175930976868
in,0.3145860731601715,0.2601168751716614,0.41474202275276184,0.2189844399690628,0.26302969455718994,0.6662389636039734,0.16710564494132996,0.23004686832427979,0.5696388483047485,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.20430970191955566
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.30294761061668396,1.0,0.20340517163276672,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
world,0.2201811820268631,0.25969967246055603,0.3418862819671631,0.22287340462207794,0.20428818464279175,0.33604270219802856,0.13309264183044434,0.1882934868335724,0.2828933000564575,0.33604270219802856,0.06254376471042633,0.15911176800727844,0.22239887714385986,0.17579582333564758
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.2645854949951172,0.24621130526065826,0.5171257257461548,0.3292202055454254,0.2379438579082489,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
includes,0.2758536636829376,0.14845652878284454,0.2885901629924774,0.2697852551937103,0.4721079170703888,0.3388250470161438,0.18220092356204987,0.3749653398990631,0.4359378218650818,0.3388250470161438,0.036025527864694595,0.27284300327301025,0.25086286664009094,0.14011523127555847
works,0.08490744978189468,0.28242939710617065,0.31669676303863525,0.2525430917739868,0.07424264401197433,0.26337864995002747,0.16196909546852112,0.3417747914791107,0.1964656114578247,0.26337864995002747,0.1258377879858017,0.12323866784572601,0.2170431762933731,0.19597402215003967
dating,0.21222923696041107,0.1927265226840973,0.2347424179315567,0.19424866139888763,0.1332406848669052,0.23401090502738953,0.20599612593650818,0.18527427315711975,0.2134421318769455,0.23401090502738953,0.03615359961986542,0.08294995874166489,0.18985961377620697,0.1135709211230278
from,0.302482545375824,0.22939439117908478,0.33099696040153503,0.22521184384822845,0.19036778807640076,0.40150508284568787,0.11559221148490906,0.2754948139190674,0.4249346852302551,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.19969791173934937
ancient,0.2384403496980667,0.1506028026342392,0.3276658356189728,0.20637543499469757,0.14749063551425934,0.28808021545410156,0.2287237048149109,0.21834081411361694,0.3361112177371979,0.28808021545410156,0.1507517248392105,0.10821932554244995,0.2069382220506668,0.12938068807125092
egypt,0.15262901782989502,0.15728935599327087,0.22281014919281006,0.18762779235839844,0.1063552051782608,0.2536296546459198,0.2211385816335678,0.1695772409439087,0.25414037704467773,0.2536296546459198,0.08537863940000534,0.15747129917144775,0.14361631870269775,0.17769601941108704
to,0.27967149019241333,0.44169697165489197,0.40243685245513916,0.3191612660884857,0.16497786343097687,0.535392165184021,0.1980513483285904,0.15417452156543732,0.41548454761505127,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.29463258385658264
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.30294761061668396,1.0,0.20340517163276672,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
present,0.20949971675872803,0.17780441045761108,0.14346416294574738,0.14186568558216095,0.21574148535728455,0.2829846143722534,0.12138886749744415,0.1550484299659729,0.3116828501224518,0.2829846143722534,0.15913373231887817,0.0991305410861969,0.14277903735637665,0.21759982407093048
day,0.30164259672164917,0.20268619060516357,0.1936323195695877,0.17675134539604187,0.1406812220811844,0.3062323033809662,0.1407974362373352,0.12630805373191833,0.2934032380580902,0.3062323033809662,0.1327112764120102,0.09481798857450485,0.18630309402942657,0.2141837179660797
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21073096990585327,0.24136890470981598,0.4933079481124878,0.27014440298080444,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
as,0.2236957550048828,0.33782753348350525,0.4070141911506653,0.2447761595249176,0.21568135917186737,0.48381632566452026,0.17442256212234497,0.23568034172058105,0.3886612355709076,0.48381632566452026,0.10349564254283905,0.22134603559970856,0.39550232887268066,0.27043893933296204
well,0.2402632087469101,0.410734087228775,0.5438802242279053,0.2429278939962387,0.21540944278240204,0.42630070447921753,0.17186030745506287,0.22726348042488098,0.3343164324760437,0.42630070447921753,0.10357192158699036,0.16517320275306702,0.320642352104187,0.24815571308135986
as,0.2236957550048828,0.33782753348350525,0.4070141911506653,0.2447761595249176,0.21568135917186737,0.48381632566452026,0.17442256212234497,0.23568034172058105,0.3886612355709076,0.48381632566452026,0.10349564254283905,0.22134603559970856,0.39550232887268066,0.27043893933296204
jewellery,0.1837928742170334,0.20919500291347504,0.29095256328582764,0.4657718539237976,0.1340186446905136,0.19773870706558228,0.7499158978462219,0.34589406847953796,0.2510305643081665,0.19773870706558228,0.06388099491596222,0.19800706207752228,0.23398934304714203,0.15173175930976868
designs,0.10820861905813217,0.23397183418273926,0.3176058232784271,0.3569502830505371,0.1444777101278305,0.2415979504585266,0.3748953640460968,0.25872495770454407,0.2253444343805313,0.2415979504585266,0.2014811635017395,0.10025275498628616,0.22853662073612213,0.12927207350730896
on,0.20797507464885712,0.32655060291290283,0.32520127296447754,0.20476584136486053,0.23242077231407166,0.5107308030128479,0.14493270218372345,0.2131180614233017,0.3966929316520691,0.5107308030128479,0.1826705038547516,0.14816857874393463,0.3848365545272827,0.2714994251728058
paper,0.13669301569461823,0.21651439368724823,0.25048384070396423,0.3186405897140503,0.15857915580272675,0.2077420949935913,0.269307404756546,0.28873971104621887,0.19050662219524384,0.2077420949935913,0.08640260994434357,0.06505513191223145,0.25947141647338867,0.12693770229816437
.,0.27396154403686523,0.3287222981452942,0.3974229395389557,0.23707115650177002,0.185248464345932,0.5934505462646484,0.1859520673751831,0.2516246736049652,0.5352458953857422,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.4130953550338745
