,when,did,the,practice,of,wiping,tapes,stop,?
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.199177086353302,0.3646814823150635,0.20226696133613586,0.20314224064350128,0.25859901309013367,0.17966607213020325
1978,0.07017435133457184,0.043191809207201004,0.1314823180437088,-0.01737617887556553,0.13908278942108154,0.03709596022963524,-0.05188541114330292,0.053054120391607285,0.06364871561527252
the,0.5091903209686279,0.34736719727516174,1.0,0.27333036065101624,0.733189046382904,0.34262529015541077,0.2105327844619751,0.25771772861480713,0.22068053483963013
practice,0.24361737072467804,0.256716251373291,0.27333036065101624,1.0000001192092896,0.2597380578517914,0.3230145275592804,0.2055361270904541,0.19907356798648834,0.21386858820915222
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2597380578517914,1.0,0.28637903928756714,0.22208455204963684,0.2052845060825348,0.1826142966747284
wiping,0.3409113883972168,0.2923557460308075,0.34262529015541077,0.3230145275592804,0.28637903928756714,1.0000001192092896,0.21844172477722168,0.27895477414131165,0.31277480721473694
tapes,0.22912147641181946,0.23529666662216187,0.2105327844619751,0.2055361270904541,0.22208455204963684,0.21844172477722168,1.0,0.18988892436027527,0.17198848724365234
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2791718542575836,0.5116966962814331,0.3102007210254669,0.2145281732082367,0.2426174432039261,0.20544172823429108
destroying,0.23894739151000977,0.17069219052791595,0.29523634910583496,0.08881034702062607,0.28702813386917114,0.3982922434806824,0.15502147376537323,0.3332493305206299,0.11469648033380508
``,0.07174111902713776,-0.029888948425650597,0.029072100296616554,0.04819212853908539,0.06780257821083069,0.023786982521414757,-0.11417540162801743,-0.030115485191345215,0.0685480609536171
spare,0.29762762784957886,0.3115198314189911,0.20535148680210114,0.2423369139432907,0.2402443289756775,0.3209247291088104,0.23597809672355652,0.25229722261428833,0.24522879719734192
'',-0.07688097655773163,0.01978493109345436,0.041273195296525955,-0.01546788401901722,0.13035868108272552,-0.0531543530523777,0.06087728589773178,0.02231205254793167,0.018684765323996544
film,0.1969265341758728,0.17830699682235718,0.2824619710445404,0.06997399032115936,0.22166931629180908,0.11554275453090668,0.21292483806610107,0.11992102861404419,0.16369038820266724
copies,0.18304301798343658,0.22130811214447021,0.2581797242164612,0.13809187710285187,0.17081943154335022,0.2292046844959259,0.3001595735549927,0.09584983438253403,0.16856800019741058
had,0.37526828050613403,0.540525496006012,0.3875846862792969,0.21501415967941284,0.37755560874938965,0.23973241448402405,0.2922847867012024,0.21948198974132538,0.20728366076946259
been,0.3339833617210388,0.2835664749145508,0.3563927710056305,0.2419406622648239,0.31685134768486023,0.2776196599006653,0.21930301189422607,0.20200584828853607,0.24354910850524902
brought,0.2630053460597992,0.3238873779773712,0.32700833678245544,0.2229190170764923,0.3339962065219879,0.33526113629341125,0.13296785950660706,0.21195602416992188,0.2339296191930771
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.289366751909256,0.41548454761505127,0.32223978638648987,0.26465630531311035,0.31219643354415894,0.29463258385658264
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.27658340334892273,0.5052502155303955,0.2692829668521881,0.25973808765411377,0.21033835411071777,0.23916715383529663
stop,0.3669990599155426,0.2599695324897766,0.25771772861480713,0.19907356798648834,0.2052845060825348,0.27895477414131165,0.18988892436027527,1.0,0.23117060959339142
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2513175904750824,0.5352458953857422,0.2670617699623108,0.21845246851444244,0.27782511711120605,0.4130953550338745
