,what,other,reason,caused,poor,supply,of,new,france,from,a,difficult,winter,?
1757,0.029528258368372917,-0.058780279010534286,0.1279711127281189,-0.08753658086061478,0.03903350234031677,0.004985732492059469,-0.0294172540307045,0.003924166318029165,0.1940179318189621,-0.018077848479151726,-0.049828581511974335,0.016420522704720497,0.03929675742983818,0.10058208554983139
",",0.3087472915649414,0.4446498453617096,0.24553878605365753,0.2600580155849457,0.24018602073192596,0.24017441272735596,0.4946078956127167,0.36073189973831177,0.28250643610954285,0.39760664105415344,0.427140474319458,0.24675612151622772,0.29047003388404846,0.31091248989105225
a,0.3320399522781372,0.2806335389614105,0.29122111201286316,0.22472180426120758,0.24187558889389038,0.2115103155374527,0.5052502155303955,0.3214259147644043,0.24802380800247192,0.322764128446579,1.0,0.3425796926021576,0.19113492965698242,0.23916715383529663
difficult,0.37928828597068787,0.30108681321144104,0.3534086048603058,0.2473112940788269,0.38260966539382935,0.2767237424850464,0.2539307773113251,0.19053252041339874,0.14493328332901,0.20629183948040009,0.3425796926021576,1.0000001192092896,0.1263476014137268,0.20408590137958527
winter,0.12829793989658356,0.1930883526802063,0.12992051243782043,0.11741334199905396,0.15025202929973602,0.17197023332118988,0.23947669565677643,0.1203436553478241,0.25267425179481506,0.1719328910112381,0.19113492965698242,0.1263476014137268,1.0,0.1591269075870514
",",0.3087472915649414,0.4446498453617096,0.24553878605365753,0.2600580155849457,0.24018602073192596,0.24017441272735596,0.4946078956127167,0.36073189973831177,0.28250643610954285,0.39760664105415344,0.427140474319458,0.24675612151622772,0.29047003388404846,0.31091248989105225
and,0.31309178471565247,0.5504306554794312,0.26490068435668945,0.2892237603664398,0.31649142503738403,0.3190653324127197,0.5116966962814331,0.31402453780174255,0.2925812005996704,0.3601827025413513,0.3739250600337982,0.28586524724960327,0.2760835289955139,0.20544172823429108
the,0.42745697498321533,0.44152235984802246,0.29647648334503174,0.24990202486515045,0.21093174815177917,0.31942567229270935,0.733189046382904,0.3845241069793701,0.35517507791519165,0.40150508284568787,0.5829201340675354,0.277450829744339,0.30035296082496643,0.22068053483963013
allegedly,0.22338786721229553,0.18948040902614594,0.22026699781417847,0.2444935142993927,0.2684575617313385,0.22080260515213013,0.21219010651111603,0.16759048402309418,0.11546046286821365,0.2802608013153076,0.23506614565849304,0.26565203070640564,0.10534796118736267,0.07345700263977051
corrupt,0.20700675249099731,0.23656289279460907,0.1608077436685562,0.19456377625465393,0.26971668004989624,0.20695726573467255,0.1135386973619461,0.14270974695682526,0.14891782402992249,0.13536594808101654,0.13087798655033112,0.2572232782840729,0.041334543377161026,0.1556956022977829
machinations,0.24007423222064972,0.40093734860420227,0.1989089995622635,0.2125355750322342,0.19963836669921875,0.279673308134079,0.2414119690656662,0.17449969053268433,0.16010922193527222,0.20059596002101898,0.2492554634809494,0.312157541513443,0.1997978836297989,0.23950731754302979
of,0.33290785551071167,0.38583824038505554,0.23645815253257751,0.29665443301200867,0.23458099365234375,0.23476092517375946,1.0,0.343457967042923,0.3265724182128906,0.4249346852302551,0.5052502155303955,0.2539307773113251,0.23947669565677643,0.1826142966747284
françois,0.1766790747642517,0.15778937935829163,0.16909435391426086,0.09797977656126022,0.10868404060602188,0.10166202485561371,0.19206100702285767,0.18449188768863678,0.43844202160835266,0.1688595563173294,0.18351446092128754,0.20174962282180786,0.06443136185407639,0.16150183975696564
bigot,0.2826736271381378,0.32679086923599243,0.27625375986099243,0.23431265354156494,0.3231995701789856,0.1556367576122284,0.23023861646652222,0.10615628957748413,0.3563319146633148,0.2015662044286728,0.2606581151485443,0.2925935983657837,0.12576736509799957,0.25979211926460266
",",0.3087472915649414,0.4446498453617096,0.24553878605365753,0.2600580155849457,0.24018602073192596,0.24017441272735596,0.4946078956127167,0.36073189973831177,0.28250643610954285,0.39760664105415344,0.427140474319458,0.24675612151622772,0.29047003388404846,0.31091248989105225
the,0.42745697498321533,0.44152235984802246,0.29647648334503174,0.24990202486515045,0.21093174815177917,0.31942567229270935,0.733189046382904,0.3845241069793701,0.35517507791519165,0.40150508284568787,0.5829201340675354,0.277450829744339,0.30035296082496643,0.22068053483963013
intendant,0.2189289927482605,0.0951077789068222,0.2540450692176819,0.058692239224910736,0.19164809584617615,0.15363790094852448,0.13820305466651917,0.09050517529249191,0.19417889416217804,0.054300788789987564,0.2773406505584717,0.1878204047679901,0.09298300743103027,0.20685358345508575
of,0.33290785551071167,0.38583824038505554,0.23645815253257751,0.29665443301200867,0.23458099365234375,0.23476092517375946,1.0,0.343457967042923,0.3265724182128906,0.4249346852302551,0.5052502155303955,0.2539307773113251,0.23947669565677643,0.1826142966747284
the,0.42745697498321533,0.44152235984802246,0.29647648334503174,0.24990202486515045,0.21093174815177917,0.31942567229270935,0.733189046382904,0.3845241069793701,0.35517507791519165,0.40150508284568787,0.5829201340675354,0.277450829744339,0.30035296082496643,0.22068053483963013
territory,0.21338070929050446,0.2290191352367401,0.153089240193367,0.10686451196670532,0.0613756999373436,0.19328518211841583,0.27564212679862976,0.17910073697566986,0.230753093957901,0.25426751375198364,0.18926236033439636,0.14754369854927063,0.17294789850711823,0.09435105323791504
.,0.3567904531955719,0.41511186957359314,0.3219331204891205,0.2413787543773651,0.2311597615480423,0.2485988885164261,0.5352458953857422,0.35031336545944214,0.33719199895858765,0.41536515951156616,0.50484299659729,0.23902733623981476,0.3007909059524536,0.4130953550338745
